"STUDENT_ID","FINAL_GRADE_RECEIVED","GPA","GENDER"
"2393e5fede79e11970be13f5f4741683","W",3.0,"M"
"75043f6efaf11634a8f8fda002c31b2c","A+",4.152307692,"F"
"75043f6efaf11634a8f8fda002c31b2c","A+",4.152307692,"F"
"d528ea720f3a459b1bda7681f73dcb33","W",1.0,"M"
"c3684061d7314909f838ba6278d733b0","B",3.25,"F"
"8b0457e51ca1cc54c95b562bc701d5b4","A",3.866,"F"
"cd64e0c37fe3038fa3ae2127264a0005","A",3.5825,"F"
"cc1f1647b02ef497de4baf371012f7f1","B+",3.0,"M"
"5f5ed6cfa468d8672b4ff0b74afcadce","B-",3.10375,"M"
"89e1b90efaf01b021ac56c4add389593","A",1.556666667,"F"
"89e1b90efaf01b021ac56c4add389593","A",1.556666667,"F"
"5b9a6796a7de5aa6c10c59b3502b9bc3","C+",2.25,"F"
"5e8118602f8c859729e49648ec4e75d3","A-",3.332,"M"
"1c92ef784d48cf7759cea1a358c3b838","A",3.666666667,"F"
"1c92ef784d48cf7759cea1a358c3b838","A",3.666666667,"F"
"6b546ba8a63e014fec32aa5906577946","B",3.6,"M"
"1ccd43e029c4e0e409398d570e0c9c49","A",3.3325,"M"
"9d4bd1177840c9ad820889c77cf81339","A-",3.335,"F"
"24891f7c9fa132b37ac08b6d355be3a7","C",2.813125,"M"
"91d3165b6f9c650a286c489fca898a32","A",3.793846154,"F"
"46dc30bfd898eb5d392e161abab65d03","C-",1.77,"M"
"09593d5517f70da34978c5497bfb0c3a","A",3.949230769,"F"
"b878db7d1044701534e6778bd74dea86","B+",2.950714286,"F"
"3fd7fa92a498935201bc6a8b88255914","W",3.67,"F"
"620e5f22115f36a563700a0e43241b59","WP",0.0,"F"
"b688f4baec5eadf5add87aa4a7780f21","B",2.427857143,"F"
"fac1f33e66189b6644ec813e9aa21d44","B+",3.334,"F"
"333939bfb076201c66fc975dc013dc27","B-",3.4175,"M"
"d04da3d41f8c876f51411b00368b72fa","F",0.0,"M"
