"STUDENT_ID","FINAL_GRADE_RECEIVED","GPA","GENDER"
"e18a853a43499dee7c39c69bc274b3df","A+",4.228461538,"F"
"b58ecf04d8bce7a6a4064f23490c8fe8","W",0.0,"F"
"d7deec53f4e0f7107fa3f53d781883d1","A-",3.796923077,"M"
"c2ab45588d5e045e9c0831d8d3d4c776","A+",4.0825,"F"
"04a0f92092dfcfcaa605a173195332d1","C",2.6,"F"
"d430604585b9b332ea714073ed419e85","F",2.299,"M"
"8d006cbf1ed19163e7d7fa5dca4f1905","C",2.8,"F"
"978424d80b8cff42c87364c2c543a994","C",2.725294118,"F"
"0d039994adbbc4fbd70111089179da92","C",2.616153846,"F"
"83a98f5decca8a60b5f9d673ff31a35c","B",3.0,"F"
"eba18b5cb06435e36ebbdb2e7374491d","B",3.468,"F"
"b99d56062ecacf220ffe95875d1b5d0b","A-",3.7,"F"
"b99d56062ecacf220ffe95875d1b5d0b","A-",3.7,"F"
"d130f8649f558ba3a950620837da4666","B+",3.667272727,"M"
"d130f8649f558ba3a950620837da4666","B+",3.466,"M"
"454e35c530008ecc26310be212f5dbbe","B-",2.745384615,"F"
"5f3f36451012118fe6849babedc62cb3","A+",4.297,"M"
"5f3f36451012118fe6849babedc62cb3","A+",4.297,"M"
"61add961ce582125784dc6bda47a32fa","F",1.333333333,"F"
"4b11b61c4567a85a4bd79c2557fff186","W",1.428571429,"F"
"3bf8a1730cbb28cde1a8e103698aff15","F",0.9175,"F"
"4fcc3747fc8cb6ff8f570fa3b7de4519","C-",1.7525,"M"
"bbfeeda2529bfa3c523a4c7b427f8bf5","B",2.843846154,"M"
"c2131dda0575853a44f2809963f028df","A",3.642,"F"
"8a1c4bcb8a13a29d3a798cd35fca0042","B",3.333333333,"F"
"8a1c4bcb8a13a29d3a798cd35fca0042","B",3.333333333,"F"
"d1e3a5554608ef0ab0ed5a8391149009","WP",0.0,"F"
"cfbdc5966608e8dc86a6b90d439b7518","A",3.926111111,"M"
"51ad93c4c7125a42705290ea616030d4","A",3.165,"F"
"3741e00d3b70610ef84378df96c74dda","B",3.444166667,"F"
"51ade2d31ae0fd038e33e9c12a4ade1a","A",4.066,"F"
"efe637878e684dcde884569f4ea5c103","W",0.0,"M"
"e11c77709d577aaba4615e5b424b4770","A",3.665,"F"
"ffd70d766678d9c228b8bd151d6772ba","C",3.03,"F"
"733cd40a3eb3f6a7c3d92779078d169b","C+",2.4975,"F"
