"STUDENT_ID","FINAL_GRADE_RECEIVED","GPA","GENDER"
"5fc2f671371416f01d1f68e55bcf3785","A+",3.844615385,"F"
"18c33dbc9a7e924135630ac0866589d3","A+",3.75,"F"
"4666334d8981d6162da2e9deb9aaeab9","A+",3.866,"M"
"e7b9c8b11bb4e00c158c3003ec672ac1","A+",2.88,"F"
"087c7908bc01fce254ef2f8781279bd4","A+",3.6,"F"
"07d3d1445853a52ee89fceda7cf770af","A",3.431176471,"F"
"6737ed0bfaebffa67f736d984166dac5","A",3.715,"M"
"d430604585b9b332ea714073ed419e85","A+",2.299,"M"
"210e83dd67b982136f1db15f90b643cc","A+",3.306923077,"F"
"b874c0a80d79277235b9a1bcc0d817bf","A+",3.383076923,"M"
"b00c51e9adbf2407e6a59e602af36d71","A",3.132,"F"
"90839b8b766270de6f01667e4ef5db93","A+",3.61,"F"
"6eb4450a0994f25acb44a58d99844741","A",2.0,"M"
"df30a2ffdbf7b573ab813dd0c73c1577","A+",3.466,"F"
"97ccba0ba374070b6b1abcef10e632f1","A+",4.0,"F"
"2eb9545619f3e7f61828b821f2651e38","A+",3.0,"M"
"041c183ebd9ffdbe37f6f02dd22a4401","A+",3.334,"F"
"a5785d9e8fc41622f6af1b4f44dd3ae5","A+",4.33,"F"
"feb98f07e3e1a6f88c83ca316b215412","A+",3.0625,"M"
"8e662757114d7a71b51a7248d44cf457","B",2.2,"F"
"117e356023160e33a9dc2e1e1c36924c","A",2.125,"M"
"70df93ca0b6987925afa350ff87008aa","A+",2.5825,"F"
"a8eb30a588c64a8f96b919b9b4624bed","A+",3.798,"F"
"1a86affd76fb1bcb67526515dcffc04f","A+",2.5825,"M"
"bf58c7888ac1d7d05402c3a5c7f74c27","A+",3.645625,"M"
"74b7709d94c2fadf76363c21ddd0ab10","A+",1.846153846,"M"
"85af65a369e3ca2e7baf4d95c84d16a7","A+",3.3325,"F"
"b578cc423ca163e154957c505e2d7a08","A",3.462307692,"M"
"8452444f96abd32c50b243973444df26","A+",3.019375,"F"
"a93dfcd59bf0e6501c395818a8dac824","A+",3.5825,"F"
"872157aeba796e43eb67d188e3c8b033","A+",3.4,"F"
"b0b1194452b22f1b5a8f518f50a584be","A+",2.8325,"M"
"5cfea4d79d225078a14b1380149ce181","A+",2.0,"M"
"78c9e1c326529701f771a48a681cd329","B-",2.0,"M"
"b865b97d5ec791b6ac60fc2cd1b79897","A",3.5825,"M"
"0b4c846004cbc91a4f8fbd3e97c20e51","A",3.50125,"F"
"936386c1f65eaf64f6cbb0053a206d60","A+",4.22,"F"
"dee03cee3b72ce2dc110eba4b684fb26","A+",3.666,"M"
"412e8983086f46d7d4171f3674678e03","A",4.0,"F"
"ecab98f92b76c6afbe96a362a737fd12","A+",3.77,"F"
"bc77025f3003cc8b18e320494acc010f","A",3.153846154,"F"
"6089186915198af0bec4fbb1b01661ca","C",2.333846154,"M"
"9495fd0654fa25690e5fda7cda5063ab","C",2.165,"F"
"571a9c5c36f76d97e8d71015bf0f04aa","A+",3.5825,"F"
"e684d273680c55646ecd20684edf035a","A+",3.817272727,"M"
"2bd4631e2c2eaf40b7fb957cb8128a2e","B-",3.268,"F"
"65ca1cede1854122cafd884332324ccf","B+",1.915,"M"
"46b5eac034e073a8be1f99ad73defd3b","B",3.177647059,"F"
"e6bc317d65b6d5fa8ee593c21eb4dde8","A+",3.8325,"M"
"2054f318d1de86cfb1e271f7e5ec57fa","A+",2.932666667,"M"
"cb5a775823d156af1997fc65f04603b5","B",2.934,"M"
"c66a74f4e9800d160ddfb48b9b1028b5","A",3.268,"F"
"68213bd2e2a02846e19594cd810ebb3d","B",2.998461538,"F"
"1d79a8e925a34e92cd829082ee4caa46","A+",3.8325,"M"
"4170192d2faf2917d6bf206c5a5111c0","A-",0.0,"F"
"4170192d2faf2917d6bf206c5a5111c0","A-",3.601,"F"
"cd2b22401e003563a642e7fe92c447c2","A+",2.5825,"F"
"b34e216dd52679b6719381df19576c07","A",3.0825,"F"
