"STUDENT_ID","FINAL_GRADE_RECEIVED","GPA","GENDER"
"e67bb0d8af337f742e774634d280545b","A",3.686666667,"F"
"3eb182680a2cffba1638dddf0619d81d","B-",2.854375,"M"
"dc8be3525afb7d4d6055e1d4b0913946","C",2.82,"M"
"7313f42c5f142f69c36cae8b7d612570","A-",3.873076923,"M"
"e091b89c60f3ad6108fa7ccaaa6c13f8","A+",4.146666667,"M"
"ee3b34cb9f7ab0a27a0dd4209ea81f3d","A",3.54,"M"
"5d162002bd5fccfc7a85d6fb3bfc75b0","WP",2.165,"M"
"f53d249b9d3a0c4a7ed6676a4f34a257","C+",2.666875,"M"
"59740ce9f698c97ef1819a7ecc14b2c2","A-",3.312142857,"M"
"1c81634feec34481316035cedbbc657d","B",3.709333333,"F"
"b576b293d12cdb75f3ae632659136eb4","B+",3.379285714,"F"
"aa6d43ba262acfe39e11063c9d97ebe0","B+",3.83,"M"
"1b7b9209d53fb33234370d1cf320176f","A+",3.586923077,"M"
"caa80de80860f68a741102d773da217d","C",2.692307692,"M"
"6737ed0bfaebffa67f736d984166dac5","A-",3.556,"M"
"921c36eeaf6beee3650f738516e005d1","B-",2.858571429,"M"
"a282c5df6743c203e688afab260a9370","A",0.0,"M"
"a282c5df6743c203e688afab260a9370","A",4.132,"M"
"e3d18667a69f6f4073c9fd07437d0f5b","C",2.418333333,"M"
"beb1f42087c34b6c8cfdd552c052565c","C",3.29125,"M"
"3b0a2fa4030fbf8456c5b56f0a5ef45a","WP",3.48,"M"
"64c79b20afbcc16f9128450ad3ef78f9","C",3.0,"M"
"d690c8d1faf2a2208767b6e7e9814aeb","B",3.317894737,"M"
"74ab85bb1d24775c1986b56f43cc3bb9","WP",2.636363636,"M"
"5de7f4ac89c610d224201067d85f1adf","B",0.0,"M"
"5de7f4ac89c610d224201067d85f1adf","B",3.461538462,"M"
"c997de761c24af5061462fb27f093f3e","C",2.888333333,"F"
"823ff374766051606a817c03cf89b390","B",3.717692308,"M"
"8374fffb2c2c3de2936c32c7725e9bc7","WP",0.0,"M"
"8374fffb2c2c3de2936c32c7725e9bc7","WP",3.0,"M"
"08e7e607307052d2bca941a035837241","A-",3.547857143,"M"
"c0c2ba62649e5ea88cf4c5c3127c40bd","A+",4.33,"M"
