"STUDENT_ID","FINAL_GRADE_RECEIVED","GPA","GENDER","ACTCOMP","ACTENGL","ACTMATH","ACTSCIR","HSGPA"
"98fb85c222c36a400411854b2412d377","W",0.0,"M",21.0,22.0,18.0,20.0,3.33999824523926
"a9b5b3b82169d7f80994cd380c292442","C+",2.974615385,"M",20.0,20.0,21.0,21.0,3.13999938964844
"38538d09bc2289999bc61fba65f616c0","B-",2.692307692,"F",21.0,20.0,21.0,22.0,3.3799991607666
"d1eeb898e4033d1755fa8e5b5dacf7c2","WP",0.0,"F",18.0,21.0,13.0,18.0,2.32999992370605
"6efb295e0da857f647f48a1a07c81ca5","A-",3.721666667,"F",21.0,22.0,19.0,21.0,3.46999931335449
"34f64d654e789ea455b87bb065a1821d","C+",2.624375,"M",23.0,24.0,24.0,20.0,3.28999900817871
"92f2e33774b0f4edddeb1f9e515da43a","B+",3.0,"F",21.0,22.0,17.0,23.0,2.86999893188477
"f24b6b785f71285cc4d8ce609ce2aa3a","A-",2.924615385,"F",21.0,20.0,18.0,22.0,2.52999877929688
"4394a7e95d0ea1ae55fea87ef91a1cef","WP",0.0,"F",21.0,19.0,23.0,21.0,3.31999969482422
"3f1fb10308028f1718582fbe835a22e7","A",3.466,"F",19.0,16.0,21.0,22.0,3.38999938964844
"3d7c017529331f4e89372d0728efb6eb","B+",1.932,"F",19.0,18.0,17.0,20.0,2.97999954223633
"8c5962e24114e9fa545bfdba5df9c981","A",3.89,"F",20.0,22.0,16.0,22.0,3.03999900817871
"d7d354bf4edff870673b9d15bed24dff","B+",2.7475,"M",21.0,19.0,26.0,25.0,2.95999908447266
"bf58c7888ac1d7d05402c3a5c7f74c27","B",3.645625,"M",25.0,23.0,25.0,25.0,3.51999855041504
"d0a6710ed29c04fdfcfe04ecc254e6c2","B",2.533,"M",22.0,22.0,18.0,23.0,2.55999946594238
"7228e0043820e6a3dd3dbbe8ef5218b2","A",3.866,"F",24.0,25.0,21.0,21.0,3.70999908447266
"fb4280c9233d76d8f91046e4eaa4dc70","W",0.0,"F",20.0,19.0,22.0,18.0,3.22999954223633
"06087d7eec543377550ddc3fe7bb9573","F",1.333333333,"F",23.0,24.0,25.0,23.0,2.76999855041504
"0c577ddec4baf720cb2c2e1a8b71a07c","B",3.0,"M",28.0,23.0,27.0,32.0,2.73999977111816
"a78707c29b805cda055f47b77d69ba82","B",3.142857143,"F",20.0,20.0,21.0,20.0,2.88999938964844
"5d49f1fde1bd32a7c0462a8fd4f35d55","C",1.835,"M",20.0,21.0,22.0,19.0,3.5
"c19e231d48869adb373bc0d6855c1afc","D+",0.886666667,"F",19.0,18.0,18.0,19.0,3.21999931335449
"a4bd9321eb0a0122ecff45b979efc54c","A-",3.585,"M",21.0,21.0,25.0,21.0,2.79999923706055
"dc915fd63b670a941c5e7d70979e3efb","C-",2.4,"M",23.0,20.0,24.0,22.0,3.72999954223633
"39bdc93133f157bc3c74f7cd1f252323","A-",3.78,"M",20.0,20.0,23.0,19.0,2.8799991607666
"df91eb727c84c856441a2ad817a6ea1a","B",3.229230769,"F",17.0,19.0,17.0,19.0,3.6299991607666
"2759d3eaee0e9924068d0c3d7d3a4cf7","A",3.6675,"F",21.0,19.0,22.0,22.0,4.0
"928c346ce8e24de87dc8991d6bc3dd8f","C",1.6675,"F",18.0,16.0,14.0,19.0,2.79999923706055
"50f244edb688000660ce639831055c35","W",1.2,"M",22.0,20.0,23.0,23.0,3.07999992370605
"e518154aac09764ccdc15305a8fe2c6d","A",4.0,"F",27.0,25.0,27.0,26.0,4.0
"40489029bab43581f6c17d9d72fa4260","C+",2.843846154,"M",22.0,20.0,23.0,21.0,3.03999900817871
"24d494733d9e366703c58a356fd428e3","B+",3.573333333,"M",26.0,28.0,26.0,19.0,3.79999923706055
"457ba9ea75ef4a888a9f2104b9d704a0","B+",2.754,"F",14.0,12.0,15.0,17.0,3.43999862670898
"c9e9fce737727b16844fab91dd62625a","A+",3.3325,"F",20.0,22.0,16.0,21.0,3.80999946594238
"5c3f54d30691b00a0157a1358ee6f8ab","C+",2.817272727,"M",20.0,20.0,20.0,22.0,3.14999961853027
"05718f3662a9e1a3c2e18ca13662c87b","A",3.0825,"M",19.0,20.0,20.0,20.0,3.02999877929688
"88318437133ee3e52faeada426287231","A-",3.5025,"M",19.0,16.0,19.0,21.0,3.44999885559082
"5b9a6796a7de5aa6c10c59b3502b9bc3","A-",2.25,"F",20.0,22.0,18.0,22.0,3.18999862670898
"50ddc00d0c88d3f6f03854b7f983e568","A-",3.4175,"M",20.0,19.0,20.0,20.0,3.0
"048da6714120a6a68e0dc99410990f30","A-",3.335555556,"M",20.0,22.0,19.0,18.0,3.58999824523926
"e9d7654b5c77efa565d9f3f3d679d400","B",2.668,"M",21.0,19.0,25.0,22.0,3.51999855041504
"24891f7c9fa132b37ac08b6d355be3a7","A-",2.813125,"M",21.0,23.0,20.0,23.0,3.16999816894531
"7af91504722c8a8a6fef429a8b8e89cc","A",3.04125,"M",27.0,26.0,26.0,28.0,3.70999908447266
"ecfe47983504e50962105a0664f48627","C+",2.776666667,"M",21.0,20.0,18.0,23.0,2.2599983215332
"db9d802397ba73ed9763bc614fa3b502","B",2.640769231,"M",23.0,23.0,24.0,24.0,2.91999816894531
"fe5e3ee274a667d9376723865ea8ff21","D+",0.973846154,"F",13.0,12.0,16.0,10.0,2.38999938964844
"802e172ba839f015fcb905c16872452d","B+",3.466,"F",23.0,22.0,23.0,24.0,3.51999855041504
"07b5e8ef2ec6ea55bd98f8e56c2eeb8e","A-",3.235,"M",21.0,20.0,19.0,18.0,2.85999870300293
"c3e9c7e5bfa783ff3aac5643f25d91d7","B+",2.8325,"M",18.0,20.0,16.0,17.0,3.66999816894531
"45520cf6066d2efafb2e0c55862ea14f","B+",2.198,"M",23.0,23.0,25.0,24.0,3.85999870300293
"8be575416b536c955ebc33834803e526","B+",3.311875,"M",22.0,18.0,23.0,24.0,3.93999862670898
"2adb0b26ab98e4521bd149754689c331","B+",3.435625,"M",27.0,24.0,25.0,29.0,4.0
"fa3b5eacba1986ee1588a1c524e3863b","W",3.7225,"M",18.0,19.0,16.0,19.0,2.82999992370605
"16d0e11af8b22fad87ebb233b9242f39","A-",2.847692308,"F",23.0,25.0,23.0,21.0,2.81999969482422
"f59e74d19e2a4af82a505d2dc3416828","C",1.9175,"M",18.0,18.0,21.0,22.0,3.66999816894531
"2e4dbb25dd3b63a6c8ecf6cdab9eeb0a","B-",3.310714286,"M",20.0,20.0,19.0,21.0,3.45999908447266
"e7516b2be7b64d44814a1740029ed7fe","C",2.732,"F",21.0,16.0,25.0,20.0,2.48999977111816
"e5b7fb3181c06307c6ce1246d88c497d","B",2.75,"F",20.0,17.0,18.0,21.0,2.92999839782715
"72f4222faf51d338c20c4372d6858070","B",2.556666667,"F",18.0,19.0,17.0,17.0,2.54999923706055
"b99d760352a4c36ff72fe6fa9ea0f03f","B+",3.332,"F",23.0,23.0,22.0,21.0,3.19999885559082
"04b96de18b43b204278843bdaa0c8242","C-",2.0,"M",24.0,23.0,19.0,27.0,2.83999824523926
"23bf7767d63101897de7dc1e4859530d","B+",3.0825,"F",21.0,21.0,19.0,22.0,3.15999984741211
"b82d2f970acbcf899dfbc301c0c53aa7","W",0.0,"F",24.0,25.0,21.0,23.0,3.08999824523926
"69d55b6ff898719a3d8b75667900d215","C+",1.099,"F",17.0,16.0,13.0,17.0,2.64999961853027
"54354951391c0428cd0b7ec8617dbd57","W",0.0,"M",26.0,24.0,29.0,30.0,3.17999839782715
"67d97f1c13524b00270c7e460f40aad6","B",2.125625,"M",23.0,21.0,23.0,23.0,3.48999977111816
"44a2f3e37f64ce58ceeaed601fbc4807","A",4.198,"F",28.0,25.0,25.0,27.0,3.97999954223633
"bce84ad4c960a082e888401dd5770174","A",3.833125,"F",22.0,21.0,24.0,24.0,3.55999946594238
