"STUDENT_ID","FINAL_GRADE_RECEIVED","GPA","GENDER"
"87e02ea6e53ca9edf04b6cc423647330","A",2.867,"M"
"87e02ea6e53ca9edf04b6cc423647330","A",2.867,"M"
"a6e580b09eda9616d01266e399d00dd6","A-",3.468,"M"
"b9d0d6e6357b1e3833b968b4c316db51","B+",3.33,"F"
"f13ed8940db57e335404ae6456723dd4","A",3.75,"M"
"e745ef712cf1c66c835ca661580e7482","B+",3.24,"F"
"d9eeadb60027d6e035c7d80edfdd9a95","B+",3.544545455,"M"
"d9eeadb60027d6e035c7d80edfdd9a95","B+",3.544545455,"M"
"1879f8af46baa119f157e9b47ea875d3","W",2.33,"M"
"556004a714271dc60608d730355c6604","A-",3.4375,"F"
"aa7d3684c49969218df15df77a264875","B",2.5,"F"
"05204623391380d4b0b93ae7012add10","B+",2.89625,"M"
"3a4e8ee795e6bf6a6135e86c76ad144a","A-",3.835,"F"
"418a8d21607848f28697d42e975fbea7","A+",4.040625,"F"
"3fed3a0533038879321c5b6fd1cb84d5","A",4.0,"F"
"6ffea7923a11fde09396a68077469c04","B-",2.59,"M"
"6c6f2ab698d345b7dc8b730cae5c36d3","D+",2.868,"F"
"48ce532e7b0ea5ac15cf1c11272ac26f","B",2.976428571,"M"
"cfb5ae3cd7163256b977bc70f0fb7290","A+",3.943333333,"F"
"1ee3d6d29cabcfd446d98b2d6d006a83","F",2.308461538,"M"
"93a9cfb49b4b6a1ee8b09bea51fa1d40","B",2.668235294,"F"
"4761276b68b284941c70af29cf9e4f27","A",3.611666667,"F"
"4c22b4321e3a30bff8b758a644c911d1","B",3.5,"F"
"4c22b4321e3a30bff8b758a644c911d1","B",3.5,"F"
"63a74e4e570e7acd00bff662a256652d","F",1.0,"F"
"63a74e4e570e7acd00bff662a256652d","W",0.0,"F"
"88c6744412472b49ff0096867fff6e3c","C",1.0,"F"
"fb0f92ecdcb55b4790b3a6ed602dd1ea","B",3.0,"F"
"d1156828584dcd5a1cdfa2236184a88d","C",2.0,"M"
"b7730f9cf7baefc20e3b02c527dd0598","B",3.0,"F"
"23c804248a176e8806701d90d2424acb","A",4.0,"M"
"23c804248a176e8806701d90d2424acb","A",0.0,"M"
"314acc4c33f584330f087baf50d51dfe","C+",1.83,"F"
"fb74ecd57f7bde83dcc746cc1a5847d0","B",3.0,"F"
"85a8d5ba3dee834e6659cc84fb7c838b","B",3.0,"F"
"95e32a7f5d703ed5e6ffb53b77f78536","B-",1.89,"F"
"95e32a7f5d703ed5e6ffb53b77f78536","B-",1.89,"F"
"350d0ad7d8ca384f0b0d53c105c2e8c1","A",3.5825,"M"
"b57b9965d492db86c43f88d85ed4edd1","B",3.0,"F"
"b57b9965d492db86c43f88d85ed4edd1","B",3.0,"F"
"b57b9965d492db86c43f88d85ed4edd1","WP",0.0,"F"
"b57b9965d492db86c43f88d85ed4edd1","WP",0.0,"F"
"d430604585b9b332ea714073ed419e85","C",2.299,"M"
"8d006cbf1ed19163e7d7fa5dca4f1905","A",2.8,"F"
"801f5bcd63c6ffa2cf2dd59295a371f4","A-",2.847692308,"F"
"65ab2527ff6375941edd3892bcc5a301","A",3.25,"F"
"b581c23b8b7f74205712627dc0b030ee","A",3.45875,"F"
"39f9735b18968d779be316a887039aeb","D+",1.538461538,"F"
"a78707c29b805cda055f47b77d69ba82","A-",2.7525,"F"
