"STUDENT_ID","FINAL_GRADE_RECEIVED","GPA","GENDER"
"3fd7fa92a498935201bc6a8b88255914","A-",3.67,"F"
"86ecbffaf69ea40f4ff4d4a545577754","A+",4.132,"F"
"d76af098759a7be178c1e7f46d4e64be","W",0.0,"M"
"f3bf516e7b088690ab5e39ef8ba167a7","A-",0.9175,"M"
"3329d097e0eb0d3e25dd2451ba6c9367","B",3.547857143,"M"
"97fa6d654600a661c1e4c4b3df2a4299","A",3.476428571,"F"
"220cc8a3ba02f437297d6489b02b7eda","D",2.223333333,"M"
"6590600bffba146cf46d277b95415bc1","F",0.0,"F"
"d7190145178df8255e79379dbedbd7ae","A-",3.254117647,"M"
"04953c5124c80ffa8f60e90243f4fbd8","B-",3.689333333,"F"
"14ca1c8445b64ca0f0429738accd49df","C+",3.029090909,"M"
"aa9b1d38999fce10623162e5d1f37246","B",3.6,"F"
"8d006cbf1ed19163e7d7fa5dca4f1905","B-",2.8,"F"
"0a710ffd9f432e0f68dbf932be85d606","B",3.5,"F"
"179cb8cb33fad37c4dfbce973207b8d7","C",2.886666667,"F"
"10b19baeb225dcdaeaf501899a1b2e6d","A+",4.023076923,"F"
"5e8118602f8c859729e49648ec4e75d3","B+",3.332,"M"
"c030284b9655fc695f1931ebe2a192b0","D",2.134,"M"
"c5d5dd5d6d070d2418fa603ad22f142b","B",3.113333333,"F"
"b61fbe4b68f718834c853ac887aed547","B",3.75,"F"
"21a5262f5319d89db1bea479362e5f49","B-",2.846923077,"F"
"419411286386db54f685e47f30ee6b0e","B",3.3325,"F"
"6c49e94941427454320a42473a2cb320","A",2.000769231,"F"
"6c49e94941427454320a42473a2cb320","A",2.000769231,"F"
"ffd91ea1dbbc545eb4dd70938fb50385","C+",2.691538462,"M"
"83b14b6aa9443e5ee72d25536f5ea7cb","C",2.428571429,"F"
"a09b6c8313242ce4081ab111c7faf373","WP",0.0,"F"
"ba11443d6e908d9a34f778084dbcfc5c","WP",2.296470588,"M"
"b7041b876d835afe2a6bc757b1344b08","A+",4.0825,"F"
"b7041b876d835afe2a6bc757b1344b08","A+",4.0825,"F"
"978424d80b8cff42c87364c2c543a994","C+",2.725294118,"F"
"8452444f96abd32c50b243973444df26","WF",3.019375,"F"
"81db6d04e498b23cc82cd5c9b13abb24","C",2.25,"M"
"c1b4c3849119d4963da0ffa20cef70f2","B+",3.727272727,"M"
"82f8eb6413f522813706db38f74d3827","A+",4.165,"F"
"82f8eb6413f522813706db38f74d3827","A+",4.165,"F"
"22907b8242ee0cdfacb2a00bda5ebede","A-",3.585,"F"
"a9c6ac791c4c572c97f20238ecc95d6a","WP",4.0,"F"
"7338ca9f7800232bce223956040e78f6","D+",1.83,"F"
"f949c52337073d5e9df30758222d55ef","C",3.076923077,"M"
"f949c52337073d5e9df30758222d55ef","C",3.076923077,"M"
"5b64bbbcf7db61edfb1df19876b28047","B",3.017222222,"F"
"88a81f3fa5e62a5ab2e3d4a209bd2e8f","B-",2.5025,"F"
"6a90296010a20d2b9b1cb63d94d5290a","C",2.556666667,"F"
"fa0983eb8febd7c4a65d276ec1d51317","B-",2.048571429,"M"
"2fa43762d71b30155d8a5609bcbce457","B-",1.842352941,"F"
"153fcf2182a61fa552b255624b8dd578","C-",3.085,"M"
"802b2a1db6249108d2f0788eb39b4429","C+",3.102307692,"M"
"98ff13a08fcfcd6435549cec9ef1b14e","B+",3.452142857,"F"
"e804d12f421f95da886db2aef5601e7a","A-",3.4175,"M"
"4bd18fe18df5004e8eec6288bc5245c9","W",0.0,"M"
"72c2d626ea9e29ee26cc761348fb4c01","A",3.999230769,"F"
"1601b1eff12a80b7b3bb29baa615f3a6","A+",3.553333333,"M"
"1601b1eff12a80b7b3bb29baa615f3a6","A+",3.553333333,"M"
"be9c51da9007bcf4af0af63690f4f100","D",1.443333333,"F"
"bbfeeda2529bfa3c523a4c7b427f8bf5","C+",2.843846154,"M"
"e36d1a0ca416cf8bbb6f7949b88e872c","B",3.436923077,"M"
"c4a450ed68c857271d7f428a6719e4ca","C",2.436923077,"M"
"6f03fa5fb07603f8ff81b6255087915b","WP",0.0,"F"
"e8f042ad867aff7b47c4c278fe345aee","A",3.898461538,"F"
"eee4cddd9f8891fe25e704d9122d699b","W",2.666666667,"M"
"bee04e2a557e574eae54d5fdc79d1911","B+",3.866,"M"
"a6d79563acece6007b03445983b199a2","WP",3.743846154,"M"
"538c817b5be3b086d2e11e8085127650","WP",3.915,"M"
"8f08eed667842221b30b0c1449129891","C+",3.2475,"F"
"14866e1b9e2b74c8eab02a20dc4dbc98","C",2.5825,"F"
"b804889abee717de932ab04c598ebb6c","C+",2.553333333,"F"
"f9b9bf96270b4512db536490e8df0421","F",1.9175,"F"
"10113e32c7a110f1ceb258cfb9ac9f75","B-",3.534,"M"
"86b8d8bcb6438b3f28b41e810f975887","A",4.0,"F"
"0e79762e692094fe9493ef33ac69f333","B+",3.732,"F"
"5e8133bc96793896743cd1ff0dd24b37","A+",3.868,"F"
"9de6dc01ab29b1f0f81e73310165b2a0","B",3.0,"M"
"1c35658cf9ad459ab7b73925471f57f5","A+",2.25,"M"
"1c35658cf9ad459ab7b73925471f57f5","A+",2.25,"M"
"1723caa8998a22f4a4618c99c8c1afd7","W",0.0,"M"
"94d42908cf0bda765b3fb8780044a7c8","C+",3.2,"F"
"1db2effea0009acc4603d2b3f563d2b4","B+",3.380714286,"F"
"e7012823f2c8b859009956ac06f4494c","A",4.066,"M"
"21421819e91942d496d74aa6534f8edb","A",3.666666667,"F"
"cb3a37b4f771cae4c383a68cb95d2aae","D",3.151,"F"
"de1fcddbeede4e3e1579bc511bdf0b6d","C",2.734,"F"
"d4414a7ebce3492477df3079ad9ee645","W",3.254615385,"F"
"bbd2a27d0bd1bdd7899616e625929d07","B-",3.4175,"F"
"583838fab050e6ae26133c4abbec3eaa","C",3.0,"F"
"58b9521a1b0ce725287adad27cc915ce","C",2.835,"M"
"ad1fbc9804df32428c3a7eaa3ce5ebc2","C",3.153076923,"M"
"e8461c06a8c02aded1fcdd103d0a621b","A-",3.923846154,"F"
"1bde7cd0f5d56e713a2340314eb794dd","A-",3.534,"M"
"63c88b12f0ed78810cc98ba4752dbd46","A-",3.572142857,"F"
"65eb53ede050045681ea017e1cf3e3db","A-",3.165,"F"
"9996a1c17c8a26238cbc36d8fcdc8a10","C+",2.532,"F"
"1996e5f9f9253714a5021a26b5c6ba80","B+",3.1675,"M"
"d96db531914ce3483e2599595775bbc7","C+",3.684210526,"F"
"d030cfebfcd207fd87fd58f76583deab","B-",3.134,"M"
"196a98ea6e6e0cad0f607b0b1cade3cd","A+",3.8875,"F"
"14e7a95834ef218b3e0d013e2cb8fa20","B",3.223333333,"F"
"cca7039450d9a4d851f4d28a2d9cc897","B",3.4175,"F"
"cc7d20c38d2b9757372d6646137a8273","C+",2.5,"M"
"61f489864336695a8355d00b8da85440","A",3.75,"F"
"bfca1f3fec535113b533097fefe90be6","B+",3.2925,"F"
"1d7fafda9247b2c32351f68a269740a8","D",1.166666667,"F"
"5fb91945dd09e39a41ae57e34c5f7a93","A",3.932,"F"
"57a531d2719fc26528004184764f8853","B",3.047142857,"F"
"6f4c35f1c8191374119a1a02f83c0d0f","WP",0.0,"F"
"6f4c35f1c8191374119a1a02f83c0d0f","WP",0.0,"F"
"f5284b6c0d023c348273a490abcf56a8","C-",2.59,"F"
"c996f2f900b071d76ed28c7395f0afe8","B-",2.6675,"F"
"d077d0a825b855fda11ddc2d08aa785f","A-",3.4375,"F"
"6a7467b477c6b00039c7c5637838f61d","B",3.202,"F"
"46182d891f1264928d2e66bfa14e69ec","A-",3.585,"F"
"972194eaf9b8b388a5bc62599b069137","B+",3.732,"M"
"1903c3943312c1eb715b14f643040474","C+",3.3325,"M"
"0554a482459a8e1f8944765b874417bb","A-",3.745882353,"F"
"c301388aa301c31a95faa5dce62f60b5","C-",1.75,"M"
"a9bce558a76e9cb842f313bb303a7441","B-",3.6675,"F"
"282da576178c33678a289516835c6fa7","B",2.4175,"M"
"c62bde672e15a52b6b9ebfc70291b858","B-",3.067,"M"
"03251525d5f5cc52b75e99116bd0281f","C",2.0,"M"
"c5e6058f841e487e7c8d1544aed36c8e","F",0.0,"M"
"ff1bf82c06988b76952e46a2459c9d67","B",3.333333333,"M"
"1afefd8d929d0e90cc8bb62685ea2e6f","C+",2.7475,"F"
"a20cff7b962a7537f0104976c604df65","C+",3.776666667,"M"
"fff9305d25d6246e77bc90d3f1002d6b","WP",1.67,"F"
"a7afb44bc6fdea4c9d8818db4a7bb14c","W",2.11,"F"
"515f028eaad4721b6c8606cd66a66d17","A+",3.915,"F"
"515f028eaad4721b6c8606cd66a66d17","A+",3.915,"F"
"79e77bda11f880bf0f3e83526340308d","B+",3.0825,"M"
"e0c45adc107fb8d34407612d9864b054","A-",3.17,"M"
"8ad068fcb6b8c877edcbd595ea0c8577","B+",3.866,"F"
"8a4dd93824c2a3f68a4154b7a945c018","A+",3.666666667,"F"
"8a4dd93824c2a3f68a4154b7a945c018","A+",3.666666667,"F"
"ae9c32209541638c79bbfade79b07712","B+",3.5,"M"
"7ed8733afd9255edbced707978f46ba2","B",3.3325,"F"
"5db621909b89dc9a4fa37878cbb9aea4","A",3.5,"F"
"5db621909b89dc9a4fa37878cbb9aea4","A",3.5,"F"
"a9f36a783c3a2574e698eb620809c4cd","A",3.568,"M"
