"STUDENT_ID","FINAL_GRADE_RECEIVED","GPA","GENDER","ACTCOMP","ACTENGL","ACTMATH","ACTSCIR","HSGPA"
"97fa6d654600a661c1e4c4b3df2a4299","B",3.476428571,"F",25.0,25.0,25.0,24.0,4.0
"8d258186aa53864b5043b214945781d9","B-",3.60375,"F",29.0,34.0,27.0,23.0,4.0
"210e83dd67b982136f1db15f90b643cc","B",3.306923077,"F",25.0,29.0,26.0,27.0,3.80999946594238
"3edd4ab2501079ae16abfae1a7c6adb3","C",3.12,"M",27.0,26.0,28.0,26.0,3.63999938964844
"9fdc722d8b40425cd1d6e60136628515","W",0.556666667,"F",26.0,28.0,27.0,23.0,3.84999847412109
"c51de7dc0862a9feadd7742dfe016f0c","D",2.301,"M",30.0,28.0,34.0,28.0,3.67999839782715
"159c668671ff2f41d7bd7f5fa54fc09d","D",1.64625,"M",14.0,11.0,15.0,19.0,3.33999824523926
"95cbf5c2c9b5dba9e411977f8040058e","W",2.532,"F",19.0,18.0,24.0,19.0,3.65999984741211
"7d56c3b898ad70c42f36e6205fb11ca0","B-",2.916666667,"F",23.0,23.0,23.0,22.0,3.22999954223633
"7b134b99cb78b9f7dc67971df3f9be76","C+",2.302727273,"F",19.0,18.0,19.0,19.0,3.30999946594238
"9483b82e41a3cc1fe74d033a0246ff28","C",2.613846154,"M",27.0,27.0,29.0,29.0,3.91999816894531
"17206b4bbcd0d2b7977169cec6fe369b","W",1.89,"M",23.0,18.0,24.0,24.0,3.53999900817871
"a3da19407896edf06c3a1411c05d5136","B",3.201333333,"M",22.0,23.0,26.0,20.0,3.66999816894531
"ce0b12c2801a39ab02c963ca64a66a69","D",2.54125,"M",24.0,28.0,25.0,23.0,3.3799991607666
"11caf691376b643d147a70a7b7c92160","WP",3.5275,"M",21.0,23.0,22.0,21.0,4.0
"41217791ae6370f4ec6e911179b7dad6","A",3.960588235,"F",32.0,35.0,30.0,31.0,4.0
"a29a650bae518774d7cc7f26f820869f","A",3.888,"M",28.0,28.0,27.0,26.0,3.58999824523926
"fd121b0eff3885df3e0c9820f9a42626","C",3.288,"M",23.0,22.0,29.0,24.0,3.67999839782715
"5e353f98a8ecbf14572b30cf68534c21","B-",2.905714286,"M",22.0,20.0,21.0,26.0,4.0
"a11dff94632958c465d9234f488d45d3","A+",4.33,"M",27.0,26.0,29.0,29.0,3.79999923706055
"a11dff94632958c465d9234f488d45d3","A+",4.33,"M",27.0,26.0,29.0,29.0,3.79999923706055
"14bf9a5497a789a9ec784ccb142a584e","W",4.0,"M",20.0,19.0,26.0,21.0,3.59999847412109
"39263c023a2007b892642f66ad71edb9","WP",0.0,"M",18.0,14.0,22.0,18.0,3.78999900817871
"601e6af5901244a005f1a13aaa2aca3d","F",1.578,"F",27.0,27.0,28.0,26.0,4.0
"b88851ebd587036616b1b5240daa87fd","C",2.499166667,"M",23.0,19.0,27.0,23.0,3.39999961853027
"31fe9ebf410dde0a999698a16bc906a0","W",2.165,"F",28.0,28.0,27.0,26.0,3.71999931335449
"f68d4c2cac6370fa59b7fcb1992c3047","A",4.116470588,"M",30.0,33.0,30.0,31.0,4.0
"b999f162632f00d093490063cb77737f","C",2.401333333,"M",23.0,23.0,26.0,21.0,3.04999923706055
"3887d00ad1442ff4d7ed35ce92da333b","C",2.999285714,"M",22.0,18.0,24.0,24.0,3.20999908447266
"86e78efd42256d99bcdd034d0b4e1e5f","W",0.875,"M",23.0,21.0,25.0,24.0,3.51999855041504
"2850ec4d52bc429964ccaf9cf180ed36","W",0.0,"M",21.0,19.0,24.0,22.0,3.29999923706055
"e4d2278b81e0cb8cf3b387aa3df91500","D",1.714285714,"M",25.0,24.0,25.0,26.0,3.80999946594238
"710561290b5cace6b3aee16b0dc998c8","B",0.0,"F",25.0,23.0,27.0,26.0,3.57999992370605
"710561290b5cace6b3aee16b0dc998c8","B",3.0,"F",25.0,23.0,27.0,26.0,3.57999992370605
"710561290b5cace6b3aee16b0dc998c8","B",3.0,"F",25.0,23.0,27.0,26.0,3.57999992370605
"c33695ee51fbf58ea665b13e01783572","B",3.525714286,"F",27.0,31.0,25.0,23.0,3.96999931335449
"96059e07be3c624c8faeb0f5d514381f","B",2.857857143,"M",23.0,24.0,24.0,23.0,4.0
"b07c328169276835661ba65d4139064e","W",3.0825,"M",20.0,17.0,23.0,23.0,3.01999855041504
"b264adce2360f90470b4217b4ad5a469","F",2.091818182,"F",20.0,20.0,24.0,23.0,3.84999847412109
"f0b9ff7655cdd4c72950250cd4ef31bb","WP",3.616153846,"M",27.0,23.0,28.0,28.0,3.76999855041504
"8e5c3e30f53ce1dbb2d4a3741edda339","D",2.904285714,"F",24.0,25.0,21.0,25.0,3.82999992370605
"c6d313fb2cef1a07fea3ebe8be97069f","D",2.118235294,"M",18.0,18.0,17.0,20.0,2.66999816894531
"574bd312e0329f2dedc647fabe858792","D",2.477857143,"F",23.0,25.0,24.0,23.0,3.6299991607666
"3695211d451045f72913ccfb9ea1ae4d","C",2.999,"F",25.0,22.0,27.0,24.0,3.11999893188477
"e38d2788d46177490b965048c512b321","F",1.435384615,"M",32.0,29.0,29.0,36.0,3.72999954223633
"5d289af35237db5d1f53472fa47a7b94","C",2.868888889,"M",21.0,20.0,22.0,21.0,4.0
"dd7d31d09ba55d469437365b9f75adee","F",1.605454545,"M",27.0,25.0,28.0,26.0,3.29999923706055
"314676ceb9da6c89c4cc10da34b13026","C",2.999230769,"M",20.0,21.0,20.0,20.0,3.85999870300293
"51c181bd280519ae71f602e4e01a3b27","W",0.0,"M",25.0,23.0,21.0,26.0,4.0
"fa0e46c02b2d44da1199caca55ad67ec","B",3.546363636,"F",23.0,24.0,24.0,25.0,3.63999938964844
"e2bead993faaf6c26a40d09ad0f57ca1","B-",3.514615385,"M",24.0,26.0,23.0,22.0,3.90999984741211
"e2bead993faaf6c26a40d09ad0f57ca1","B-",3.514615385,"M",24.0,26.0,23.0,22.0,3.90999984741211
"15797456c4755a3fe943915df125a01e","W",4.0,"M",23.0,24.0,25.0,23.0,3.44999885559082
"14ec8c815afe007b5050761fcc07498d","W",0.0,"F",27.0,29.0,26.0,26.0,3.3799991607666
"6cbfe4cbacbdd28e16bac9769709d1f8","WP",0.0,"M",18.0,16.0,18.0,21.0,2.92999839782715
"8b0159d1cab4d58745a1d71c69ddb2c7","W",3.952857143,"F",24.0,23.0,24.0,25.0,3.34999847412109
"0ad6b351ffe433f8af8b233399e8f900","W",0.0,"M",17.0,14.0,15.0,18.0,3.33999824523926
"4331b7b767bd0be7f2a85e580b58511c","C",2.220833333,"M",14.0,7.0,17.0,19.0,2.94999885559082
"57302ec36d12e40c0dc9b20122fbb24c","B",3.0,"F",20.0,20.0,18.0,20.0,2.80999946594238
"57302ec36d12e40c0dc9b20122fbb24c","B",3.0,"F",20.0,20.0,18.0,20.0,2.80999946594238
"57302ec36d12e40c0dc9b20122fbb24c","B",0.0,"F",20.0,20.0,18.0,20.0,2.80999946594238
"57302ec36d12e40c0dc9b20122fbb24c","B",0.0,"F",20.0,20.0,18.0,20.0,2.80999946594238
"57302ec36d12e40c0dc9b20122fbb24c","B",0.0,"F",20.0,20.0,18.0,20.0,2.80999946594238
"be8918f18aca6f1aa1fc0e45dc609e3a","A+",4.33,"M",30.0,29.0,30.0,27.0,3.86999893188477
"be8918f18aca6f1aa1fc0e45dc609e3a","A+",4.055,"M",30.0,29.0,30.0,27.0,3.86999893188477
"9c62fa03e67a0c6e1fd0a040f1f4c2f6","B",3.399333333,"M",25.0,28.0,26.0,22.0,2.84999847412109
"ffcd16e7fee0c7ff8f2703399081d072","B+",3.49875,"M",25.0,25.0,29.0,26.0,4.0
"62720604af261439a0f305667d8c6e23","A",3.145,"M",25.0,23.0,26.0,24.0,3.8799991607666
"121180f8c3cb6d7b308d4ca769b3a921","D",2.401333333,"M",25.0,21.0,24.0,26.0,2.88999938964844
"38a98c07d8ab4f8c83170fc31d9440db","A",4.058235294,"F",30.0,31.0,30.0,25.0,3.54999923706055
"6d9c504d13b16e827e199c9d0540263a","A+",3.956875,"M",29.0,30.0,29.0,31.0,4.0
"fe9c28e6d28b50c249c2560daa4449c0","B-",3.112222222,"M",21.0,18.0,25.0,22.0,2.90999984741211
"c888f8c23be94397010ef08e75c8cbee","C-",2.745882353,"M",26.0,23.0,28.0,26.0,3.03999900817871
"92c033f398909bdaefdd7b2e9a007ec3","W",0.0,"M",28.0,29.0,26.0,28.0,3.31999969482422
"58077e120e3268fe2973842f4a65b64f","F",1.785714286,"M",28.0,28.0,28.0,30.0,3.1299991607666
"5826518b767d55648667f339bf519c31","C",2.510588235,"F",24.0,28.0,21.0,22.0,3.76999855041504
"17097a03df19b102141c05f5bf046ad4","D",2.232307692,"F",28.0,29.0,28.0,23.0,3.60999870300293
"c7716f52902cbc3bae96074deec88e22","B-",2.515384615,"M",22.0,19.0,24.0,22.0,3.13999938964844
"2e408e38107eb483732a57eef40e6a83","B+",3.000588235,"M",23.0,22.0,26.0,23.0,3.70999908447266
"b88fcb14809d019a2cd27794fad29edb","C",2.977333333,"M",25.0,23.0,29.0,26.0,3.72999954223633
"2f72a888aa59366ace267bba39546ff3","C",2.429285714,"M",27.0,21.0,25.0,32.0,3.84999847412109
"466c7bbce81b24d14b5093823197833a","WP",2.400666667,"M",25.0,24.0,25.0,24.0,3.82999992370605
"9c0e58e8e22e83ab4addfdcdfddbf0ad","B",3.764705882,"M",29.0,29.0,31.0,26.0,4.0
"0afd0ad1190b4623df8a95b3e147f3de","B+",3.421333333,"M",24.0,24.0,27.0,24.0,3.71999931335449
"ed886a90907f90410196e24c2cc7a28f","C+",2.793846154,"M",25.0,23.0,27.0,24.0,3.71999931335449
"71b059456fa4f226f9ce5c1fd39b9b70","D",2.37375,"M",17.0,17.0,19.0,19.0,3.90999984741211
"1c1ca14c57b6f3b8c6e2298ac5f040c0","W",3.2525,"M",30.0,31.0,27.0,29.0,3.32999992370605
"caf214f562c7496700205d5364acfc14","D",3.33,"M",20.0,20.0,24.0,20.0,2.96999931335449
"defa851e6ed8a8353ced3d89b9dc0741","A-",3.853333333,"F",29.0,30.0,31.0,23.0,4.0
"ab8ae1b6e073ecbcdf077ca3d3bc155f","A+",4.165,"F",26.0,25.0,30.0,27.0,4.0
"ab8ae1b6e073ecbcdf077ca3d3bc155f","A+",4.165,"F",26.0,25.0,30.0,27.0,4.0
"7a0460c4d3100d8447874b383b5892d8","B-",2.865294118,"M",23.0,22.0,28.0,23.0,3.65999984741211
"d2aba3ce529dbd1604f985ef7be8973f","B",2.547857143,"M",26.0,27.0,26.0,27.0,3.33999824523926
"727cfed8851e73a245b6bec4da10b467","B",3.629444444,"M",31.0,29.0,28.0,34.0,3.72999954223633
"a00c885074865726d9c335ca8ea1cec9","A-",3.835,"M",29.0,30.0,33.0,31.0,4.0
"4cad9f560d3aa8ca67fc822723e8b47e","B+",3.165,"F",26.0,28.0,27.0,26.0,4.0
"4cad9f560d3aa8ca67fc822723e8b47e","B+",3.165,"F",26.0,28.0,27.0,26.0,4.0
"e15231d9b4faa391e949b477b4cf848c","C-",2.528333333,"M",16.0,14.0,17.0,18.0,3.58999824523926
"1e9f832493b67c6d4e3f2827b444d7ac","C",2.076153846,"M",18.0,18.0,16.0,20.0,2.7599983215332
"2a3d52e4d3c4a31d877aae8a5d5a5874","D",2.5,"F",23.0,20.0,28.0,22.0,3.58999824523926
"a4a856296ab5b89ac190e626a919be85","C+",2.886666667,"M",21.0,19.0,22.0,20.0,3.23999977111816
"45d38110f331ccbb814132e14425bdbe","B-",3.549285714,"M",18.0,20.0,18.0,21.0,3.66999816894531
"ca613b2adb6e6f905fef40ad81abdb20","C",3.0,"M",29.0,29.0,30.0,33.0,4.0
"e41bc4f08912f085b3db97cac5894b75","C",2.91625,"M",28.0,27.0,27.0,26.0,4.0
"f5c1b06ada6c47608c12edfcce7b2ad5","B-",3.512307692,"M",20.0,18.0,24.0,22.0,3.23999977111816
"e649218bbbe7c3af307b57b7412f8e70","A",4.0,"M",22.0,19.0,22.0,20.0,3.11999893188477
"da06f384144c87df0314782d0fc568f4","W",2.715714286,"M",23.0,17.0,26.0,27.0,2.66999816894531
"7a18a6d13c2a578da1364900b77e558a","D",2.43625,"M",23.0,21.0,22.0,25.0,3.3799991607666
"b1932581a690e1d74094b66e841f75d6","B",3.199333333,"M",25.0,31.0,25.0,21.0,3.71999931335449
"8cbf22dad2dfd872aad26e20801674f7","C+",2.909090909,"M",28.0,26.0,30.0,26.0,3.09999847412109
"ebc3b0e87cc62537a52d2e6365a30f93","C",3.090666667,"F",27.0,29.0,25.0,24.0,3.92999839782715
"e831c99c56fc3125a07868c7ad2b438f","B",3.643571429,"M",19.0,15.0,22.0,20.0,2.72999954223633
"323e988086f92a8206a4f1fbd42ce120","B-",2.67,"M",32.0,30.0,29.0,33.0,4.0
"323e988086f92a8206a4f1fbd42ce120","B-",2.67,"M",32.0,30.0,29.0,33.0,4.0
"d23b123103da587f8d178d98c4a0c28f","A",4.0,"F",23.0,21.0,28.0,23.0,4.09999847412109
"4d7fc6ff298b2e087b428e74c85d4cb1","A",4.154,"M",26.0,29.0,21.0,23.0,3.98999977111816
"0b257c93cf0a2ec2ee2538c1909ced0f","D",3.241818182,"M",25.0,20.0,24.0,27.0,2.78999900817871
"a95af4c1b18ed8f0942ec1d4cd20b3b8","D",2.801,"F",20.0,18.0,22.0,20.0,2.73999977111816
"d335e886479cba2683cbb87a018f69cf","W",3.462307692,"F",23.0,25.0,20.0,21.0,3.20999908447266
"aac66da5389ff648b4e168e29b093682","A-",3.627647059,"M",26.0,26.0,26.0,25.0,3.30999946594238
"24ad8bbe68455b9de1d04590c03f801f","A-",3.85375,"M",32.0,28.0,32.0,35.0,4.0
"c6498e732f5855d0b8986e0e1f973365","C",2.666666667,"M",23.0,21.0,25.0,25.0,3.58999824523926
"32d88084b477d65cbcff813448aeda80","WF",2.4375,"M",26.0,22.0,24.0,27.0,3.11999893188477
"b819b348a17e2b67e0efb8dcdf331d04","A-",4.038823529,"M",28.0,29.0,29.0,27.0,4.0
"759c6a1534c51f0932f98f8c5864314d","W",1.857142857,"M",18.0,17.0,18.0,21.0,3.40999984741211
"488ed8346f0feac8f37d29ffd9676a97","A-",3.6125,"M",25.0,21.0,25.0,26.0,3.17999839782715
"c7f7e44f8bb0e671ca6516aff0896a09","WP",2.11,"M",23.0,22.0,24.0,21.0,2.67999839782715
"e2e02ad3ee53d5627fa3f2efae8ba56c","W",2.484545455,"M",18.0,15.0,20.0,21.0,4.0
"aad35d8f946391ef2d2b43048458ac8b","W",3.25,"F",22.0,23.0,26.0,19.0,3.82999992370605
"915d76ca9a7d9cd49c01a8ecab2974be","B-",3.436153846,"M",21.0,19.0,25.0,24.0,4.0
"b7eca9d3958b591397b13cef08e184d7","D",2.352352941,"M",26.0,26.0,27.0,28.0,3.47999954223633
"e33f3d7815c8686de01138756dbc4340","W",1.11,"F",17.0,17.0,19.0,16.0,3.94999885559082
"918d257e762cd529fc62ebf5abfaefc3","B+",3.508823529,"M",28.0,26.0,30.0,27.0,3.72999954223633
