"STUDENT_ID","FINAL_GRADE_RECEIVED","GPA","GENDER"
"f548c08b3f79452d26c4aeed82c74738","W",1.78,"M"
"b386caaaf6fe5b5f994fbe7bc4fbc176","B",3.466666667,"M"
"be623796051a48f440d7d4fbbf873f47","B",3.125625,"M"
"ca6e4c58224d28c658a47871925ba3bd","A",3.120714286,"M"
"603371e1606a654c23ff1519349abd98","C",2.999230769,"M"
"593454a83bf9db4ee463965d1e959012","D",1.928571429,"M"
"c434aabd4296bdaa8e8575bb4f133d2a","B",3.06375,"M"
"268931a7f98ea263a650f117f7d4794f","B-",1.899230769,"M"
"01b51138dadff03a9edd516117688603","C",1.858571429,"M"
"36f836698f08a55b7ead51ba34f1cf26","W",3.553333333,"M"
"776800c5053dd481afdc9fde3bc7abe2","D+",2.272727273,"F"
"fceabaa1adf5d0baa9451e51f6b315e9","A",3.74875,"M"
"44ba1df0c3c38f96ff559f77e59c6253","WP",3.89,"F"
"44ba1df0c3c38f96ff559f77e59c6253","WP",3.89,"F"
"1c9b77619328fb4952cf431bdb60ce4a","B",3.230769231,"M"
"f30e29a979550f2fc667e44b8d3bba94","C",2.764705882,"M"
"dfa1c639022f96af1e2e623e27450780","B",3.351764706,"M"
"093c2299fa38b3d7c87a3a585ce270d9","F",2.138333333,"M"
"eb2b476e87119855e691149cf55c52fc","A-",3.065238095,"F"
"723401218d576ba78e1983dcc359b99f","B-",3.413529412,"F"
"ca184338fe341af79bbacef979e18f7e","B",3.0,"M"
"ca184338fe341af79bbacef979e18f7e","B",3.0,"M"
"c6e0431d81daddabbda605d471fe6d16","W",0.0,"M"
"be5136c750df8694b7f66228b23d44d5","B+",3.753333333,"M"
"7d7c23196279c2f22bd68ea44f1bb7c6","B",2.462307692,"M"
"8b37dd32c109c521c5c79b7b0ada7dbd","A",4.0,"M"
"c94aa5e65d814876a5815b6223cdfe69","W",1.0,"M"
"24fba6ad6a5d6fa31f3d2014023638e7","A+",4.194117647,"F"
"39f2773810f06e76eda8c8f1e0b92f38","W",2.0,"M"
"4c70941fd2ff3e3e3cd8f39f5bec34c1","B",3.152307692,"F"
"345604076b3361219e78a52d44fc25d7","B",3.62,"F"
"9b2dd120a0c99fb033a8e0aea3f0a0b8","B",2.712857143,"M"
"c7d0b9274b319a8a343ee56d56325a71","C-",2.915,"M"
"beb1f42087c34b6c8cfdd552c052565c","D",2.572857143,"M"
"dcec0d290e03dd40849b1e66e0bc3ad5","A",4.088,"F"
"30c84f2937979df4ffd6639ad0594d44","D",1.923076923,"M"
"66965a5cf3ce4519d104bebf6272f6ce","B",3.230769231,"M"
"c46751c3f768891326e737f6b7e36e82","C+",2.643125,"M"
"b2912e15e748838cb4c56a3659e501ae","A-",2.978125,"M"
"70a806948fadd9a516391e699e2713dc","A",3.817272727,"M"
"5d162002bd5fccfc7a85d6fb3bfc75b0","C",2.165,"M"
"e3f36a3599dd1e06968720761b8483d5","B-",2.743846154,"F"
"3f6c7a2f345e5d5d1b11cb6bbea542de","B+",3.33,"M"
"3f6c7a2f345e5d5d1b11cb6bbea542de","B+",3.33,"M"
"4f768bfc2ec42930762f465ae22eb547","A",3.499,"F"
"f3d45aca014db9b447975e2c553708ed","B+",3.354666667,"F"
