"STUDENT_ID","FINAL_GRADE_RECEIVED","GPA","GENDER","ACTCOMP","ACTENGL","ACTMATH","ACTSCIR","HSGPA"
"32552162400dfbcc15b86dbb57886def","A-",3.89,"F",30.0,33.0,33.0,28.0,4.0
"32552162400dfbcc15b86dbb57886def","A-",0.0,"F",30.0,33.0,33.0,28.0,4.0
"14910229097590c1687d981d94f7dc02","C",2.624375,"M",30.0,28.0,31.0,25.0,3.59999847412109
"0ff400b0fe687cda20793bb7483cd071","W",3.2,"M",28.0,29.0,28.0,29.0,3.95999908447266
"e924fc4f2ff39aa5678063829765a3ad","C+",2.428571429,"M",28.0,26.0,27.0,32.0,4.0
"0731559b9b20e97ce803d05df5935e45","B-",3.874375,"F",30.0,33.0,28.0,27.0,4.0
"b754f9d0ae3dd39aa298a12929f93ad5","WP",1.6675,"M",28.0,30.0,28.0,31.0,3.32999992370605
"7d56c3b898ad70c42f36e6205fb11ca0","W",2.916666667,"F",23.0,23.0,23.0,22.0,3.22999954223633
"bd816c3cea0e111da54f93c5cd8b9d02","WP",3.0,"M",19.0,15.0,22.0,20.0,3.43999862670898
"70a2ce288cf7b2f482f3190843bf3d26","C+",3.3925,"F",28.0,30.0,28.0,25.0,3.92999839782715
"51c181bd280519ae71f602e4e01a3b27","W",0.0,"M",25.0,23.0,21.0,26.0,4.0
"e2bead993faaf6c26a40d09ad0f57ca1","A-",3.514615385,"M",24.0,26.0,23.0,22.0,3.90999984741211
"e2bead993faaf6c26a40d09ad0f57ca1","A-",3.514615385,"M",24.0,26.0,23.0,22.0,3.90999984741211
"15797456c4755a3fe943915df125a01e","W",4.0,"M",23.0,24.0,25.0,23.0,3.44999885559082
"093c2299fa38b3d7c87a3a585ce270d9","C",2.138333333,"M",23.0,22.0,22.0,20.0,3.17999839782715
"03242bf8e3bafcfe043b678bd983b5d7","A-",4.020625,"F",30.0,27.0,29.0,26.0,4.0
"302707d3c96ecea9afed63f40d40bc0d","C+",2.165,"F",22.0,23.0,19.0,21.0,3.38999938964844
"1f79fe5bdd82721f217a1fda356e906f","A-",4.0825,"M",23.0,18.0,18.0,20.0,3.30999946594238
"c888f8c23be94397010ef08e75c8cbee","B-",2.745882353,"M",26.0,23.0,28.0,26.0,3.03999900817871
"c7e2c8356e8833fd572e6ca4cecdd827","W",3.132,"M",24.0,23.0,26.0,24.0,3.57999992370605
"1b2e2adbc9ae9b7a10632dabe93abd30","W",0.0,"F",27.0,30.0,25.0,25.0,3.94999885559082
"f68d4c2cac6370fa59b7fcb1992c3047","A",4.116470588,"M",30.0,33.0,30.0,31.0,4.0
"a62527e50b716585461a79f228107044","B+",4.023076923,"M",27.0,23.0,31.0,27.0,3.13999938964844
"6c8e99e04ff823729aa27fa6894781c8","A-",2.91625,"M",25.0,22.0,21.0,27.0,3.46999931335449
"1491e4d65abf4474663b8eee449feaa8","WP",3.817272727,"F",25.0,27.0,29.0,22.0,3.95999908447266
"8717c5c3cf47a977e166e748b77a991d","A+",4.185625,"F",28.0,29.0,34.0,26.0,4.0
"58077e120e3268fe2973842f4a65b64f","WP",1.785714286,"M",28.0,28.0,28.0,30.0,3.1299991607666
"314676ceb9da6c89c4cc10da34b13026","W",2.999230769,"M",20.0,21.0,20.0,20.0,3.85999870300293
"62720604af261439a0f305667d8c6e23","B-",3.145,"M",25.0,23.0,26.0,24.0,3.8799991607666
"4aaaf5e824c2a5b3d3cd5de6638971b4","B",3.665714286,"F",26.0,27.0,24.0,26.0,3.03999900817871
"dc546fb7d8483e6e9e7b3703179bfafb","C+",2.613846154,"M",22.0,23.0,23.0,22.0,2.53999900817871
"0dbf0d91a7e54ce5fe979d5d1afceeb6","D",1.799,"M",21.0,20.0,22.0,21.0,3.18999862670898
"92f65b9895a08a0fe8377073e34a92af","B",3.25,"M",24.0,21.0,27.0,26.0,3.18999862670898
"ccda37f6640dcebb7dc231123c6d1865","B",3.5485,"F",31.0,32.0,29.0,27.0,3.86999893188477
"d500f6d3127fbf9343acf09c087f0ae9","B-",3.471764706,"F",26.0,28.0,26.0,26.0,4.0
"db82dcb8402aa76e0ca2fd0daab4e11e","W",0.927857143,"F",26.0,25.0,25.0,26.0,3.95999908447266
"bb107e6a23d22386029cdd503eea2ad1","B+",3.544545455,"M",28.0,30.0,28.0,28.0,4.0
"be8918f18aca6f1aa1fc0e45dc609e3a","A-",4.055,"M",30.0,29.0,30.0,27.0,3.86999893188477
"be8918f18aca6f1aa1fc0e45dc609e3a","A-",4.33,"M",30.0,29.0,30.0,27.0,3.86999893188477
"8fe4430db0b49645087536e517d5b9a2","A-",3.761428571,"M",36.0,35.0,36.0,36.0,4.0
"6cbfe4cbacbdd28e16bac9769709d1f8","WP",0.0,"M",18.0,16.0,18.0,21.0,2.92999839782715
"c7716f52902cbc3bae96074deec88e22","WP",2.515384615,"M",22.0,19.0,24.0,22.0,3.13999938964844
"c33695ee51fbf58ea665b13e01783572","W",3.525714286,"F",27.0,31.0,25.0,23.0,3.96999931335449
"abd2fd8b5ab8322ebe7a75f4f357c33d","A",3.093571429,"M",22.0,20.0,25.0,22.0,3.70999908447266
"22e82c58c5471be9513cd52d669f4120","B+",3.570714286,"M",18.0,14.0,16.0,20.0,2.92999839782715
"5826518b767d55648667f339bf519c31","C",2.510588235,"F",24.0,28.0,21.0,22.0,3.76999855041504
"e01d510c92a34dbfdc6206b7e3b6cd64","C+",3.149090909,"M",17.0,14.0,19.0,19.0,3.64999961853027
"42502d16c88dd8b97324d643598ef6ac","B+",3.8125,"M",25.0,28.0,24.0,26.0,4.0
"3695211d451045f72913ccfb9ea1ae4d","W",2.999,"F",25.0,22.0,27.0,24.0,3.11999893188477
"55310369836e15079cd03f4527e95140","A",3.842105263,"M",27.0,28.0,28.0,24.0,3.82999992370605
"dd7d31d09ba55d469437365b9f75adee","D",1.605454545,"M",27.0,25.0,28.0,26.0,3.29999923706055
"4826485eb95e0d07f128785a67ef46bc","C",2.215,"M",30.0,27.0,30.0,31.0,4.0
"14ec8c815afe007b5050761fcc07498d","W",0.0,"F",27.0,29.0,26.0,26.0,3.3799991607666
"e4d2278b81e0cb8cf3b387aa3df91500","W",1.714285714,"M",25.0,24.0,25.0,26.0,3.80999946594238
"046814c8b31759cf1d231bc279d81fd6","WP",3.5,"M",23.0,22.0,25.0,25.0,3.83999824523926
"f9a3db8a477dbe540380c897ac246f1e","B+",3.356428571,"M",23.0,21.0,23.0,24.0,3.22999954223633
