"STUDENT_ID","FINAL_GRADE_RECEIVED","GPA","GENDER"
"821bcd01bbbc5e0e7a1978cfe6ef6b99","A",3.0825,"M"
"c434aabd4296bdaa8e8575bb4f133d2a","B-",3.06375,"M"
"f30e29a979550f2fc667e44b8d3bba94","D",2.764705882,"M"
"46510bc844c6eada107991ae9fabd2f8","F",1.175882353,"M"
"595f4093f3fbe83c6a1faa14bb74131d","A",3.667692308,"M"
"c88397c8a07e63913cf057dad86f5150","C",3.25,"M"
"c88397c8a07e63913cf057dad86f5150","C",0.0,"M"
"ff22c37803412d81bc8f7297ebfa49a6","D",1.915,"M"
"89b87b9ccb27296a62161466c2a5b432","C",3.142857143,"F"
"c466ee1bd8e72030f1625b4de7b90e09","WP",3.095714286,"F"
"c466ee1bd8e72030f1625b4de7b90e09","WP",0.0,"F"
"be5136c750df8694b7f66228b23d44d5","A",3.753333333,"M"
"0766e750de70e256f80a8698c8e72cd5","W",3.732,"M"
"9272e74fb23348c2f1110122b2d9fd3a","B-",3.445,"M"
"e6c974d406141a8f9435201956aba1c4","WP",0.0,"M"
"8bb3e2e68f3f0290be056621b73637e1","C",1.0,"M"
"888c3b1a3132ccf7ac7693b56a0eaf05","B",3.65,"M"
"4c70941fd2ff3e3e3cd8f39f5bec34c1","B",3.152307692,"F"
"77897ec58fd83d8e0b2e4be15fc9758b","C",2.901,"M"
"9b2dd120a0c99fb033a8e0aea3f0a0b8","C+",2.712857143,"M"
"c7d0b9274b319a8a343ee56d56325a71","B",2.915,"M"
"41a91d59ef2fc98ff4bd29bdcc8c505b","W",0.0,"M"
"148d5944956696705eefac892fe384ed","WP",0.0,"M"
"82bf8c84ea873351fb11993664b5a6ed","A",0.0,"M"
"82bf8c84ea873351fb11993664b5a6ed","A",3.734,"M"
"0598fd620c18cb8865de3a3731bb0581","B",3.306923077,"F"
"533d70208cdbfb04a74550fefa90d186","B-",2.454545455,"M"
"895b8560d6578f810610d6d07452ad04","B+",3.555,"M"
"0331e2346475a4ba3a0f8facfb6a857b","C+",2.776666667,"M"
"0331e2346475a4ba3a0f8facfb6a857b","C+",0.0,"M"
"c46751c3f768891326e737f6b7e36e82","C",2.643125,"M"
