"STUDENT_ID","FINAL_GRADE_RECEIVED","GPA","GENDER"
"821bcd01bbbc5e0e7a1978cfe6ef6b99","A-",3.0825,"M"
"46510bc844c6eada107991ae9fabd2f8","A",1.175882353,"M"
"be5136c750df8694b7f66228b23d44d5","A",3.753333333,"M"
"c466ee1bd8e72030f1625b4de7b90e09","A-",0.0,"F"
"c466ee1bd8e72030f1625b4de7b90e09","A-",3.095714286,"F"
"64c79b20afbcc16f9128450ad3ef78f9","A-",3.047142857,"M"
"ef2f6b385c7ad3c90e7353bc32f71e25","A-",3.627647059,"M"
"e9f6e9722c4fbf056c5cf8f0a7889f26","A",3.4,"M"
"a808e0b800313c2c5222e5a5cc449235","A+",3.487692308,"M"
"24bd7778dafe436143bf2c0f59ceee9d","A-",3.85375,"M"
"1e19f6bcaf725e6e4071790b3ff79c86","A",2.431428571,"M"
"92dbeb61ab03048458d49ca0d847178b","A",3.637272727,"M"
"895b8560d6578f810610d6d07452ad04","A-",3.555,"M"
"c2309f37aaf64e4f62e001e4820b4111","WP",2.6,"M"
"0afef77667568bf43c00f63ed601ab54","A-",3.8325,"M"
"d7bded1c19b76aa86ba5beb9f195ba96","A-",2.820769231,"M"
"66dff44db683ac94360aad328439bbdd","B+",3.234,"M"
"bc051f126ddb7921d141130f4083f249","A-",3.222666667,"M"
"51889bbef2a422648e279848cecd0a1f","A",2.998181818,"F"
"6cf088e25ea8a3d36e9f0a58558a35f7","A",3.053333333,"M"
"d8400cdb7c5da54eae8037457e45d0a6","A",3.536666667,"F"
"e615a71e510fa922a1839b6fb1520ed8","A+",3.029090909,"M"
"9e27b02488c6d5a991ebc871ae9ecdaf","A",3.4375,"M"
"03bbe64759fa6d5787161680ff255cca","A-",1.70875,"M"
"03bbe64759fa6d5787161680ff255cca","A-",1.70875,"M"
"9c7a25c6e44ca5b1f63f75ee2061a8d0","A",3.25,"F"
"9b6264b12df8ca3338aee5280dbcf1e8","B+",2.844117647,"M"
"5a637fef212adc2cd48291515fd0675b","A-",3.313888889,"M"
"701725540753fa33f90cbef6cd2c6e99","A-",4.11,"M"
"09caa6d16b63f8db038ec40072ca09aa","A",2.749375,"F"
"f68d4c2cac6370fa59b7fcb1992c3047","A",3.423333333,"M"
"ccdfdd9365bd457c99e3bbbefa4f0e6d","WP",2.666153846,"M"
"ccda37f6640dcebb7dc231123c6d1865","A",4.018333333,"F"
"8fe4430db0b49645087536e517d5b9a2","A",3.888,"M"
"1033b587487a5bafcb63f4bcd3c8e8a5","W",0.0,"M"
"1033b587487a5bafcb63f4bcd3c8e8a5","W",2.5,"M"
"e01d510c92a34dbfdc6206b7e3b6cd64","A",2.712857143,"M"
"42502d16c88dd8b97324d643598ef6ac","A",3.112222222,"M"
"264981566911e52750920068559a26b6","A",2.906666667,"M"
"22e82c58c5471be9513cd52d669f4120","A",3.165,"M"
"8b16a40951ea90feae664abd4fe94801","A",3.199,"M"
"341a097c0b648d0af2e2d0c1d974a882","A",3.154666667,"M"
"f6f403b20dbf5dc87dcb1175369ba28a","A",3.50125,"M"
"a7b7679e1142ee73eabb473be4dbfbd6","A",3.084166667,"F"
"9c62fa03e67a0c6e1fd0a040f1f4c2f6","A",3.411764706,"M"
"abd2fd8b5ab8322ebe7a75f4f357c33d","A",3.621333333,"M"
"ab83bffaa1b0184f407238737e6a7285","A",3.763529412,"M"
"0d975d15a170781160cbde0f8fdcf56e","A",4.0,"M"
"55310369836e15079cd03f4527e95140","A",3.572777778,"M"
"6545041479b6d3f6b93406e53726f987","A",3.7525,"M"
"4818099d23d3de78b7ccb69d82d5de86","A",2.853125,"M"
"2e5e77892cc6147a169dfaffbb163aa6","A",3.5275,"M"
"7a0460c4d3100d8447874b383b5892d8","A",3.001,"M"
"6d73ebe268277a06e19d9bad8c3860d5","A",2.427142857,"M"
"6999df0d504ca1a7cfa6500f7a95e642","A",3.907272727,"M"
"e93ac3af44812bd2aac8917e0734ede5","A",2.881764706,"M"
"92f65b9895a08a0fe8377073e34a92af","A",2.536923077,"M"
"c888f8c23be94397010ef08e75c8cbee","A",3.664,"M"
"6c8e99e04ff823729aa27fa6894781c8","A",2.284285714,"M"
"7ce92f7d54c0a9b29f297f0e16e536b7","A",3.926666667,"F"
"5e164d1a86cb4c5d6ede9bef7f852e63","A",2.765294118,"F"
"e907c0f2070f0405f40fb52594b92cba","A",2.256666667,"M"
"1d9924f405ded7c4a435f86dbb3cf02a","A",3.194705882,"M"
