"complexity","passRate","gradRate4","gradRate5","gradRate6"
"4.0","0.0","0.0","0.0","0.0"
"7.0","0.0","0.0","0.0","0.0"
"9.0","0.0","0.0","0.0","0.0"
"9.0","0.0","0.0","0.0","0.0"
"10.0","0.0","0.0","0.0","0.0"
"11.0","0.0","0.0","0.0","0.0"
"12.0","0.0","0.0","0.0","0.0"
"4.0","2.5","0.0","0.0001","0.0002"
"7.0","2.5","0.0","0.0","0.0001"
"9.0","2.5","0.0","0.0","0.0"
"9.0","2.5","0.0","0.0","0.0001"
"10.0","2.5","0.0","0.0","0.0"
"11.0","2.5","0.0","0.0","0.0001"
"12.0","2.5","0.0","0.0001","0.0001"
"4.0","5.0","0.0008","0.0023","0.0048"
"7.0","5.0","0.0009","0.0016","0.0028"
"9.0","5.0","0.0004","0.0009","0.0021"
"9.0","5.0","0.0002","0.0006","0.0022"
"10.0","5.0","0.0003","0.0006","0.0008"
"11.0","5.0","0.0001","0.0004","0.0007"
"12.0","5.0","0.0004","0.0007","0.0013"
"4.0","7.5","0.0035","0.0085","0.0147"
"7.0","7.5","0.0017","0.0045","0.0087"
"9.0","7.5","0.001","0.0021","0.0047"
"9.0","7.5","0.0013","0.0034","0.0065"
"10.0","7.5","0.0003","0.0012","0.0047"
"11.0","7.5","0.0011","0.0018","0.003"
"12.0","7.5","0.0006","0.0014","0.0034"
"4.0","10.0","0.008","0.0181","0.0341"
"7.0","10.0","0.0058","0.0133","0.0254"
"9.0","10.0","0.0035","0.0094","0.0179"
"9.0","10.0","0.0038","0.0091","0.018"
"10.0","10.0","0.0029","0.0063","0.0138"
"11.0","10.0","0.0031","0.0068","0.0124"
"12.0","10.0","0.0026","0.0056","0.0102"
"4.0","12.5","0.0173","0.0398","0.0715"
"7.0","12.5","0.0137","0.029","0.0516"
"9.0","12.5","0.0094","0.0212","0.0395"
"9.0","12.5","0.0095","0.0198","0.036"
"10.0","12.5","0.0066","0.0151","0.0265"
"11.0","12.5","0.0061","0.0125","0.0226"
"12.0","12.5","0.0064","0.0127","0.0242"
"4.0","15.0","0.038","0.0734","0.1196"
"7.0","15.0","0.0283","0.0562","0.0926"
"9.0","15.0","0.0166","0.0363","0.0657"
"9.0","15.0","0.0187","0.0382","0.0649"
"10.0","15.0","0.0122","0.0287","0.051"
"11.0","15.0","0.0103","0.0245","0.0452"
"12.0","15.0","0.0093","0.0207","0.0363"
"4.0","17.5","0.0582","0.1106","0.1768"
"7.0","17.5","0.0444","0.0849","0.1346"
"9.0","17.5","0.0266","0.0586","0.1017"
"9.0","17.5","0.0263","0.0547","0.098"
"10.0","17.5","0.0184","0.0415","0.0734"
"11.0","17.5","0.02","0.0434","0.0764"
"12.0","17.5","0.0143","0.0344","0.0613"
"4.0","20.0","0.0919","0.1626","0.2494"
"7.0","20.0","0.0653","0.1263","0.1957"
"9.0","20.0","0.0442","0.0845","0.1408"
"9.0","20.0","0.0416","0.0849","0.1415"
"10.0","20.0","0.034","0.0742","0.1244"
"11.0","20.0","0.0322","0.0651","0.1094"
"12.0","20.0","0.0242","0.0533","0.0918"
"4.0","22.5","0.1259","0.2208","0.33"
"7.0","22.5","0.0907","0.1653","0.2503"
"9.0","22.5","0.0735","0.1324","0.2015"
"9.0","22.5","0.0616","0.1149","0.189"
"10.0","22.5","0.0482","0.0971","0.1664"
"11.0","22.5","0.0389","0.0825","0.1447"
"12.0","22.5","0.0358","0.0763","0.1314"
"4.0","25.0","0.169","0.2825","0.3973"
"7.0","25.0","0.1219","0.217","0.3151"
"9.0","25.0","0.0881","0.1628","0.2519"
"9.0","25.0","0.0904","0.1673","0.2538"
"10.0","25.0","0.0663","0.1273","0.2052"
"11.0","25.0","0.0625","0.1204","0.1982"
"12.0","25.0","0.0581","0.1114","0.1781"
