"diff","coef"
2.5,-3.999999999999994e-6
5.0,-0.0002376666666666665
7.5,-0.0009153333333333326
10.0,-0.0016473333333333338
12.5,-0.0036716666666666625
15.0,-0.006997333333333333
17.5,-0.010036666666666652
20.0,-0.014194
22.5,-0.019053
25.0,-0.022735666666666664
27.5,-0.027124666666666672
30.0,-0.029933333333333333
32.5,-0.03205733333333333
35.0,-0.03456266666666667
37.5,-0.03712699999999999
40.0,-0.037408666666666666
42.5,-0.036340333333333336
45.0,-0.03490266666666665
47.5,-0.032198333333333155
50.0,-0.031039999999999995
52.5,-0.028957666666666514
55.0,-0.024997333333333344
57.5,-0.022535666666666673
60.0,-0.01809733333333329
62.5,-0.015563666666666663
65.0,-0.012597666666666665
67.5,-0.010253333333333205
70.0,-0.008745333333333329
72.5,-0.0061573333333331415
75.0,-0.004545666666666671
77.5,-0.003085666666666486
80.0,-0.0020353333333333313
82.5,-0.0014176666666663338
85.0,-0.0007479999999998476
87.5,-0.00035799999999999623
90.0,-0.00013566666666667458
92.5,-2.90000000000016e-5
95.0,-1.1333333333334667e-5
97.5,-0.003338333333333315
