"combinations","n","pMax","pAvg","r2","rse1","rse2"
"complexity","1","4.244646523225243e-6","2.1223232616126216e-6","0.37009051115166114","0.4767573411530641","0.4835201944182804"
"blocking","1","6.644998320007017e-8","3.3224991600035084e-8","0.44756093829288623","0.44647845152231","0.45281179553841605"
"delay","1","8.615599347280906e-5","4.307799673640453e-5","0.2998583632364151","0.502633310265825","0.5097632168873287"
"inverseBlocking","1","6.644998320007017e-8","3.3224991600035084e-8","0.44756093829288623","0.44647845152231","0.45281179553841605"
"inverseDelay","1","4.862544135095552e-5","2.431272067547776e-5","0.3142982561554968","0.49742308972433136","0.504479088816868"
"centrality","1","9.059261926766821e-9","4.529630963383411e-9","0.4785127445116042","0.43379062654792805","0.43994399242599647"
"creditHours","1","0.4647457694882892","0.2323728848534198","0.5281371864161166","0.41263512152998816","0.41848839433378565"
"free","1","0.00355361838204102","0.00177680919102051","0.19099118337762522","0.5402999671183588","0.5479641792477102"
"timeComp1","1","2.629113017841138e-6","1.314556508920569e-6","0.3800565988803619","0.47297080572869926","0.47967994658878177"
"timeComp2","1","4.9973277210587605e-5","2.4986638605293803e-5","0.3136205625863252","0.4976688359123407","0.5047283209405232"
"complexity,blocking","2","0.0009051505511552308","0.00031147362808840414","0.5797772126153933","0.3949256499803349","0.4006912929159265"
"complexity,delay","2","2.9270333109996048e-5","1.0215378503344784e-5","0.5797772126153928","0.39492564998033514","0.4006912929159267"
"complexity,inverseBlocking","2","0.0009051505511552308","0.00031147362808840414","0.5797772126153933","0.3949256499803349","0.4006912929159265"
"complexity,inverseDelay","2","0.06869263865514187","0.026097769931443235","0.42457484162879877","0.4621361744790558","0.46888304485781984"
"complexity,centrality","2","0.3153921807848822","0.10631822266101291","0.4931105731944311","0.4337426796577095","0.44007502453568226"
"complexity,creditHours","2","0.08655168270325388","0.028850611565360475","0.7360266892551337","0.3130080822448005","0.3175777850186458"
"complexity,free","2","0.3717646987665565","0.12422923559050902","0.38412812216321657","0.4781021853736907","0.4850821485331562"
"complexity,timeComp1","2","0.8284805795931987","0.4210461522698055","0.38088687417744915","0.4793586270570567","0.48635693340115965"
"complexity,timeComp2","2","0.11380921737702755","0.04309245305171277","0.41209252031138244","0.467121691415898","0.47394134691385753"
"blocking,delay","2","0.0009051505511552836","0.0003021754511851071","0.5797772126153926","0.3949256499803352","0.4006912929159267"
"blocking,inverseDelay","2","0.0008327589458817361","0.00027836230146384075","0.5811842369059659","0.3942639344398663","0.400019916783568"
"blocking,centrality","2","0.9748055578492648","0.3747337670847148","0.478527605135048","0.4399377239232514","0.4463605121877377"
"blocking,creditHours","2","0.023196335495501326","0.007732111999990905","0.7758007670309593","0.2884646521629857","0.29267603773390066"
"blocking,free","2","0.6429513180561179","0.2143327366985536","0.4509322614462866","0.4514280130046661","0.4580185515889239"
"blocking,timeComp1","2","0.09252102212171931","0.032951930851822374","0.48888737027462215","0.4355458182144643","0.44190448767551277"
"blocking,timeComp2","2","0.006723813651189043","0.002250300148249601","0.5433881673993495","0.4116699084180353","0.4176800060133276"
"delay,inverseBlocking","2","0.0009051505511553874","0.0003021754511851417","0.5797772126153932","0.3949256499803349","0.4006912929159265"
"delay,inverseDelay","2","0.9015755420891954","0.4290696335545288","0.31459776887574076","0.5043688992126044","0.5117323383329098"
"delay,centrality","2","0.1504379504692722","0.05018653798555702","0.5076035879374821","0.42749691189569733","0.43373807285898586"
"delay,creditHours","2","0.18433862641429444","0.06144879492887517","0.6997046091029607","0.33384884283006605","0.33872280637817803"
"delay,free","2","0.20456297999825096","0.07048356864499358","0.33063927475227595","0.4984316998243151","0.5057084599160185"
"delay,timeComp1","2","0.2609071230784691","0.09186041435608898","0.4016640044690002","0.47124646701741196","0.47812634140292404"
"delay,timeComp2","2","0.9025194533117818","0.43320906187107006","0.3139146221984789","0.5046201911611248","0.5119872989710881"
"inverseBlocking,inverseDelay","2","0.0008327589458817361","0.00027836230146384075","0.5811842369059659","0.3942639344398663","0.400019916783568"
"inverseBlocking,centrality","2","0.9748055578492648","0.3747337670847148","0.478527605135048","0.4399377239232514","0.4463605121877377"
"inverseBlocking,creditHours","2","0.023196335495501326","0.007732111999990905","0.7758007670309593","0.2884646521629857","0.29267603773390066"
"inverseBlocking,free","2","0.6429513180561179","0.2143327366985536","0.4509322614462866","0.4514280130046661","0.4580185515889239"
