"combinations","n","pMax","pAvg","r2","rse1","rse2"
"complexity","1","0.0","0.0","0.4643250235747203","0.053319274490969806","0.05333409981434569"
"blocking","1","6.267915606736427e-297","3.1339578033682137e-297","0.42986608291956163","0.055007510547758674","0.05502280528197549"
"delay","1","0.0","0.0","0.4885896483126191","0.05209767102993472","0.05211215668877991"
"inverseBlocking","1","6.267915606736427e-297","3.1339578033682137e-297","0.42986608291956163","0.055007510547758674","0.05502280528197549"
"inverseDelay","1","0.0","0.0","0.554262334163687","0.04863772121162517","0.04865124483797066"
"centrality","1","0.0","0.0","0.48167289967879534","0.05244879440473837","0.05246337769277348"
"creditHours","1","0.9999879268387252","0.9999847312957342","0.0","0.07285067025463408","0.07287092624564269"
"free","1","2.379558840901317e-97","1.1897794204506585e-97","0.1959519106750902","0.0653242698122238","0.06534243310183166"
"timeComp1","1","0.0","0.0","0.5551342287152741","0.048590128506942686","0.0486036389002267"
"complexity,blocking","2","2.9452343416601923e-23","9.817447805533974e-24","0.492199043865046","0.05192793433159758","0.051942380829117736"
"complexity,delay","2","0.0003503460419046247","0.00011678201396820823","0.492199043865046","0.05192793433159758","0.051942380829117736"
"complexity,inverseBlocking","2","2.9452343416601923e-23","9.817447805533974e-24","0.492199043865046","0.05192793433159758","0.051942380829117736"
"complexity,inverseDelay","2","9.21542378502052e-6","3.071807928340173e-6","0.559085304570534","0.048387320884651926","0.048400782373543505"
"complexity,centrality","2","0.5598738026163455","0.18662460087211755","0.4817708740287231","0.05245841913645024","0.05247301321633655"
"complexity,creditHours","2","0.9999852310119197","0.6666533218310519","0.46432502357471994","0.053334099814345705","0.053348937511061845"
"complexity,free","2","2.2796500338587188e-48","7.598833446195729e-49","0.5211993258831897","0.050423346591800616","0.050437374508775806"
"complexity,timeComp1","2","2.543322554978997e-61","8.47774184992999e-62","0.613772908951449","0.04528721941978228","0.045299818451718835"
"complexity,timeComp2","2","0.999992865179669","0.9999900704149476","0.4643250235747203","0.05333409981434569","0.05334893751106184"
"blocking,delay","2","0.00035034604190563643","0.00011678201396854547","0.492199043865046","0.05192793433159758","0.051942380829117736"
"blocking,centrality","2","8.9395511799149e-54","2.979850393304967e-54","0.542345139034121","0.04929732222840761","0.049311036882234885"
"blocking,creditHours","2","0.9999851266210646","0.666653558151435","0.42986608291956185","0.055022805281975486","0.05503811278130682"
"blocking,free","2","2.9979111082643117e-21","9.993037027547706e-22","0.45691310272625174","0.05370181353326067","0.05371675352896861"
"blocking,timeComp1","2","3.1119801215772185e-68","1.0373267071924061e-68","0.6195999052302041","0.04494429764632958","0.04495680127646335"
"blocking,timeComp2","2","2.94523434184281e-23","9.8174478061427e-24","0.4921990438650461","0.051927934331597564","0.05194238082911773"
"delay,inverseBlocking","2","0.00035034604190375593","0.00011678201396791864","0.492199043865046","0.05192793433159758","0.051942380829117736"
"delay,inverseDelay","2","0.0007614785830790057","0.00025382619435966857","0.5570542356309336","0.048498640677732865","0.04851213313610427"
"delay,centrality","2","7.516419426507717e-8","2.5054811864221047e-8","0.496687118080693","0.051697948879989714","0.05171233139490978"
"delay,creditHours","2","0.9999856567426735","0.6666532725650391","0.48858964831261886","0.052112156688779915","0.05212665443747848"
"delay,free","2","5.89355934634386e-74","1.9645197821146198e-74","0.5680946443270476","0.04789041323328371","0.04790373648106777"
