"combinations","n","pMax","pAvg","r2","rse1","rse2"
"complexity","1","1.2033673110796436e-7","6.016836555398218e-8","0.43763773608093215","0.11692812275674566","0.11858676053433825"
"blocking","1","5.55792471752761e-10","2.778962358763805e-10","0.5165890092833534","0.10840995198520348","0.10994775861025069"
"delay","1","5.822365809943685e-6","2.9111829049718424e-6","0.36334710240032186","0.1244119943541022","0.12617679164115558"
"inverseBlocking","1","5.55792471752761e-10","2.778962358763805e-10","0.5165890092833534","0.10840995198520348","0.10994775861025069"
"inverseDelay","1","3.080240881794038e-6","1.540120440897019e-6","0.3767951184902779","0.12309100432700502","0.12483706323092945"
"centrality","1","3.6654590906786314e-11","1.8327295453393157e-11","0.5487860778818641","0.10473748412413841","0.10622319640449124"
"creditHours","1","2.6511656984386073e-7","1.3256044906714378e-7","0.4238936665436088","0.11834835256116615","0.12002713644861612"
"free","1","0.003942159412254476","0.00197122012385103","0.18754721244104","0.14054323910663685","0.14253685980516165"
"timeComp1","1","5.34446957542353e-8","2.672234787711765e-8","0.4511160811849315","0.11551839480199882","0.11715703543958143"
"timeComp2","1","1.8975042005164782e-6","9.487521002582391e-7","0.3866715772679886","0.12211174502879667","0.12384391303609354"
"complexity,blocking","2","0.0010702909978770729","0.0003635126606345062","0.6297876610566271","0.09621738841991441","0.09762209613097844"
"complexity,delay","2","2.0246984026455574e-5","6.922219868536825e-6","0.6297876610566272","0.0962173884199144","0.09762209613097843"
"complexity,inverseBlocking","2","0.0010702909978770729","0.0003635126606345062","0.6297876610566271","0.09621738841991441","0.09762209613097844"
"complexity,inverseDelay","2","0.05804242615960228","0.021120317984465453","0.4899863439851593","0.11293252088618344","0.1145812580377926"
"complexity,centrality","2","0.3726967165268902","0.12487660015538389","0.5588031802972302","0.10503748312990463","0.10657095815896493"
"complexity,creditHours","2","2.2999548424225575e-8","1.0999025599325988e-8","0.7027829256012135","0.08621145954095549","0.08747008757054561"
"complexity,free","2","0.5356792316391347","0.17857956985505877","0.44373451386701124","0.11794218724184242","0.11966406207755645"
"complexity,timeComp1","2","0.8380499390306669","0.39340902844358433","0.451770426810148","0.11708718091087991","0.11879657324207125"
"complexity,timeComp2","2","0.21655630739011","0.0815337208517234","0.46114779831202557","0.11608148386059822","0.11777619370638101"
