"combinations","r2"
"complexity","0.9584848320738809"
"blocking","0.8859573844451685"
"delay","0.9589588100763644"
"inverseBlocking","0.8859573844451685"
"inverseDelay","0.8325741207243557"
"centrality","0.8794398882568563"
"free","0.7105321846561976"
"timeComp1","0.9410757054520594"
"timeComp2","0.9584848320738809"
"complexity,blocking","0.9664874518591791"
"complexity,delay","0.9664874518591792"
"complexity,inverseBlocking","0.9664874518591791"
"complexity,inverseDelay","0.9605303169358904"
"complexity,centrality","0.9628515280868118"
"complexity,free","0.9590496415558749"
"complexity,timeComp1","0.9620365616344213"
"blocking,delay","0.9664874518591791"
"blocking,inverseDelay","0.925982123683643"
"blocking,centrality","0.886207348921265"
"blocking,free","0.9016660914102691"
"blocking,timeComp1","0.9448786173102387"
"blocking,timeComp2","0.9664874518591791"
"delay,inverseBlocking","0.9664874518591791"
"delay,inverseDelay","0.9590528084259874"
"delay,centrality","0.9683129266201508"
"delay,free","0.9631683044897404"
"delay,timeComp1","0.9660583193984238"
"delay,timeComp2","0.9664874518591792"
"inverseBlocking,inverseDelay","0.925982123683643"
"inverseBlocking,centrality","0.886207348921265"
"inverseBlocking,free","0.9016660914102691"
"inverseBlocking,timeComp1","0.9448786173102387"
"inverseBlocking,timeComp2","0.9664874518591791"
"inverseDelay,centrality","0.9261385447659292"
"inverseDelay,free","0.9200513268243173"
"inverseDelay,timeComp1","0.9664570025079977"
"inverseDelay,timeComp2","0.9605303169358904"
"centrality,free","0.901642482423094"
"centrality,timeComp1","0.9458580654117495"
"free,timeComp1","0.9446095626669585"
"free,timeComp2","0.9590496415558749"
"timeComp1,timeComp2","0.9620365616344213"
"complexity,blocking,delay","0.9664874518591791"
"complexity,blocking,inverseDelay","0.966581450208802"
"complexity,blocking,centrality","0.9707683641450661"
"complexity,blocking,free","0.9702036631285226"
"complexity,blocking,timeComp1","0.968370793259663"
"complexity,delay,inverseBlocking","0.9664874518591791"
"complexity,delay,inverseDelay","0.9665814502088019"
"complexity,delay,centrality","0.9707683641450662"
"complexity,delay,free","0.9702036631285226"
"complexity,delay,timeComp1","0.968370793259663"
"complexity,inverseBlocking,inverseDelay","0.966581450208802"
"complexity,inverseBlocking,centrality","0.9707683641450661"
"complexity,inverseBlocking,free","0.9702036631285226"
"complexity,inverseBlocking,timeComp1","0.968370793259663"
"complexity,inverseDelay,centrality","0.9633023203537031"
"complexity,inverseDelay,free","0.9605313328245407"
"complexity,inverseDelay,timeComp1","0.968482229060212"
"complexity,centrality,timeComp1","0.9651263274834196"
"complexity,free,timeComp1","0.964902655471156"
"blocking,delay,inverseDelay","0.9665814502088019"
"blocking,delay,centrality","0.9707683641450662"
"blocking,delay,free","0.9702036631285226"
"blocking,delay,timeComp1","0.968370793259663"
"blocking,inverseDelay,centrality","0.9264795215167448"
"blocking,inverseDelay,free","0.9447918412556675"
"blocking,inverseDelay,timeComp1","0.9666689373126911"
"blocking,inverseDelay,timeComp2","0.966581450208802"
"blocking,centrality,free","0.9022682585264263"
"blocking,centrality,timeComp1","0.9467048003199411"
"blocking,centrality,timeComp2","0.9707683641450662"
"blocking,free,timeComp1","0.9470101858295306"
"blocking,free,timeComp2","0.9702036631285226"
"delay,inverseBlocking,inverseDelay","0.9665814502088019"
"delay,inverseBlocking,centrality","0.9707683641450662"
"delay,inverseBlocking,free","0.9702036631285226"
"delay,inverseBlocking,timeComp1","0.968370793259663"
"delay,inverseDelay,centrality","0.9684069249697737"
"delay,inverseDelay,free","0.9687568453019092"
"delay,inverseDelay,timeComp1","0.9694111779752151"
"delay,inverseDelay,timeComp2","0.966581450208802"
"delay,centrality,free","0.9716267094142385"
"delay,centrality,timeComp1","0.9697567261880117"
"delay,centrality,timeComp2","0.9707683641450662"
"delay,free,timeComp1","0.9747882424609409"
"delay,free,timeComp2","0.9702036631285226"
"delay,timeComp1,timeComp2","0.968370793259663"
