"combinations","n","pMax","pAvg","r2","rse1","rse2"
"complexity","1","0.0","0.0","0.966916304729187","0.125752104132813","0.125999404478136"
"blocking","1","0.0","0.0","0.9161873626968153","0.20015341662764183","0.2005470323797673"
"delay","1","0.0","0.0","0.9468317784314616","0.15941688599430295","0.15973039049769538"
"inverseBlocking","1","0.0","0.0","0.9161873626968153","0.20015341662764183","0.2005470323797673"
"inverseDelay","1","4.0738377843117357e-253","2.0369188921558678e-253","0.8191224970117328","0.29403601726444145","0.2946142597448225"
"centrality","1","0.0","0.0","0.9155007427750212","0.20097160472258108","0.20136682949906295"
"free","1","5.810081779596835e-132","2.905040889798418e-132","0.7008852315271207","0.37811785260065933","0.37886144791594867"
"timeComp1","1","0.0","0.0","0.9418383551221746","0.16673493124785943","0.16706282720124607"
"timeComp2","1","0.0","0.0","0.966916304729187","0.12575210413281296","0.12599940447813598"
"complexity,delay","2","0.005864988227222471","0.0019549960757408234","0.9678763863726222","0.12415770703329357","0.12440283601237687"
"complexity,inverseDelay","2","0.1247296734252149","0.04157655780840497","0.9672204706276583","0.12541885842996303","0.1256664773451262"
"complexity,centrality","2","0.9083966823086387","0.3027988941028796","0.9669180290370252","0.1259961209182141","0.1262448795432494"
"complexity,free","2","9.686619055726885e-5","3.228873018575628e-5","0.9687839608639259","0.12239125407234429","0.12263289548048847"
"blocking,delay","2","4.52642273461586e-38","1.5088075782052867e-38","0.9678763863726221","0.12415770703329362","0.12440283601237692"
"blocking,inverseDelay","2","1.9151340904172031e-25","6.383780301390677e-26","0.9413011657518955","0.16783256216663778","0.16816391996635785"
"blocking,centrality","2","0.11141086538591156","0.047574728283565154","0.9170152801206044","0.19955405291741984","0.19994803958512197"
"blocking,free","2","7.48646785182973e-8","2.4954892839432434e-8","0.9247585417085286","0.19001596370355534","0.19039111898231456"
"blocking,timeComp1","2","8.000256056566818e-17","2.666752018855606e-17","0.9543208904419578","0.14805405315833597","0.148346361543913"
"blocking,timeComp2","2","0.0058649882271669534","0.001954996075722318","0.9678763863726222","0.12415770703329353","0.12440283601237682"
"delay,inverseBlocking","2","4.526422734689636e-38","1.5088075782298788e-38","0.9678763863726222","0.12415770703329357","0.12440283601237688"
"delay,inverseDelay","2","0.7139935089442146","0.23799783631473823","0.946859880094247","0.1596881727714816","0.16000345081340495"
"delay,centrality","2","2.119740196096162e-52","7.065800653653874e-53","0.9722158753713939","0.11546752199805746","0.11569549363558997"
"delay,free","2","2.4883065403312114e-6","8.294355134437372e-7","0.9511009161215243","0.1531834504864119","0.1534858860236607"
