"name","difficulty","complexity","blocking","delay","between","free","timeComp1","timeComp2","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7","averageTTD"
"0.json","0.0","6","0","6","0.0","6","12","18","0","0.1628","0.4094","0.644","0.8","0.892","5.1852"
"1.json","0.0","9","1","8","0.0","5","19","21","1","0.1008","0.3118","0.5428","0.7164","0.8278","5.7102"
"10.json","0.0","11","2","9","0.0","5","23","23","2","0.0884","0.2854","0.5044","0.6828","0.8098","5.9008"
"100.json","0.0","18","4","14","1.0","3","32","30","3","0.0534","0.2042","0.3906","0.574","0.718","6.4958"
"101.json","0.0","22","6","16","2.0","3","38","34","4","0.0306","0.1298","0.289","0.4724","0.629","7.0752"
"102.json","0.0","24","6","18","2.0","2","44","36","4","0.0176","0.1","0.254","0.4418","0.601","7.2896"
"103.json","0.0","26","8","18","3.0","2","47","38","5","0.0166","0.0934","0.2316","0.4002","0.5598","7.4874"
"104.json","0.0","18","4","14","1.0","3","32","30","3","0.0522","0.192","0.385","0.5684","0.7118","6.5528"
"105.json","0.0","24","6","18","2.0","2","44","36","4","0.0166","0.0942","0.246","0.4244","0.5934","7.3278"
"106.json","0.0","22","6","16","2.0","3","38","34","4","0.028","0.128","0.3026","0.4818","0.6334","7.079"
"107.json","0.0","26","8","18","3.0","2","47","38","5","0.014","0.0844","0.2218","0.394","0.5634","7.5184"
"108.json","0.0","22","6","16","2.0","2","41","34","4","0.033","0.1476","0.3186","0.4912","0.6406","6.9814"
"109.json","0.0","26","8","18","3.0","2","47","38","5","0.018","0.087","0.2342","0.3944","0.5624","7.4986"
"11.json","0.0","13","3","10","0.0","4","28","25","3","0.0644","0.2334","0.45","0.6298","0.7594","6.1998"
"110.json","0.0","26","8","18","3.0","2","47","38","5","0.0162","0.0936","0.2286","0.4056","0.5594","7.4736"
"111.json","0.0","28","10","18","4.0","2","50","40","6","0.0174","0.0798","0.2074","0.368","0.5258","7.72"
"112.json","0.0","13","3","10","0.0","4","21","25","3","0.1334","0.3412","0.5526","0.7136","0.8302","5.6168"
"113.json","0.0","21","6","15","2.0","3","35","33","4","0.0428","0.1584","0.3342","0.5066","0.655","6.902"
"114.json","0.0","21","6","15","2.0","3","35","33","4","0.0396","0.1634","0.3334","0.5124","0.6604","6.8976"
"115.json","0.0","26","9","17","4.0","2","45","38","5","0.023","0.1122","0.2638","0.4246","0.5746","7.4008"
