"name","difficulty","complexity","blocking","delay","centrality","reachability","term_complexity","term_blocking","term_delay","term_centrality","term_reachability","free","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7","averageTTD"
"0.json","97.5","6","0","6","0","0","12","0","12","0","0","6","0","1.0","1.0","0.0","0.0","0.0","2.1430874991790674"
"100.json","97.5","18","4","14","9","4","32","5","27","17","5","3","3","0.93","0.99","1.0","1.0","0.0","3.0796"
"101.json","97.5","22","6","16","14","6","38","8","30","28","8","3","4","0.88","0.99","1.0","0.0","0.0","3.1248"
"102.json","97.5","24","6","18","14","6","44","8","36","28","8","2","4","0.86","0.99","1.0","0.0","0.0","3.1482"
"103.json","97.5","26","8","18","19","8","47","11","36","39","11","2","5","0.86","0.99","1.0","1.0","0.0","3.148"
"104.json","97.5","18","4","14","9","4","32","5","27","17","5","3","3","0.93","1.0","1.0","1.0","0.0","3.0738"
"105.json","97.5","24","6","18","14","6","44","8","36","28","8","2","4","0.87","0.99","1.0","1.0","0.0","3.1394"
"106.json","97.5","22","6","16","14","6","38","8","30","28","8","3","4","0.89","0.99","1.0","1.0","0.0","3.1214"
"107.json","97.5","26","8","18","19","8","47","11","36","39","11","2","5","0.85","0.99","1.0","1.0","0.0","3.1534"
"108.json","97.5","22","6","16","14","6","41","8","33","28","8","2","4","0.91","0.99","1.0","1.0","0.0","3.10093652"
"109.json","97.5","26","8","18","19","8","47","11","36","39","11","2","5","0.87","0.99","1.0","0.0","0.0","3.1416"
"10.json","97.5","11","2","9","4","2","23","4","19","10","4","5","2","0.95","1.0","1.0","0.0","0.0","3.0528"
"110.json","97.5","26","8","18","19","8","47","11","36","39","11","2","5","0.86","0.99","1.0","1.0","0.0","3.1532"
"111.json","97.5","28","10","18","24","10","50","14","36","50","14","2","6","0.85","0.99","1.0","1.0","0.0","3.1574"
"112.json","97.5","13","3","10","6","3","21","3","18","9","3","4","3","0.99","1.0","1.0","0.0","0.0","2.1438"
"113.json","97.5","21","6","15","14","6","35","7","28","26","7","3","4","0.9","1.0","1.0","0.0","0.0","3.10054448"
"114.json","97.5","21","6","15","14","6","35","7","28","26","7","3","4","0.9","1.0","1.0","1.0","0.0","3.1008"
"115.json","97.5","26","9","17","22","9","45","11","34","43","11","2","5","0.88","0.99","1.0","0.0","0.0","3.1258"
"116.json","97.5","19","5","14","11","5","33","6","27","20","6","3","4","0.93","1.0","1.0","1.0","0.0","3.0732"
"117.json","97.5","23","7","16","17","7","39","9","30","33","9","3","5","0.88","0.99","1.0","1.0","0.0","3.1228"
"118.json","97.5","26","8","18","19","8","46","10","36","37","10","2","5","0.85","0.99","1.0","1.0","0.0","3.156"
"119.json","97.5","28","10","18","25","10","49","13","36","50","13","2","6","0.85","0.99","1.0","1.0","0.0","3.16"
"11.json","97.5","13","3","10","6","3","28","6","22","15","6","4","3","0.93","1.0","1.0","1.0","0.0","3.0706"
"120.json","97.5","19","5","14","11","5","33","6","27","20","6","3","4","0.92","1.0","1.0","0.0","0.0","3.0778"
"121.json","97.5","26","8","18","19","8","46","10","36","37","10","2","5","0.86","0.99","1.0","1.0","0.0","3.15078772"
"122.json","97.5","23","7","16","17","7","39","9","30","33","9","3","5","0.88","0.99","1.0","1.0","0.0","3.1266"
"123.json","97.5","28","10","18","25","10","49","13","36","50","13","2","6","0.86","0.99","1.0","0.0","0.0","3.1502"
"124.json","97.5","23","7","16","16","7","42","9","33","31","9","2","5","0.91","1.0","1.0","0.0","0.0","3.0952"
"125.json","97.5","27","9","18","22","9","48","12","36","44","12","2","6","0.86","0.99","1.0","0.0","0.0","3.1478"
"126.json","97.5","27","9","18","22","9","48","12","36","44","12","2","6","0.86","0.99","1.0","1.0","0.0","3.1532"
"127.json","97.5","29","11","18","28","11","51","15","36","57","15","2","7","0.87","0.99","1.0","1.0","1.0","3.1414"
"128.json","97.5","9","1","8","2","1","16","1","15","3","1","5","1","1.0","1.0","1.0","0.0","0.0","2.1539346290858417"
"129.json","97.5","12","2","10","4","2","23","3","20","8","3","4","2","0.99","1.0","1.0","0.0","0.0","2.148"
"12.json","97.5","11","2","9","4","2","24","4","20","10","4","4","2","1.0","1.0","1.0","0.0","0.0","2.15041556"
