"name","complexity","blocking","delay","between","free","timeComp1","timeComp2","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7"
"10007.json","36","12","24","4.0","4","67","54","8","0.004","0.0475","0.14516666666666667","0.2935","0.4681666666666667"
"100169.json","31","10","21","2.0","5","55","49","8","0.0095","0.07116666666666667","0.202","0.37016666666666664","0.5401666666666667"
"10020.json","28","8","20","2.0","6","49","46","6","0.009333333333333334","0.07483333333333334","0.20616666666666666","0.3915","0.5656666666666667"
"100260.json","31","10","21","2.0","5","55","49","8","0.01","0.06516666666666666","0.19583333333333333","0.3605","0.5268333333333334"
"100292.json","31","10","21","2.0","4","56","49","8","0.011666666666666667","0.08416666666666667","0.23066666666666666","0.4028333333333333","0.5856666666666667"
"100299.json","37","14","23","4.0","4","67","55","10","0.0075","0.049","0.1595","0.30633333333333335","0.468"
"100345.json","41","17","24","6.0","4","74","59","11","0.006833333333333334","0.041166666666666664","0.1265","0.2648333333333333","0.43083333333333335"
"100351.json","43","19","24","6.0","4","78","61","13","0.005666666666666667","0.035166666666666666","0.11816666666666667","0.2405","0.39266666666666666"
"100378.json","29","8","21","2.0","4","54","47","6","0.012833333333333334","0.07616666666666666","0.21083333333333334","0.38416666666666666","0.553"
"100471.json","38","13","25","4.0","3","71","56","9","0.0026666666666666666","0.030833333333333334","0.12283333333333334","0.27066666666666667","0.43716666666666665"
"100509.json","37","12","25","4.0","3","69","55","8","0.004333333333333333","0.03933333333333333","0.13083333333333333","0.27616666666666667","0.443"
"100586.json","38","13","25","5.0","3","70","56","8","0.0036666666666666666","0.03216666666666667","0.12133333333333333","0.2738333333333333","0.437"
"100610.json","29","7","22","2.0","4","53","47","5","0.006333333333333333","0.0635","0.21416666666666667","0.3958333333333333","0.567"
"10063.json","37","13","24","4.0","4","69","55","9","0.0045","0.0455","0.14833333333333334","0.3015","0.4681666666666667"
"100735.json","41","16","25","5.0","3","76","59","11","0.004","0.033166666666666664","0.1115","0.2435","0.406"
"100894.json","37","13","24","5.0","3","67","55","8","0.005333333333333333","0.042","0.13416666666666666","0.2843333333333333","0.44966666666666666"
"100902.json","33","11","22","4.0","4","58","51","7","0.007","0.054","0.1625","0.32116666666666666","0.4861666666666667"
"100948.json","36","11","25","4.0","3","66","54","7","0.0026666666666666666","0.0365","0.1265","0.283","0.45366666666666666"
"100971.json","39","14","25","5.0","3","71","57","9","0.0026666666666666666","0.03133333333333333","0.11433333333333333","0.2555","0.4161666666666667"
"101049.json","39","14","25","5.0","3","71","57","9","0.004166666666666667","0.038","0.12433333333333334","0.26416666666666666","0.4255"
"101061.json","37","13","24","5.0","3","67","55","8","0.006","0.042666666666666665","0.1405","0.2936666666666667","0.4635"
"101063.json","39","15","24","6.0","3","70","57","9","0.006666666666666667","0.044","0.13683333333333333","0.269","0.43116666666666664"
"101065.json","34","11","23","3.0","4","61","52","8","0.0045","0.047","0.1585","0.307","0.4725"
"101074.json","34","11","23","3.0","4","61","52","8","0.0085","0.0505","0.15583333333333332","0.31183333333333335","0.47483333333333333"
"101079.json","41","16","25","6.0","3","74","59","10","0.004","0.0305","0.10733333333333334","0.2375","0.4051666666666667"
"101217.json","35","12","23","4.0","4","62","53","8","0.004666666666666667","0.043333333333333335","0.1485","0.29433333333333334","0.46316666666666667"
"101309.json","42","17","25","6.0","3","76","60","11","0.004","0.030166666666666668","0.10383333333333333","0.229","0.3868333333333333"
"101310.json","41","16","25","5.0","3","75","59","11","0.0026666666666666666","0.029833333333333333","0.10733333333333334","0.24116666666666667","0.4005"
"101321.json","38","13","25","4.0","3","70","56","9","0.0023333333333333335","0.03233333333333333","0.12383333333333334","0.2698333333333333","0.43616666666666665"
"101355.json","42","17","25","6.0","3","76","60","11","0.003","0.027166666666666665","0.10466666666666667","0.23216666666666666","0.3893333333333333"
"101371.json","43","18","25","6.0","3","78","61","12","0.0035","0.025166666666666667","0.10533333333333333","0.23433333333333334","0.393"
"101482.json","38","13","25","5.0","3","69","56","8","0.004166666666666667","0.03383333333333333","0.12466666666666666","0.2653333333333333","0.437"
"101586.json","34","11","23","3.0","4","61","52","8","0.007166666666666667","0.051","0.15783333333333333","0.31133333333333335","0.48783333333333334"
"101597.json","40","15","25","5.0","3","73","58","10","0.0028333333333333335","0.03233333333333333","0.113","0.23933333333333334","0.4068333333333333"
"10161.json","37","13","24","5.0","4","68","55","8","0.006166666666666667","0.044833333333333336","0.14216666666666666","0.29633333333333334","0.4648333333333333"
"101655.json","39","14","25","5.0","3","71","57","9","0.004666666666666667","0.035","0.12483333333333334","0.2655","0.42866666666666664"
"101656.json","36","12","24","5.0","3","65","54","7","0.004","0.044333333333333336","0.143","0.30266666666666664","0.4776666666666667"
"101699.json","36","12","24","4.0","3","66","54","8","0.004333333333333333","0.041833333333333333","0.14916666666666667","0.301","0.4751666666666667"
"101711.json","40","15","25","5.0","3","73","58","10","0.0023333333333333335","0.03","0.11816666666666667","0.2555","0.42283333333333334"
"101763.json","36","12","24","4.0","3","66","54","8","0.004333333333333333","0.042","0.1425","0.2996666666666667","0.474"
"101892.json","27","8","19","2.0","5","45","45","6","0.0165","0.09183333333333334","0.24883333333333332","0.4315","0.6003333333333334"
"101908.json","33","11","22","4.0","4","57","51","7","0.007333333333333333","0.06","0.17766666666666667","0.33916666666666667","0.5158333333333334"
"101980.json","40","15","25","6.0","3","71","58","9","0.0033333333333333335","0.033","0.11433333333333333","0.24583333333333332","0.4061666666666667"
"101996.json","36","13","23","4.0","4","63","54","9","0.005","0.042833333333333334","0.135","0.2745","0.44133333333333336"
"102070.json","37","14","23","4.0","4","65","55","10","0.005166666666666667","0.0405","0.13316666666666666","0.2778333333333333","0.43066666666666664"
"102183.json","41","16","25","6.0","3","73","59","10","0.004333333333333333","0.034333333333333334","0.11416666666666667","0.24333333333333335","0.406"
"102291.json","40","15","25","5.0","3","72","58","10","0.0028333333333333335","0.030666666666666665","0.11083333333333334","0.24816666666666667","0.4096666666666667"
"102365.json","43","18","25","5.999999999999999","3","77","61","12","0.0033333333333333335","0.030166666666666668","0.106","0.22716666666666666","0.38233333333333336"
"102442.json","33","10","23","4.0","4","61","51","6","0.0055","0.053","0.165","0.32966666666666666","0.5028333333333334"
"102503.json","38","14","24","6.0","4","69","56","8","0.006666666666666667","0.04583333333333333","0.1375","0.27616666666666667","0.44533333333333336"
"102507.json","37","13","24","5.0","4","68","55","8","0.006666666666666667","0.045","0.1435","0.2905","0.4553333333333333"
"102513.json","35","11","24","4.0","4","65","53","7","0.004333333333333333","0.049833333333333334","0.15633333333333332","0.31833333333333336","0.494"
"102542.json","36","12","24","5.0","4","66","54","7","0.006166666666666667","0.041166666666666664","0.13783333333333334","0.296","0.4656666666666667"
"102555.json","34","12","22","4.0","5","61","52","8","0.008","0.052","0.1605","0.317","0.4811666666666667"
"102690.json","31","9","22","3.0","5","56","49","6","0.007166666666666667","0.06566666666666666","0.19366666666666665","0.36933333333333335","0.5401666666666667"
"1028.json","15","2","13","0.0","7","29","33","2","0.030833333333333334","0.16483333333333333","0.3858333333333333","0.5986666666666667","0.7568333333333334"
"102816.json","26","7","19","1.0","5","48","44","6","0.015666666666666666","0.107","0.2831666666666667","0.4756666666666667","0.6356666666666667"
"102823.json","39","15","24","6.0","4","71","57","9","0.005333333333333333","0.0415","0.13416666666666666","0.27166666666666667","0.43933333333333335"
"102846.json","39","15","24","5.0","4","72","57","10","0.0065","0.04033333333333333","0.1285","0.2618333333333333","0.4266666666666667"
"102885.json","36","13","23","4.0","4","66","54","9","0.007166666666666667","0.05383333333333333","0.15933333333333333","0.31366666666666665","0.48483333333333334"
"102892.json","35","12","23","3.0","4","65","53","9","0.008","0.05616666666666666","0.163","0.32466666666666666","0.49366666666666664"
"102996.json","36","11","25","4.0","4","63","54","7","0.002","0.041666666666666664","0.14316666666666666","0.30233333333333334","0.4746666666666667"
"103012.json","33","10","23","3.0","5","56","51","7","0.006333333333333333","0.0515","0.16916666666666666","0.3375","0.5076666666666667"
"103056.json","26","7","19","1.0","6","45","44","6","0.015333333333333332","0.0985","0.2723333333333333","0.45766666666666667","0.6316666666666667"
"103057.json","35","11","24","4.0","5","60","53","7","0.003833333333333333","0.04783333333333333","0.14766666666666667","0.31183333333333335","0.48"
"103065.json","36","12","24","4.0","5","62","54","8","0.004","0.0405","0.1445","0.3","0.472"
"103119.json","45","19","26","9.0","4","77","63","10","0.0035","0.0275","0.10483333333333333","0.23283333333333334","0.38383333333333336"
"103129.json","37","13","24","4.0","5","64","55","9","0.0045","0.042333333333333334","0.14783333333333334","0.30316666666666664","0.4701666666666667"
"103140.json","35","11","24","3.0","4","61","53","8","0.004833333333333334","0.049166666666666664","0.1585","0.32066666666666666","0.4985"
"10316.json","28","7","21","2.0","5","51","46","5","0.006","0.07666666666666666","0.22166666666666668","0.4041666666666667","0.5755"
"103207.json","44","18","26","9.0","4","75","62","9","0.0016666666666666668","0.024","0.10583333333333333","0.2345","0.395"
"103281.json","40","14","26","5.0","4","71","58","9","0.0026666666666666666","0.033","0.12433333333333334","0.26966666666666667","0.44316666666666665"
"103298.json","32","10","22","3.0","5","54","50","7","0.009333333333333334","0.06733333333333333","0.2005","0.383","0.5593333333333333"
"103394.json","38","13","25","4.0","4","67","56","9","0.004166666666666667","0.04066666666666666","0.1415","0.3065","0.49066666666666664"
"103443.json","35","12","23","5.0","5","59","53","7","0.004333333333333333","0.03666666666666667","0.13933333333333334","0.2916666666666667","0.4646666666666667"
"10346.json","32","9","23","3.0","4","60","50","6","0.0075","0.06216666666666667","0.18783333333333332","0.3611666666666667","0.5275"
"103475.json","40","15","25","7.0","4","69","58","8","0.0025","0.029166666666666667","0.10816666666666666","0.2405","0.401"
"10350.json","33","10","23","3.0","4","62","51","7","0.005666666666666667","0.05733333333333333","0.1745","0.344","0.5168333333333334"
"103538.json","38","13","25","5.0","4","66","56","8","0.005166666666666667","0.042333333333333334","0.13133333333333333","0.2835","0.45316666666666666"
"103559.json","38","14","24","6.0","4","67","56","8","0.007666666666666666","0.0475","0.1505","0.30216666666666664","0.4691666666666667"
"103615.json","46","20","26","9.0","4","79","64","11","0.003","0.024333333333333332","0.08866666666666667","0.21116666666666667","0.369"
"103635.json","38","14","24","5.0","5","65","56","9","0.005666666666666667","0.0395","0.13166666666666665","0.2783333333333333","0.447"
"103814.json","34","12","22","4.0","5","59","52","8","0.008166666666666666","0.06266666666666666","0.187","0.3585","0.526"
"103815.json","39","15","24","6.0","4","69","57","9","0.004333333333333333","0.0435","0.14683333333333334","0.2976666666666667","0.4625"
"103841.json","37","12","25","4.0","4","65","55","8","0.0045","0.0405","0.13383333333333333","0.294","0.4666666666666667"
"103879.json","40","16","24","6.0","4","71","58","10","0.007666666666666666","0.04566666666666667","0.14583333333333334","0.2955","0.4645"
"103907.json","42","16","26","6.0","4","74","60","10","0.0015","0.0275","0.10833333333333334","0.254","0.4185"
"10392.json","29","8","21","3.0","5","53","47","5","0.009","0.06316666666666666","0.20083333333333334","0.37633333333333335","0.5536666666666666"
"10397.json","33","10","23","3.0","4","62","51","7","0.005166666666666667","0.056","0.17366666666666666","0.3441666666666667","0.5185"
"103975.json","43","18","25","9.0","4","72","61","9","0.0033333333333333335","0.03","0.104","0.22783333333333333","0.37916666666666665"
"103995.json","43","18","25","8.0","4","73","61","10","0.0035","0.029","0.09966666666666667","0.22233333333333333","0.3785"
"104002.json","32","10","22","3.0","5","53","50","7","0.009666666666666667","0.07","0.20433333333333334","0.3755","0.5451666666666667"
"104052.json","39","14","25","5.0","4","67","57","9","0.0033333333333333335","0.0315","0.12216666666666667","0.265","0.43416666666666665"
"104087.json","45","19","26","9.0","4","76","63","10","0.0026666666666666666","0.025666666666666667","0.0975","0.22083333333333333","0.37833333333333335"
"10412.json","33","9","24","3.0","4","63","51","6","0.006333333333333333","0.0525","0.16666666666666666","0.3338333333333333","0.5071666666666667"
"104126.json","45","19","26","8.0","4","77","63","11","0.0015","0.025","0.09466666666666666","0.21266666666666667","0.37383333333333335"
"104162.json","39","14","25","5.0","4","67","57","9","0.0028333333333333335","0.03266666666666666","0.12616666666666668","0.26466666666666666","0.42983333333333335"
"104171.json","45","19","26","8.0","4","77","63","11","0.0036666666666666666","0.028","0.097","0.22","0.37133333333333335"
"10424.json","33","10","23","4.0","4","62","51","6","0.007","0.0475","0.16266666666666665","0.3293333333333333","0.5023333333333333"
"104284.json","43","17","26","7.0","4","74","61","10","0.004","0.029666666666666668","0.10533333333333333","0.23516666666666666","0.4"
"104350.json","45","19","26","8.0","4","77","63","11","0.0033333333333333335","0.025166666666666667","0.09533333333333334","0.22133333333333333","0.37583333333333335"
"104388.json","35","12","23","3.0","4","60","53","9","0.0075","0.06516666666666666","0.1945","0.3541666666666667","0.5256666666666666"
"104399.json","47","21","26","9.0","4","80","65","12","0.004333333333333333","0.026833333333333334","0.09216666666666666","0.2145","0.36666666666666664"
"104563.json","42","15","27","6.0","3","74","60","9","0.0011666666666666668","0.023833333333333335","0.091","0.2185","0.3895"
"104650.json","38","13","25","5.0","4","65","56","8","0.0033333333333333335","0.035833333333333335","0.12783333333333333","0.2723333333333333","0.44516666666666665"
"104666.json","39","14","25","5.0","4","67","57","9","0.0035","0.031","0.117","0.2693333333333333","0.43116666666666664"
"104677.json","42","15","27","6.0","3","74","60","9","0.0025","0.024333333333333332","0.09733333333333333","0.23233333333333334","0.3963333333333333"
"104682.json","42","15","27","6.0","3","74","60","9","0.0033333333333333335","0.025666666666666667","0.1105","0.242","0.404"
"104714.json","38","11","27","4.0","3","68","56","7","0.0018333333333333333","0.0295","0.1065","0.25933333333333336","0.43866666666666665"
"104808.json","35","12","23","4.0","4","61","53","8","0.006833333333333334","0.05216666666666667","0.161","0.31983333333333336","0.49266666666666664"
"104844.json","40","13","27","5.0","3","71","58","8","0.003","0.026166666666666668","0.10833333333333334","0.24533333333333332","0.4111666666666667"
"104885.json","44","17","27","7.0","3","77","62","10","0.0013333333333333333","0.0215","0.08783333333333333","0.21766666666666667","0.374"
"104944.json","39","14","25","5.0","3","70","57","9","0.0033333333333333335","0.036833333333333336","0.12216666666666667","0.2753333333333333","0.44816666666666666"
"10497.json","24","5","19","1.0","5","45","42","4","0.018333333333333333","0.11","0.2778333333333333","0.4796666666666667","0.652"
"104979.json","38","14","24","6.0","4","63","56","8","0.004833333333333334","0.037","0.14066666666666666","0.2821666666666667","0.439"
"10513.json","30","7","23","2.0","4","57","48","5","0.005833333333333334","0.0565","0.18683333333333332","0.361","0.5371666666666667"
"105163.json","41","16","25","6.0","4","69","59","10","0.0031666666666666666","0.030833333333333334","0.111","0.24416666666666667","0.405"
"105237.json","43","16","27","7.0","3","74","61","9","0.0018333333333333333","0.025166666666666667","0.0965","0.22633333333333333","0.3883333333333333"
"105296.json","36","11","25","3.0","3","65","54","8","0.004","0.04016666666666667","0.14866666666666667","0.31433333333333335","0.4965"
"105306.json","43","16","27","6.0","3","75","61","10","0.0025","0.020166666666666666","0.09216666666666666","0.216","0.379"
"105314.json","42","15","27","6.0","3","73","60","9","0.0011666666666666668","0.023833333333333335","0.10133333333333333","0.239","0.4058333333333333"
"105369.json","43","16","27","6.0","3","75","61","10","0.001","0.022166666666666668","0.097","0.214","0.37366666666666665"
"105424.json","38","13","25","4.0","3","68","56","9","0.004333333333333333","0.0375","0.13333333333333333","0.287","0.468"
"105438.json","47","20","27","8.0","3","81","65","12","0.0026666666666666666","0.0185","0.07883333333333334","0.19083333333333333","0.342"
"105491.json","37","13","24","5.0","4","62","55","8","0.005166666666666667","0.0415","0.14516666666666667","0.29983333333333334","0.4593333333333333"
"105501.json","42","16","26","7.0","3","72","60","9","0.0031666666666666666","0.027","0.102","0.24133333333333334","0.398"
"105509.json","37","13","24","5.0","4","62","55","8","0.004166666666666667","0.041666666666666664","0.139","0.2951666666666667","0.452"
