"course","term","difference8","difference10","difference12","credits","blocking","delay","centrality","reachability"
"MATH 121","1","0.01319999999999999","0.0048000000000000265","-0.0018000000000000238","3","6","4","6","0"
"ENGL 110","1","0.014800000000000008","0.0038000000000000256","-0.0013999999999999568","3","7","4","7","0"
"Humanities","1","0.017199999999999993","0.0013999999999999568","-0.0033999999999999586","3","0","1","0","0"
"Physical & Natural Science","1","0.009599999999999997","0.008199999999999985","-0.00039999999999995595","3","0","1","0","0"
"MGMT 113","1","0.018199999999999994","0.015000000000000013","-0.0021999999999999797","3","0","1","0","0"
"MATH 180","2","0.02260000000000001","0.007399999999999962","-0.0038000000000000256","3","1","3","3","1"
"ENGL 120","2","0.018799999999999983","0.010800000000000032","-0.00019999999999997797","3","6","4","13","1"
"Physical & Natural Science","2","0.0174","0.015000000000000013","0.0","3","0","1","0","0"
"Physical & Natural Science Lab","2","0.013600000000000001","0.01200000000000001","-0.00019999999999997797","1","0","1","0","0"
"ECON 105","2","0.016199999999999992","0.007800000000000029","-0.0011999999999999789","3","0","1","0","0"
"Foreign Language","2","0.01419999999999999","0.007000000000000006","-0.0021999999999999797","3","0","1","0","0"
"ENGL 219","3","0.01780000000000001","0.010199999999999987","0.00039999999999995595","3","0","3","2","2"
"Fine Arts","3","0.018199999999999994","0.006199999999999983","-0.0010000000000000009","3","0","1","0","0"
"ECON 106","3","0.018600000000000005","0.0050000000000000044","-0.0033999999999999586","3","5","3","5","0"
"STAT 145","3","0.02099999999999999","0.007000000000000006","-0.0020000000000000018","3","4","4","9","1"
"Elective","3","0.01419999999999999","0.011800000000000033","-0.00019999999999997797","3","0","1","0","0"
"CS 150L","4","0.019799999999999984","0.0008000000000000229","-0.0016000000000000458","3","1","2","1","0"
"MGMT 202","4","0.027400000000000008","0.013599999999999945","-0.0010000000000000009","3","8","4","7","0"
"Social & Behavioral Science","4","0.015600000000000003","0.009199999999999986","-0.0031999999999999806","3","0","1","0","0"
"Elective","4","0.026400000000000007","0.0050000000000000044","-0.00019999999999997797","3","0","1","0","0"
"MGMT 300","5","0.027999999999999997","0.015599999999999947","0.0006000000000000449","3","2","4","8","2"
"MGMT 303","5","0.021199999999999997","0.015000000000000013","0.00039999999999995595","3","3","3","7","1"
"MGMT 306","5","0.0184","0.007399999999999962","-0.00039999999999995595","3","2","4","8","2"
"MGMT 308","5","0.011199999999999988","0.0048000000000000265","-0.0008000000000000229","3","1","4","5","2"
"MGMT 340","5","0.017600000000000005","0.014000000000000012","0.0008000000000000229","3","2","4","3","1"
"MGMT 398","5","0.019199999999999995","0.0048000000000000265","-0.0008000000000000229","1","0","1","0","0"
"MGMT 310","6","0.01319999999999999","0.009000000000000008","-0.0016000000000000458","3","1","4","5","2"
"MGMT 322","6","0.021799999999999986","0.016000000000000014","0.0","3","2","3","5","1"
"MGMT 326","6","0.017600000000000005","0.012599999999999945","-0.00019999999999997797","3","0","3","6","6"
"MGMT 341","6","0.014999999999999986","0.011599999999999944","-0.0011999999999999789","3","1","4","2","2"
"MGMT 346","6","0.013600000000000001","0.00880000000000003","0.0006000000000000449","3","0","3","2","2"
"MGMT 450","7","0.020600000000000007","0.013000000000000012","-0.0018000000000000238","3","0","4","10","10"
"MGMT 343","7","0.02479999999999999","0.013399999999999967","-0.0008000000000000229","3","0","1","0","0"
"Upper Divison Humanities","7","0.010199999999999987","0.0041999999999999815","-0.0006000000000000449","3","0","1","0","0"
"Elective","7","0.02099999999999999","0.007199999999999984","-0.00039999999999995595","3","0","1","0","0"
"Elective","7","0.021199999999999997","0.01100000000000001","-0.0018000000000000238","3","0","1","0","0"
"MGMT 328","8","0.017600000000000005","0.014800000000000035","-0.0030000000000000027","3","1","3","1","1"
"MGMT 443","8","0.02840000000000001","0.011199999999999988","-0.0018000000000000238","3","0","4","0","0"
"MGMT 449","8","0.021799999999999986","0.008600000000000052","-0.0008000000000000229","3","0","1","0","0"
"MGMT 498","8","0.030200000000000005","0.024599999999999955","0.0016000000000000458","3","0","4","12","12"
"Elective","8","0.03900000000000001","0.03180000000000005","-0.0013999999999999568","4","0","1","0","0"
