"course","term","difference8","difference10","difference12","credits","blocking","delay","centrality","reachability"
"MATH 121","1","0.9898","0.9982","0.9998","3","6","4","6","0"
"ENGL 110","1","0.989","0.9974","0.9998","3","7","4","7","0"
"HIST 101","1","0.9998","0.0","0.0","3","0","1","0","0"
"ASTR 101","1","0.999","1.0","0.0","3","0","1","0","0"
"MGMT 113","1","0.9992","0.0","0.0","3","0","1","0","0"
"MATH 180","2","0.996","0.9992","0.9996","3","1","3","3","1"
"ENGL 120","2","0.9902","0.9994","1.0","3","6","4","13","1"
"CHEM 121","2","0.9996","1.0","0.0","3","1","2","0","0"
"CHEM 123L","2","0.9982","0.9992","0.9998","1","0","2","0","0"
"ECON 105","2","0.998","0.9994","1.0","3","0","1","0","0"
"SPAN 101","2","0.9986","0.9996","1.0","3","0","1","0","0"
"ENGL 219","3","0.996","0.9992","0.9994","3","0","3","2","2"
"ARTH 101","3","0.998","0.9994","0.9998","3","0","1","0","0"
"ECON 106","3","0.9746","0.9956","0.9996","3","5","3","5","0"
"STAT 145","3","0.9728","0.9952","0.9992","3","4","4","9","1"
"CJ 130","3","0.9962","1.0","0.0","3","0","1","0","0"
"CS 150L","4","0.9922","0.9974","0.9998","3","1","2","1","0"
"MGMT 202","4","0.9386","0.9916","0.9988","3","10","4","9","0"
"PSY 105","4","0.99","0.9986","0.9998","3","0","1","0","0"
"RELG 107","4","0.988","0.9982","0.9998","3","0","1","0","0"
"MGMT 300","5","0.976","0.9956","0.9992","3","2","4","8","2"
"MGMT 303","5","0.9716","0.9946","0.9988","3","3","3","7","1"
"MGMT 306","5","0.9726","0.9942","0.9986","3","2","4","8","2"
"MGMT 308","5","0.9714","0.9958","0.999","3","1","4","5","2"
"MGMT 340","5","0.9346","0.9912","0.9988","3","4","4","7","1"
"MGMT 398","5","0.9916","0.999","1.0","1","0","1","0","0"
"MGMT 310","6","0.9336","0.99","0.9976","3","1","4","5","2"
"MGMT 322","6","0.9334","0.9932","0.999","3","2","3","5","1"
"MGMT 326","6","0.9756","0.9974","0.9996","3","0","3","6","6"
"MGMT 341","6","0.9328","0.9872","0.9984","3","1","4","2","2"
"MGMT 346","6","0.9704","0.996","0.999","3","0","3","2","2"
"MGMT 450","7","0.934","0.9908","0.9984","3","0","4","10","10"
"MGMT 343","7","0.9708","0.9962","0.9996","3","0","1","0","0"
"HIST 311","7","0.9334","0.9906","0.9982","3","0","1","0","0"
"MGMT 444","7","0.9352","0.991","0.9986","3","0","3","2","2"
"MGMT 342","7","0.9378","0.9892","0.9966","3","0","1","0","0"
"MGMT 328","8","0.937","0.9918","0.9988","3","1","3","1","1"
"MGMT 443","8","0.8396","0.9722","0.9946","3","0","4","0","0"
"MGMT 449","8","0.8456","0.9732","0.9966","3","0","3","2","2"
"MGMT 498","8","0.8418","0.9736","0.9954","3","0","4","12","12"
"MGMT 348","8","0.8358","0.9738","0.995","4","0","1","0","0"
