"name","original","new","delay","blocking","cruciality","centrality","reachability","total","term","difference"
"MATH 121","0.7389","0.9606","4","6","10","6","6","22","1","0.02024999999999988"
"ENGL 110","0.8958","1.0","4","7","11","7","7","25","1","0.004649999999999932"
"MATH 180","0.7397","0.9616","3","1","4","3","1","8","2","0.02059999999999995"
"ENGL 120","0.9188","1.0","4","6","10","13","6","29","2","0.0027500000000001412"
"ENGL 219","0.9317","1.0","3","0","3","2","0","5","3","0.01594999999999991"
"ECON 106","0.7984","1.0","3","5","8","5","5","18","3","0.003849999999999909"
"STAT 145","0.8629","1.0","4","4","8","9","4","21","3","-0.00039999999999995595"
"CS 150L","0.8347","1.0","2","1","3","1","1","5","4","0.019749999999999934"
"MGMT 202","0.8038","1.0","4","8","12","7","8","27","4","-0.0011999999999998678"
"MGMT 300","0.964","1.0","4","2","6","8","2","16","5","0.02224999999999977"
"MGMT 303","0.933","1.0","3","3","6","7","3","16","5","0.00040000000000006697"
"MGMT 306","0.9833","1.0","4","2","6","8","2","16","5","0.0023499999999999632"
"MGMT 308","0.9806","1.0","4","1","5","5","1","11","5","0.0012499999999998623"
"MGMT 340","0.8943","1.0","4","2","6","3","2","11","5","-0.0005999999999998229"
"MGMT 310","0.973","1.0","4","1","5","5","1","11","6","0.02254999999999996"
"MGMT 322","0.9537","1.0","3","2","5","5","2","12","6","0.006000000000000005"
"MGMT 326","0.8605","1.0","3","0","3","6","0","9","6","0.010849999999999915"
"MGMT 341","0.9359","1.0","4","1","5","2","1","8","6","0.003650000000000042"
"MGMT 346","0.9652","1.0","3","0","3","2","0","5","6","0.000700000000000145"
"MGMT 450","0.9847","1.0","4","0","4","10","0","14","7","0.017299999999999982"
"MGMT 328","0.9819","1.0","3","1","4","1","1","6","8","0.01474999999999993"
"MGMT 443","0.9799","1.0","4","0","4","0","0","4","8","0.006799999999999917"
"MGMT 498","0.9891","1.0","4","0","4","12","0","16","8","0.0015499999999999403"
