"course","term","difference8","difference10","difference12","credits","blocking","delay","centrality","reachability"
"ENGL 110","1","0.0","-0.0023999999999999577","-0.008199999999999985","3","2","3","2","0"
"Freshman Academic Choice","1","0.0","0.008199999999999985","-0.0033999999999999586","3","0","1","0","0"
"MATH 162","1","0.015600000000000003","0.007600000000000051","-0.0018000000000000238","4","2","3","2","0"
"CHEM 121","1","0.004400000000000001","0.010400000000000076","0.00039999999999995595","3","15","8","10","0"
"CHEM 123L","1","0.002799999999999997","0.010199999999999987","-0.00039999999999995595","1","12","8","8","0"
"Second Language","1","0.009800000000000003","0.005199999999999982","-0.0031999999999999806","3","0","1","0","0"
"ENGL 120","2","0.006599999999999995","0.0008000000000000229","-0.0026000000000000467","3","1","3","3","1"
"CHEM 122","2","0.013200000000000003","0.026800000000000046","-0.00019999999999997797","3","11","8","23","2"
"CHEM 124L","2","-0.003600000000000006","0.010000000000000009","-0.0011999999999999789","1","1","5","1","0"
"BIOL 201L","2","0.0020000000000000018","0.0036000000000000476","0.0","4","1","3","3","1"
"MATH 163","2","0.0092","0.011199999999999988","-0.0030000000000000027","4","1","3","3","1"
"BIOL 202L","3","0.012200000000000003","0.015000000000000013","-0.0006000000000000449","4","0","3","2","2"
"CHEM 301","3","0.008599999999999997","0.017800000000000038","-0.00039999999999995595","3","7","8","19","3"
"CHEM 303L","3","-0.004199999999999995","-0.008599999999999941","-0.0021999999999999797","1","0","5","0","0"
"PHYC 151","3","-0.0011999999999999927","0.0020000000000000018","-0.005199999999999982","3","4","3","2","0"
"PHYC 151L","3","0.0058","0.0008000000000000229","-0.0041999999999999815","1","0","2","0","0"
"ENGL 219","3","0.003799999999999998","0.0030000000000000027","0.0","3","0","3","2","2"
"PHYC 152","4","0.0007999999999999952","0.00880000000000003","-0.006000000000000005","3","2","3","3","1"
"PHYC 152L","4","-0.002600000000000005","-0.0015999999999999348","-0.0008000000000000229","1","0","3","0","0"
"CHEM 302","4","-0.0006000000000000033","0.023800000000000043","0.0018000000000000238","3","5","8","19","4"
"CHEM 304L","4","-0.004199999999999995","0.0046000000000000485","-0.0010000000000000009","1","0","6","0","0"
"CHEM 253L","4","0.009400000000000006","0.01100000000000001","-0.0018000000000000238","4","0","5","4","4"
"Fine Arts Core","4","0.0034000000000000002","-0.0010000000000000009","-0.00539999999999996","3","0","1","0","0"
"BIOC 445","5","0.007199999999999998","0.03420000000000001","0.00039999999999995595","4","3","8","17","5"
"CHEM 315","5","0.014200000000000004","0.01419999999999999","-0.0011999999999999789","4","0","4","7","7"
"Humanities Core","5","0.0092","0.0050000000000000044","-0.00039999999999995595","3","0","1","0","0"
"Social & Behavioral Science","5","0.0058","-0.00019999999999997797","-0.0036000000000000476","3","0","1","0","0"
"Upper Division Elective","5","0.0058","0.007800000000000029","-0.0013999999999999568","3","0","1","0","0"
"BIOC 446","6","0.0174","0.018199999999999994","-0.0006000000000000449","4","1","8","6","6"
"BIOC 448L","6","0.009800000000000003","0.008600000000000052","-0.0036000000000000476","3","0","8","0","0"
"BIOC 451L","6","0.008400000000000005","0.016800000000000037","0.0","4","0","7","6","6"
"Humanities Core","6","0.002799999999999997","0.0050000000000000044","-0.0026000000000000467","3","0","1","0","0"
"Social & Behavioral Science","6","0.0023999999999999994","0.0","-0.0026000000000000467","3","0","1","0","0"
"BIOC Upper Division Elective","7","0.004400000000000001","0.005600000000000049","0.0010000000000000009","3","0","1","0","0"
"Upper Division Elective","7","-0.0021999999999999936","-0.0013999999999999568","-0.0011999999999999789","3","0","1","0","0"
"Upper Division Elective","7","0.003600000000000006","0.012800000000000034","-0.0008000000000000229","3","0","1","0","0"
"Upper Division Elective","7","0.0102","0.0046000000000000485","-0.0028000000000000247","3","0","1","0","0"
"Upper Division Elective","7","0.008000000000000007","0.005199999999999982","-0.0018000000000000238","3","0","1","0","0"
"BIOC Upper Division Elective","8","0.013200000000000003","0.011400000000000077","-0.0041999999999999815","3","0","1","0","0"
"Elective Any Level","8","0.021199999999999997","0.014600000000000057","0.00039999999999995595","3","0","1","0","0"
"Elective Any Level","8","0.016799999999999995","0.031399999999999983","-0.0023999999999999577","3","0","1","0","0"
