"course","term","difference8","difference10","difference12","credits","blocking","delay","centrality","reachability"
"ENGL 110","1","0.9926","0.9998","0.0","3","8","6","8","0"
"MATH 162","1","0.9932","0.9998","0.0","4","13","6","12","0"
"ECE 101","1","1.0","0.0","0.0","1","0","1","0","0"
"ECE 131","1","0.9994","0.0","0.0","3","9","4","8","0"
"PHYC 160","1","0.9984","0.0","0.0","3","8","6","1","0"
"ENGL 120","2","0.9918","1.0","0.0","3","7","6","15","1"
"MATH 163","2","0.9916","0.9998","0.0","4","12","6","23","1"
"PHYC 161","2","1.0","0.0","0.0","3","7","6","1","1"
"PHYC 161L","2","1.0","0.0","0.0","1","0","3","0","0"
"ECE 231","2","0.9994","0.0","0.0","3","6","4","11","1"
"ECE 203","3","0.9928","0.9998","0.0","3","5","6","29","4"
"ECE 238L","3","0.9998","0.0","0.0","4","1","3","3","1"
"Basic Science","3","1.0","0.0","0.0","3","0","1","0","0"
"Basic Science Lab","3","0.0","0.0","0.0","1","0","1","0","0"
"ENGL 219","3","0.9996","0.9998","0.0","3","0","3","2","2"
"ECON 105","3","0.9998","0.0","0.0","3","0","1","0","0"
"ECE 206L","4","0.9994","1.0","0.0","2","1","5","11","5"
"ECE 300","4","0.9998","0.0","0.0","4","7","6","5","2"
"ECE 213","4","0.9932","0.9998","0.0","3","3","6","23","5"
"MATH 264","4","0.9998","0.0","0.0","4","1","4","5","2"
"ECE 330","4","0.9978","0.9994","1.0","3","3","4","11","2"
"ECE 321L","5","0.9934","1.0","0.0","4","1","6","13","6"
"MATH 327","5","0.9994","0.0","0.0","3","2","5","5","2"
"ECE 314","5","0.9986","1.0","0.0","3","0","5","7","7"
"ECE 340","5","0.9996","1.0","0.0","3","2","6","3","3"
"Second Language","5","0.9998","0.0","0.0","3","0","1","0","0"
"ECE 335","6","0.9996","0.0","0.0","3","0","4","3","3"
"ECE 331","6","0.9984","0.0","0.0","3","1","6","5","5"
"ECE 344L","6","0.9936","0.9998","0.0","4","0","6","10","10"
"Social Sciences","6","0.9992","0.0","0.0","3","0","1","0","0"
"ECE 419","7","0.9622","0.9986","1.0","3","1","2","1","0"
"ECE 437","7","0.9932","0.9996","0.0","3","0","4","3","3"
"ECE 435","7","0.9906","0.999","1.0","3","0","6","0","0"
"Tech Elective","7","0.9908","0.9994","1.0","3","0","1","0","0"
"Humanities","7","0.9598","0.9984","1.0","3","0","1","0","0"
"ECE 420","8","0.9588","0.998","1.0","3","0","2","1","1"
"ECE 440","8","0.9642","0.9978","0.9996","3","0","4","3","3"
"Tech Elective","8","0.9666","0.9988","0.9996","3","0","1","0","0"
"Fine Arts","8","0.9556","0.9982","1.0","3","0","1","0","0"
"Humanities","8","0.9644","0.999","0.0","3","0","1","0","0"
