"name","original","new","delay","blocking","cruciality","centrality","reachability","total","term","difference"
"ENGL 110","0.8958","1.0","6","8","14","8","8","30","1","-0.1215"
"MATH 162","0.7585","0.9861","6","13","19","12","13","44","1","-0.14379999999999998"
"ECE 131","0.8571","1.0","4","9","13","8","9","30","1","-0.10939999999999994"
"PHYC 160","0.7926","1.0","6","8","14","1","8","23","1","-0.11109999999999998"
"ENGL 120","0.9188","1.0","6","7","13","15","7","35","2","-0.11780000000000002"
"MATH 163","0.7502","0.9753","6","12","18","23","12","53","2","-0.1489999999999999"
"PHYC 161","0.8497","1.0","6","7","13","1","7","21","2","-0.013699999999999823"
"PHYC 161L","0.9866","1.0","3","0","3","0","0","3","2","-0.09599999999999997"
"ECE 231","0.9261","1.0","4","6","10","11","6","27","2","-0.12359999999999999"
"ECE 203","0.9341","1.0","6","5","11","29","5","45","3","-0.12320000000000003"
"ECE 238L","0.8983","1.0","3","1","4","3","1","8","3","-0.15859999999999996"
"ENGL 219","0.9317","1.0","3","0","3","2","0","5","3","-0.11120000000000002"
"ECE 206L","0.9952","1.0","5","1","6","11","1","18","4","-0.1159"
"ECE 300","0.9208","1.0","6","7","13","5","7","25","4","-0.14799999999999996"
"ECE 213","0.9588","1.0","6","3","9","23","3","35","4","-0.011299999999999977"
"MATH 264","0.8399","1.0","4","1","5","5","1","11","4","-0.10489999999999994"
"ECE 330","0.9957","1.0","4","3","7","11","3","21","4","-0.10649999999999993"
"ECE 321L","0.9697","1.0","6","1","7","13","1","21","5","-0.11999999999999994"
"MATH 327","0.8458","1.0","5","2","7","5","2","14","5","-0.15000000000000002"
"ECE 314","0.9304","1.0","5","0","5","7","0","12","5","-0.012500000000000067"
"ECE 340","0.926","1.0","6","2","8","3","2","13","5","-0.09369999999999995"
"ECE 335","1.0","1.0","4","0","4","3","0","7","6","-0.11079999999999995"
"ECE 331","0.9735","1.0","6","1","7","5","1","13","6","-0.1537"
"ECE 344L","0.9026","1.0","6","0","6","10","0","16","6","-0.012499999999999956"
"ECE 419","1.0","1.0","2","1","3","1","1","5","7","-0.12819999999999998"
"ECE 437","0.9717","1.0","4","0","4","3","0","7","7","-0.14799999999999996"
"ECE 435","1.0","1.0","6","0","6","0","0","6","7","-0.011599999999999944"
"ECE 420","1.0","1.0","2","0","2","1","0","3","8","-0.11870000000000003"
"ECE 440","0.9799","1.0","4","0","4","3","0","7","8","-0.1457"
