"course","term","difference8","difference10","difference12","credits","blocking","delay","centrality","reachability"
"ENGL 110","1","0.0","0.008","0.030200000000000005","3","8","6","8","0"
"MATH 162","1","0.0","0.009399999999999999","0.04880000000000001","4","13","6","12","0"
"ECE 101","1","0.0","0.0068000000000000005","0.016199999999999992","1","0","1","0","0"
"ECE 131","1","0.0","0.010599999999999998","0.03140000000000004","3","9","4","8","0"
"PHYC 160","1","0.0002","0.008","0.029600000000000015","3","8","6","1","0"
"ENGL 120","2","0.0","0.007199999999999998","0.028600000000000014","3","7","6","15","1"
"MATH 163","2","0.0","0.011200000000000002","0.04500000000000004","4","12","6","23","1"
"PHYC 161","2","0.0","0.007400000000000004","0.016400000000000026","3","7","6","1","1"
"PHYC 161L","2","0.0","0.009399999999999999","-0.0024000000000000132","1","0","3","0","0"
"ECE 231","2","0.0002","0.008800000000000002","0.021600000000000008","3","6","4","11","1"
"ECE 203","3","0.0004","0.009800000000000003","0.03260000000000002","3","5","6","29","4"
"ECE 238L","3","0.0","0.010000000000000002","0.054800000000000015","4","1","3","3","1"
"Basic Science","3","0.0","0.0104","0.02679999999999999","3","0","1","0","0"
"Basic Science Lab","3","0.0","0.004799999999999999","0.0012000000000000344","1","0","1","0","0"
"ENGL 219","3","0.0","0.004400000000000001","0.02360000000000001","3","0","3","2","2"
"ECON 105","3","0.0","0.007800000000000001","0.03560000000000002","3","0","1","0","0"
"ECE 206L","4","0.0","0.006999999999999999","0.019199999999999995","2","1","5","11","5"
"ECE 300","4","0.0","0.0116","0.04039999999999999","4","7","6","5","2"
"ECE 213","4","0.0002","0.0068000000000000005","0.03700000000000003","3","3","6","23","5"
"MATH 264","4","0.0","0.013400000000000002","0.041200000000000014","4","1","4","5","2"
"ECE 330","4","0.0004","0.008199999999999999","0.020000000000000018","3","3","4","11","2"
"ECE 321L","5","0.0","0.008600000000000003","0.044399999999999995","4","1","6","13","6"
"MATH 327","5","0.0","0.012000000000000004","0.04520000000000002","3","2","5","5","2"
"ECE 314","5","0.0002","0.009800000000000003","0.03460000000000002","3","0","5","7","7"
"ECE 340","5","0.0","0.004","0.0262","3","2","6","3","3"
"Second Language","5","0.0","0.0028000000000000004","0.024400000000000033","3","0","1","0","0"
"ECE 335","6","0.0","0.010800000000000004","0.031200000000000006","3","0","4","3","3"
"ECE 331","6","0.0","0.008400000000000005","0.031000000000000028","3","1","6","5","5"
"ECE 344L","6","0.0","0.009600000000000004","0.050600000000000034","4","0","6","10","10"
"Social Sciences","6","0.0","0.012400000000000001","0.0232","3","0","1","0","0"
