"combinations","coefs","n","pMax","pAvg","r2"
"blocking","0.009074650316152521,1.0346809733665253e-5","1","0.9454945975876142","0.4727472987938071","0.00012298109826069936"
"delay","0.01011058541697859,-0.00026770474621949376","1","0.310637500969955","0.1553187504849775","0.02633914896110967"
"centrality","0.009172781420491515,-1.3113769457930743e-5","1","0.8653358648822651","0.43266793244113255","0.0007562527729305657"
"reachability","0.009341995359628772,-0.00013828306264501133","1","0.5553453995611846","0.2776726997805923","0.009070336473897989"
"blocking_reachability","0.00926360153256705,-3.895274584929742e-5","1","0.7777540021639469","0.38887700108197343","0.002092021039625913"
"delay_blocking","0.00933775358973736,-3.819334774897345e-5","1","0.7226561720740757","0.36132808603703787","0.0033038355488085314"
"blocking,delay","0.010314226586349177,0.00014602956519499,-0.0004164235817422254","2","0.42639136492858976","0.2086362085041135","0.04270710898910546"
"blocking,centrality","0.009141330552327348,3.3710133854717973e-5,-2.232799644529831e-5","2","0.8525543187392794","0.5540720109653238","0.001688299501854007"
"blocking,reachability","0.009354994094480993,-4.481246777561331e-6,-0.0001394371656434088","2","0.9769088635829979","0.5132268760165513","0.009092773383462593"
"delay,centrality","0.010259168864610962,-0.000391478437437434,5.741661922799157e-5","2","0.5598041243386036","0.2700632078218754","0.035205957760344964"
"delay,reachability","0.01010093544772003,-0.000256672299095521,-1.828429636253461e-5","2","0.9475549368885033","0.45463037636960885","0.026452993047132556"
"delay,blocking_reachability","0.010604407159194511,-0.0006843319844532233,0.00025689192431343046","2","0.30250586289432696","0.15288932038822212","0.053533801619588206"
"centrality,reachability","0.009312992793111968,9.206146832185719e-6,-0.00015090680458891253","2","0.9161030538423532","0.4955781341712564","0.009367454062657155"
"centrality,blocking_reachability","0.009264306822240305,7.590952771937866e-6,-4.9151573839180937e-5","2","0.9490796414433101","0.5886582316362531","0.0022020061609685504"
"centrality,delay_blocking","0.009337272711039785,7.0037106558945275e-6,-4.436037031003986e-5","2","0.9447039852109893","0.5657532319125692","0.0034334067045257433"
"reachability,delay_blocking","0.00953184717739081,-0.00013147739461543542,-3.241152398615256e-5","2","0.7664421343318081","0.44926453330975463","0.011427626457553797"
"blocking_reachability,delay_blocking","0.009347688653533966,3.823443579285445e-5,-6.558606969702095e-5","2","0.9137227121404701","0.5751499719972426","0.003619942564155876"
"blocking,delay,centrality","0.010386976122896945,0.0001260009706060584,-0.00047989492098180994,3.8905374022440556e-5","3","0.7062245581283801","0.3535112728524227","0.0464703015710769"
"blocking,delay,reachability","0.010597289794916694,0.0002566624428719314,-0.0006763271246763837,0.00024401263754309936","3","0.5199955616081626","0.2557272036303938","0.05358827052684978"
"blocking,centrality,reachability","0.009363513315529625,-3.0252096101686912e-5,2.1024400908131553e-5,-0.00017490348864035468","3","0.8892945221923223","0.5845014062081395","0.009900341914818478"
"delay,centrality,reachability","0.010241457820101944,-0.00036871224244963577,6.055277751795488e-5,-4.8935440045265876e-5","3","0.8637104832729672","0.43323287652034337","0.03599496077627451"
"delay,centrality,blocking_reachability","0.010604137504735198,-0.0006839796390497079,4.527868735751277e-6,0.0002506561812366741","3","0.9692299032558286","0.3836559846202673","0.053572919709610756"
"centrality,reachability,delay_blocking","0.009611702661811607,4.700164971055016e-5,-0.0001877568920785684,-7.132325406709479e-5","3","0.6900796254362804","0.45501568310432555","0.015774599503349584"
"centrality,blocking_reachability,delay_blocking","0.009346954262909888,1.2711347415908715e-6,3.5744061139575684e-5,-6.492114337541115e-5","3","0.9917948761620895","0.686652019317578","0.0036228695910774933"
"blocking,delay,centrality,reachability","0.010595102885261498,0.0002482719509598111,-0.0006738019616545238,6.04970046756835e-6,0.00023237565859302275","4","0.9605226403247668","0.4378175583667095","0.05365451541384447"
