"combinations","coefs","n","pMax","pAvg","r2"
"blocking","0.03146872342562523,0.0006108172352606399","1","0.20035205005627732","0.10017602502813866","0.020334948093791883"
"delay","0.029317146165493888,0.0010617974525697009","1","0.17173122208554617","0.08586561104277309","0.023096538690319246"
"centrality","0.0308790003750423,0.0004011489100904686","1","0.10552031767066312","0.05276015883533156","0.032100710747279715"
"reachability","0.031311721573892386,0.000881937416090056","1","0.135110248512008","0.067555124256004","0.027486236738376135"
"blocking_reachability","0.029890273451021108,0.0008151401869158896","1","0.036342333975470244","0.018171166987735122","0.05254159223870747"
"delay_blocking","0.03023005097422704,0.000479019579819924","1","0.1435577761958976","0.0717788880979488","0.026367000883576908"
"blocking,delay","0.029715722228017032,0.0003451057304551958,0.0007255598973381902","2","0.5628530095249434","0.3395451987384624","0.027271643572233883"
"blocking,centrality","0.030730741088899883,0.0002562324169881217,0.00032469592216018047","2","0.6588735826298817","0.3144604653906585","0.03451312546928054"
"blocking,reachability","0.029832210313749222,0.0007085818346011596,0.0009898748534583003","2","0.1359312057252125","0.07647157839906125","0.05443985382796823"
"delay,centrality","0.030046130338531676,0.00038656261521019015,0.000316436178112253","2","0.7168220577934241","0.3570029458658271","0.033730460971019616"
"delay,reachability","0.029651791001846776,0.0006506672494329575,0.000639390329770913","2","0.46555458091068846","0.2706167735250198","0.03408058647458867"
"delay,blocking_reachability","0.031244864424101827,-0.0007958405615300019,0.0011485998614510458","2","0.5564705580080063","0.2172927427677217","0.056724079766023894"
"centrality,reachability","0.030561533688842225,0.0002885830916290523,0.0005462207750020194","2","0.4196304483124601","0.24355155941285048","0.04011635395638846"
"centrality,blocking_reachability","0.029892145863666075,-2.807647126978841e-5,0.0008508699019118663","2","0.9457195268459806","0.3798816382234045","0.05259789344382859"
"centrality,delay_blocking","0.030273049670448582,0.000286413888000751,0.00022170281040149873","2","0.6211189453024919","0.34043057018649264","0.035122731372555616"
"reachability,delay_blocking","0.029337353024884293,0.0007881207918793333,0.00042559211629535234","2","0.19495244303963055","0.12605006196159352","0.047988528369897976"
"blocking_reachability,delay_blocking","0.03050196621450434,0.0012405504909065107,-0.0004089748654716659","2","0.523873415776015","0.21087382740034852","0.05745083504332571"
"blocking,delay,centrality","0.030210242352403598,0.0002083377226538543,0.00025444300841171076,0.0002832268716998199","3","0.8237212134572985","0.4974432548399381","0.03513493263909562"
"blocking,delay,reachability","0.031230881683308884,0.0010458872405672308,-0.0008243285323051616,0.0013485384196212087","3","0.5450519962437689","0.20166496112679674","0.05891619018160432"
"blocking,centrality,reachability","0.02983385149297903,0.0007576692000473144,-4.0058792406991825e-5,0.0010439537681646556","3","0.9232330918616479","0.3507101517265513","0.05455386763326542"
"delay,centrality,reachability","0.030170892105436768,0.00018922084944686027,0.00025316026893886624,0.0005168938856201295","3","0.863669118332579","0.449694151668593","0.04048374592594828"
"delay,centrality,blocking_reachability","0.031241250769450085,-0.000793292431483405,-1.0848563288552145e-5,0.0011613379132021557","3","0.9791552530443689","0.42775619885151717","0.05673244265105992"
"centrality,reachability,delay_blocking","0.02940072137692932,5.028898632103354e-5,0.0007388412119517756,0.0003837527562697087","3","0.9025300603390086","0.40654046844461783","0.04817392299661205"
"centrality,blocking_reachability,delay_blocking","0.03050705428419772,-3.634811687120448e-5,0.0012886593157780334,-0.00041075601863690107","3","0.930067059015936","0.40772407380784476","0.05754510378366384"
