"combinations","n","pMax","pAvg","r2"
"complexity","1","1.4144842882171105e-281","7.072421441085553e-282","0.8344958713117182"
"blocking","1","2.1226932332737474e-167","1.0613466166368737e-167","0.7488847303938093"
"delay","1","0.0","0.0","0.8560235028592844"
"centrality","1","1.8882459574696777e-165","9.441229787348389e-166","0.746648172787102"
"reachability","1","2.1226932332737474e-167","1.0613466166368737e-167","0.7488847303938093"
"term_complexity","1","5.893967338423379e-300","2.9469836692116894e-300","0.8431085285133437"
"term_blocking","1","9.03124587002619e-162","4.515622935013095e-162","0.7423155961474232"
"term_delay","1","2.2835384e-316","1.1417692e-316","0.8500752188674324"
"term_centrality","1","1.4475791863858045e-176","7.237895931929023e-177","0.7588944793485422"
"term_reachability","1","9.03124587002619e-162","4.515622935013095e-162","0.7423155961474232"
"free","1","2.925225860469777e-85","1.4626129302348886e-85","0.6002434325441476"
"edges","1","5.199897931460835e-103","2.5999489657304177e-103","0.6455569444728237"
"complexity,centrality","2","8.644863643983632e-6","2.8816212146612106e-6","0.8464586019138951"
"complexity,reachability","2","5.16494056812784e-10","1.7216468560426134e-10","0.8563361252533556"
"complexity,term_centrality","2","0.038830140515329056","0.012943380171776353","0.8372310833267801"
"complexity,term_reachability","2","0.15015453298125153","0.05005151099375051","0.8358341976392091"
"complexity,free","2","0.06794762744491036","0.022649209148303453","0.8366388081776777"
"complexity,edges","2","6.232096054376186e-12","2.0773653514587288e-12","0.8604570112030482"
"blocking,delay","2","0.45720788673996465","0.15240262891332154","0.8563361252533555"
"blocking,centrality","2","0.6955890806352023","0.2718784960412452","0.7490360017190695"
"blocking,term_delay","2","0.0036812285312085424","0.0012270761770695141","0.8548938421692973"
"blocking,term_centrality","2","0.7579602016290963","0.25302149933706825","0.7589845877032235"
"blocking,term_reachability","2","0.012278993508543213","0.004192552371160191","0.7549343146779777"
"blocking,free","2","0.00017553035904914325","5.851011968304775e-5","0.7620705399547867"
"blocking,edges","2","6.839331815305344e-5","2.279777271768448e-5","0.7636385136462867"
"delay,centrality","2","0.13024571512709807","0.043415238375699355","0.8573097228069184"
"delay,reachability","2","0.45720788673997387","0.15240262891332462","0.8563361252533555"
"delay,term_blocking","2","0.011426190372169076","0.0038087301240563587","0.8595609089386985"
"delay,term_centrality","2","0.006642004307423191","0.0022140014358077303","0.8600818533629838"
"delay,term_reachability","2","0.011426190372169076","0.0038087301240563587","0.8595609089386985"
"delay,free","2","1.7696826253604008e-6","5.898942084534724e-7","0.8678972243831657"
"delay,edges","2","0.1610802026385981","0.0536934008795327","0.8571282591442726"
"centrality,reachability","2","0.6955890806352228","0.27187849604126063","0.7490360017190694"
"centrality,term_complexity","2","0.8321064943441179","0.2773688314480393","0.843136284926119"
"centrality,term_blocking","2","0.003047205565731507","0.0011054978756214365","0.7551122138399045"
"centrality,term_delay","2","0.00046849761282656","0.00015616587094218666","0.8569662113176191"
"centrality,term_reachability","2","0.003047205565731507","0.0011054978756214365","0.7551122138399045"
"centrality,free","2","1.0672109793232891e-5","3.5573699310776305e-6","0.764614550602986"
"centrality,edges","2","0.014360649355006538","0.004786883118335513","0.7524883358967779"
"reachability,term_complexity","2","0.33690003990001216","0.11230001330000405","0.8436760902620375"
"reachability,term_blocking","2","0.012278993508543213","0.004192552371160191","0.7549343146779777"
"reachability,term_delay","2","0.0036812285312085424","0.0012270761770695141","0.8548938421692973"
"reachability,term_centrality","2","0.7579602016290963","0.25302149933706825","0.7589845877032235"
"reachability,free","2","0.00017553035904914325","5.851011968304775e-5","0.7620705399547867"
