"combinations","n","pMax","pAvg","r2"
"complexity","1","0.0","0.0","0.9399614028731215"
"blocking","1","0.0","0.0","0.9106940776764852"
"delay","1","0.0","0.0","0.9024645664967115"
"centrality","1","0.0","0.0","0.9179452248996316"
"reachability","1","0.0","0.0","0.9106940776764852"
"free","1","9.447335989440483e-112","4.723667994720241e-112","0.6643006603772788"
"edges","1","7.753580293753998e-216","3.876790146876999e-216","0.7940685191141449"
"complexity,centrality","2","2.3454571302273524e-5","7.818190434091175e-6","0.9439110281157572"
"complexity,reachability","2","0.1476007060587498","0.0492002353529166","0.9404529876676487"
"complexity,free","2","1.6670575809341473e-5","5.556858603113824e-6","0.9440448558582594"
"complexity,edges","2","8.431461456800087e-5","2.8104871522666955e-5","0.9434058471311548"
"blocking,delay","2","1.9169393149503814e-29","6.389797851585477e-30","0.9404529876676486"
"blocking,centrality","2","0.26975822867935495","0.08991977115203666","0.9183368146629843"
"blocking,free","2","0.0015906364775994052","0.0005302121591998017","0.9140672929231444"
"blocking,edges","2","3.772732115868058e-11","1.2575773719560193e-11","0.9238107263139114"
"delay,centrality","2","7.315468508729133e-36","2.438489502909711e-36","0.9492020272553799"
"delay,reachability","2","1.91693931498614e-29","6.389797851704673e-30","0.9404529876676487"
"delay,free","2","0.00031656769140322967","0.00010552256380107656","0.9072029622198279"
"delay,edges","2","4.282222760556345e-9","1.427407586852115e-9","0.9141255763634965"
"centrality,reachability","2","0.26975822868170574","0.08991977115282025","0.9183368146629841"
"centrality,free","2","1.7388446807645214e-5","5.796148935881738e-6","0.9235035276393917"
"centrality,edges","2","1.0303919253822473e-6","3.434639751274158e-7","0.9249941481782651"
"reachability,free","2","0.0015906364775994052","0.0005302121591998017","0.9140672929231444"
"reachability,edges","2","3.772732115868058e-11","1.2575773719560193e-11","0.9238107263139114"
"free,edges","2","9.222032271606263e-8","3.074010757202088e-8","0.8148640845835864"
"complexity,centrality,reachability","3","1.86887108938361e-24","4.67224803852408e-25","0.9602681646463052"
"complexity,centrality,free","3","0.0056771032874001785","0.0024250078920856188","0.9456871312331421"
"complexity,centrality,edges","3","5.001317120655242e-16","1.541740626124864e-16","0.955487157609361"
"complexity,reachability,free","3","0.9226635817989401","0.23067976856179298","0.9440469401320292"
"complexity,reachability,edges","3","1.9723555817578656e-8","4.9333405342396356e-9","0.9496758016275368"
"complexity,free,edges","3","6.120644380616662e-5","1.8342114690043414e-5","0.9473857467637903"
"blocking,delay,centrality","3","4.683320562549381e-17","1.1708301406380485e-17","0.9602681646463053"
"blocking,delay,free","3","5.5492448231812815e-5","1.3873112057953204e-5","0.944046940132029"
"blocking,delay,edges","3","9.806319379892129e-12","2.4515798449730322e-12","0.9496758016275368"
"blocking,centrality,free","3","0.001567786847973994","0.00039198105523304753","0.9264113544303404"
"blocking,centrality,edges","3","0.05012481285840548","0.01377426996972939","0.9261147735020386"
"blocking,free,edges","3","3.201956963475924e-7","8.004892502794647e-8","0.9309414704300967"
"delay,centrality,reachability","3","4.6833205625443245e-17","1.1708301406367843e-17","0.9602681646463053"
"delay,centrality,free","3","0.00014998267883391337","3.749566970847834e-5","0.951932638138798"
"delay,centrality,edges","3","1.5206642445688657e-13","3.801660611422164e-14","0.9582111186614413"
"delay,reachability,free","3","5.549244823180748e-5","1.387311205795187e-5","0.9440469401320292"
"delay,reachability,edges","3","9.806319379888019e-12","2.4515798449720047e-12","0.9496758016275368"
"delay,free,edges","3","6.6908069809919e-7","1.6727187070243854e-7","0.9217642860312614"
"centrality,reachability,free","3","0.0015677868479517664","0.00039198105522749024","0.9264113544303404"
"centrality,reachability,edges","3","0.050124812857923154","0.013774269969625606","0.9261147735020383"
"centrality,free,edges","3","3.162485633620508e-11","8.295008419950375e-12","0.9361219681266304"
"reachability,free,edges","3","3.201956963475924e-7","8.004892502794647e-8","0.9309414704300967"
"complexity,centrality,reachability,free","4","0.00576959343017166","0.001153918686034332","0.9614344499737395"
"complexity,centrality,reachability,edges","4","0.0011266784417435626","0.0002253357047710107","0.9618729614569265"
"complexity,centrality,free,edges","4","0.384702738316828","0.07694054766498411","0.9556202299860701"
"complexity,reachability,free,edges","4","0.050294939429023786","0.01007572452675021","0.9504295088838761"
"blocking,delay,centrality,free","4","0.005769593430172625","0.0011539186860351819","0.9614344499737395"
"blocking,delay,centrality,edges","4","0.0011266784417434904","0.00022550909283061663","0.9618729614569266"
"blocking,delay,free,edges","4","0.05029493942845754","0.010058990335612243","0.9504295088838763"
"blocking,centrality,free,edges","4","0.8271230357224328","0.16542580699977383","0.9361340558810702"
"delay,centrality,reachability,free","4","0.005769593430171792","0.0011539186860350153","0.9614344499737395"
"delay,centrality,reachability,edges","4","0.0011266784417426404","0.0002255090928304464","0.9618729614569265"
"delay,centrality,free,edges","4","0.11663812960490963","0.02332762595660725","0.9586154218671054"
"delay,reachability,free,edges","4","0.05029493942866894","0.010058990335654524","0.9504295088838763"
"centrality,reachability,free,edges","4","0.827123035723409","0.16542580699996906","0.9361340558810702"
"complexity,centrality,reachability,free,edges","5","0.06268431483764289","0.012358431082621612","0.962392115017471"
"delay,centrality,reachability,free,edges","5","0.06268431483807975","0.012358516942510035","0.9623921150174711"
