"name","credits","difficulty","complexity","blocking","delay","centrality","reachability","term_complexity","term_blocking","term_delay","term_centrality","term_reachability","free","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7","averageTTD"
"0.json","18","95.0","6","0","6","0","0","12","0","12","0","0","6","0","0.98","1.0","1.0","0.0","0.0","2.295116798246878"
"1.json","18","95.0","9","1","8","2","1","19","2","17","5","2","5","1","0.89","0.99","1.0","1.0","0.0","3.1178"
"10.json","18","95.0","11","2","9","4","2","23","4","19","10","4","5","2","0.9","0.99","1.0","1.0","0.0","3.10916150198"
"100.json","18","95.0","18","4","14","9","4","32","5","27","17","5","3","3","0.84","0.99","1.0","1.0","1.0","3.173059023359649"
"101.json","18","95.0","22","6","16","14","6","38","8","30","28","8","3","4","0.76","0.97","1.0","1.0","0.0","3.2703441083498057"
"102.json","18","95.0","24","6","18","14","6","44","8","36","28","8","2","4","0.74","0.98","1.0","1.0","0.0","3.281834611804672"
"103.json","18","95.0","26","8","18","19","8","47","11","36","39","11","2","5","0.73","0.97","1.0","1.0","0.0","3.3013659527345074"
"104.json","18","95.0","18","4","14","9","4","32","5","27","17","5","3","3","0.86","0.99","1.0","1.0","1.0","3.1552"
"105.json","18","95.0","24","6","18","14","6","44","8","36","28","8","2","4","0.74","0.97","1.0","1.0","1.0","3.2892"
"106.json","18","95.0","22","6","16","14","6","38","8","30","28","8","3","4","0.77","0.97","1.0","1.0","1.0","3.2621637797463077"
"107.json","18","95.0","26","8","18","19","8","47","11","36","39","11","2","5","0.73","0.97","1.0","1.0","0.0","3.3022"
"108.json","18","95.0","22","6","16","14","6","41","8","33","28","8","2","4","0.81","0.98","1.0","1.0","0.0","3.217941813985359"
"109.json","18","95.0","26","8","18","19","8","47","11","36","39","11","2","5","0.73","0.97","1.0","1.0","1.0","3.306660273190547"
"11.json","18","95.0","13","3","10","6","3","28","6","22","15","6","4","3","0.85","0.99","1.0","1.0","1.0","3.1648"
"110.json","18","95.0","26","8","18","19","8","47","11","36","39","11","2","5","0.74","0.97","1.0","1.0","1.0","3.2904604399999995"
"111.json","18","95.0","28","10","18","24","10","50","14","36","50","14","2","6","0.74","0.97","1.0","1.0","0.0","3.2952"
"112.json","18","95.0","13","3","10","6","3","21","3","18","9","3","4","3","0.98","1.0","1.0","1.0","0.0","2.2868"
"113.json","18","95.0","21","6","15","14","6","35","7","28","26","7","3","4","0.8","0.98","1.0","1.0","1.0","3.2228"
"114.json","18","95.0","21","6","15","14","6","35","7","28","26","7","3","4","0.81","0.98","1.0","1.0","1.0","3.21525736"
"115.json","18","95.0","26","9","17","22","9","45","11","34","43","11","2","5","0.77","0.97","1.0","1.0","1.0","3.2649689547587952"
"116.json","18","95.0","19","5","14","11","5","33","6","27","20","6","3","4","0.85","0.99","1.0","1.0","0.0","3.1674"
"117.json","18","95.0","23","7","16","17","7","39","9","30","33","9","3","5","0.78","0.97","1.0","1.0","0.0","3.2482613320546383"
"118.json","18","95.0","26","8","18","19","8","46","10","36","37","10","2","5","0.73","0.97","1.0","1.0","1.0","3.305586466388499"
"119.json","18","95.0","28","10","18","25","10","49","13","36","50","13","2","6","0.74","0.97","1.0","1.0","1.0","3.3029"
"12.json","18","95.0","11","2","9","4","2","24","4","20","10","4","4","2","0.98","1.0","1.0","0.0","0.0","2.2923"
"120.json","18","95.0","19","5","14","11","5","33","6","27","20","6","3","4","0.86","0.99","1.0","1.0","0.0","3.1543176635486487"
"121.json","18","95.0","26","8","18","19","8","46","10","36","37","10","2","5","0.74","0.97","1.0","1.0","1.0","3.2966580920879998"
"122.json","18","95.0","23","7","16","17","7","39","9","30","33","9","3","5","0.77","0.97","1.0","1.0","1.0","3.2638"
"123.json","18","95.0","28","10","18","25","10","49","13","36","50","13","2","6","0.74","0.97","1.0","1.0","1.0","3.2908"
"124.json","18","95.0","23","7","16","16","7","42","9","33","31","9","2","5","0.81","0.98","1.0","1.0","1.0","3.2073"
"125.json","18","95.0","27","9","18","22","9","48","12","36","44","12","2","6","0.74","0.97","1.0","1.0","1.0","3.2904"
"126.json","18","95.0","27","9","18","22","9","48","12","36","44","12","2","6","0.74","0.97","1.0","1.0","1.0","3.2982414600000003"
"127.json","18","95.0","29","11","18","28","11","51","15","36","57","15","2","7","0.73","0.96","1.0","1.0","0.0","3.3161919995915263"
"128.json","18","95.0","9","1","8","2","1","16","1","15","3","1","5","1","0.98","1.0","1.0","1.0","0.0","2.2842"
"129.json","18","95.0","12","2","10","4","2","23","3","20","8","3","4","2","0.98","1.0","1.0","0.0","0.0","2.288021832300396"
"13.json","18","95.0","13","3","10","6","3","28","6","22","15","6","4","3","0.9","0.99","1.0","1.0","0.0","3.1083"
"130.json","18","95.0","12","2","10","4","2","23","3","20","8","3","4","2","0.98","1.0","1.0","0.0","0.0","2.2846"
"131.json","18","95.0","14","3","11","6","3","28","5","23","13","5","3","3","0.98","1.0","1.0","1.0","0.0","2.296"
"132.json","18","95.0","15","3","12","7","3","28","4","24","14","4","4","2","0.85","0.99","1.0","1.0","0.0","3.1624"
"133.json","18","95.0","17","4","13","9","4","32","6","26","19","6","4","3","0.85","0.99","1.0","1.0","0.0","3.1677"
"134.json","18","95.0","18","4","14","9","4","35","6","29","19","6","3","3","0.85","0.99","1.0","1.0","0.0","3.16203248"
"135.json","18","95.0","19","5","14","11","5","37","8","29","24","8","3","4","0.85","0.98","1.0","1.0","1.0","3.16483354"
"136.json","18","95.0","15","3","12","7","3","28","4","24","14","4","4","2","0.87","0.99","1.0","1.0","0.0","3.1477"
"137.json","18","95.0","18","4","14","9","4","35","6","29","19","6","3","3","0.84","0.99","1.0","1.0","0.0","3.1724"
"138.json","18","95.0","17","4","13","9","4","32","6","26","19","6","4","3","0.84","0.98","1.0","1.0","0.0","3.17662954"
"139.json","18","95.0","19","5","14","11","5","37","8","29","24","8","3","4","0.85","0.98","1.0","1.0","1.0","3.16583448"
"14.json","18","95.0","13","3","10","6","3","28","6","22","15","6","4","3","0.9","0.99","1.0","1.0","0.0","3.1112"
"140.json","18","95.0","19","5","14","12","5","37","7","30","25","7","3","3","0.81","0.98","1.0","1.0","0.0","3.2082"
"141.json","18","95.0","21","6","15","14","6","41","9","32","30","9","3","4","0.82","0.98","1.0","1.0","1.0","3.20942224"
"142.json","18","95.0","21","6","15","14","6","41","9","32","30","9","3","4","0.82","0.98","1.0","1.0","0.0","3.2042416400000002"
"143.json","18","95.0","22","7","15","16","7","43","11","32","35","11","3","5","0.81","0.98","1.0","1.0","0.0","3.2179"
"144.json","18","95.0","12","2","10","4","2","20","2","18","6","2","4","2","0.98","1.0","1.0","1.0","0.0","2.286833166896"
"145.json","18","95.0","18","4","14","9","4","32","5","27","17","5","3","3","0.85","0.99","1.0","1.0","1.0","3.16403086353271"
"146.json","18","95.0","18","4","14","9","4","32","5","27","17","5","3","3","0.85","0.99","1.0","1.0","0.0","3.170857366633379"
"147.json","18","95.0","22","6","16","14","6","41","8","33","28","8","2","4","0.81","0.98","1.0","1.0","1.0","3.213440848328"
"148.json","18","95.0","18","4","14","9","4","32","5","27","17","5","3","3","0.85","0.98","1.0","1.0","0.0","3.1702"
"149.json","18","95.0","22","6","16","14","6","38","8","30","28","8","3","4","0.77","0.98","1.0","1.0","0.0","3.257242688169666"
"15.json","18","95.0","14","4","10","8","4","30","8","22","20","8","4","4","0.85","0.99","1.0","1.0","0.0","3.1652"
"150.json","18","95.0","24","6","18","14","6","44","8","36","28","8","2","4","0.74","0.98","1.0","1.0","0.0","3.287451448537634"
"151.json","18","95.0","26","8","18","19","8","47","11","36","39","11","2","5","0.73","0.97","1.0","1.0","1.0","3.30393030846436"
"152.json","18","95.0","18","4","14","9","4","32","5","27","17","5","3","3","0.85","0.98","1.0","1.0","1.0","3.1696353259079997"
"153.json","18","95.0","24","6","18","14","6","44","8","36","28","8","2","4","0.73","0.97","1.0","1.0","0.0","3.3034574902897074"
"154.json","18","95.0","22","6","16","14","6","38","8","30","28","8","3","4","0.78","0.98","1.0","1.0","0.0","3.2478"
"155.json","18","95.0","26","8","18","19","8","47","11","36","39","11","2","5","0.73","0.97","1.0","1.0","1.0","3.3134"
"156.json","18","95.0","22","6","16","14","6","41","8","33","28","8","2","4","0.8","0.98","1.0","1.0","0.0","3.21784358"
"157.json","18","95.0","26","8","18","19","8","47","11","36","39","11","2","5","0.74","0.97","1.0","1.0","1.0","3.2926496522664106"
"158.json","18","95.0","26","8","18","19","8","47","11","36","39","11","2","5","0.73","0.97","1.0","1.0","1.0","3.304043568716"
"159.json","18","95.0","28","10","18","24","10","50","14","36","50","14","2","6","0.74","0.96","1.0","1.0","1.0","3.303"
"16.json","18","95.0","9","1","8","2","1","16","1","15","3","1","5","1","0.98","1.0","1.0","0.0","0.0","2.294"
"160.json","18","95.0","11","2","9","4","2","18","2","16","6","2","5","2","0.98","1.0","1.0","0.0","0.0","2.2934"
"161.json","18","95.0","14","3","11","6","3","25","4","21","11","4","4","3","0.98","1.0","1.0","1.0","0.0","2.2864"
"162.json","18","95.0","14","3","11","6","3","25","4","21","11","4","4","3","0.98","1.0","1.0","0.0","0.0","2.291"
"163.json","18","95.0","16","4","12","8","4","30","6","24","16","6","3","4","0.97","1.0","1.0","1.0","0.0","2.2956572800000004"
"164.json","18","95.0","19","5","14","12","5","32","6","26","23","6","4","3","0.82","0.98","1.0","1.0","0.0","3.2042"
"165.json","18","95.0","21","6","15","14","6","36","8","28","28","8","4","4","0.81","0.97","1.0","1.0","0.0","3.2210591314559998"
"166.json","18","95.0","22","6","16","14","6","39","8","31","28","8","3","4","0.81","0.97","1.0","1.0","0.0","3.22364084"
"167.json","18","95.0","23","7","16","16","7","41","10","31","33","10","3","5","0.81","0.98","1.0","1.0","1.0","3.2072588"
"168.json","18","95.0","19","5","14","12","5","32","6","26","23","6","4","3","0.81","0.98","1.0","1.0","0.0","3.208844728168"
"169.json","18","95.0","22","6","16","14","6","39","8","31","28","8","3","4","0.8","0.98","1.0","1.0","0.0","3.22064145176"
"17.json","18","95.0","15","3","12","7","3","28","4","24","14","4","4","2","0.85","0.98","1.0","1.0","1.0","3.168456366922361"
"170.json","18","95.0","21","6","15","14","6","36","8","28","28","8","4","4","0.82","0.98","1.0","1.0","1.0","3.2080417689456335"
"171.json","18","95.0","23","7","16","16","7","41","10","31","33","10","3","5","0.81","0.98","1.0","1.0","0.0","3.21005276"
"172.json","18","95.0","24","8","16","20","8","42","10","32","40","10","3","4","0.78","0.97","1.0","1.0","1.0","3.2574"
"173.json","18","95.0","26","9","17","22","9","46","12","34","45","12","3","5","0.77","0.97","1.0","1.0","1.0","3.2626"
"174.json","18","95.0","26","9","17","22","9","46","12","34","45","12","3","5","0.76","0.97","1.0","1.0","1.0","3.2728529937909516"
"175.json","18","95.0","27","10","17","24","10","48","14","34","50","14","3","6","0.78","0.97","1.0","1.0","1.0","3.25385252"
"176.json","18","95.0","13","3","10","6","3","21","3","18","9","3","4","3","0.98","1.0","1.0","0.0","0.0","2.2867"
"177.json","18","95.0","19","5","14","11","5","33","6","27","20","6","3","4","0.86","0.98","1.0","1.0","1.0","3.1620328061727063"
"178.json","18","95.0","19","5","14","11","5","33","6","27","20","6","3","4","0.85","0.99","1.0","1.0","0.0","3.16165734"
"179.json","18","95.0","23","7","16","16","7","42","9","33","31","9","2","5","0.81","0.98","1.0","1.0","0.0","3.2119437478696167"
"18.json","18","95.0","15","3","12","7","3","28","4","24","14","4","4","2","0.86","0.98","1.0","1.0","0.0","3.159716662932"
"180.json","18","95.0","21","6","15","14","6","35","7","28","26","7","3","4","0.81","0.98","1.0","1.0","1.0","3.209241608353789"
"181.json","18","95.0","23","7","16","17","7","39","9","30","33","9","3","5","0.78","0.97","1.0","1.0","0.0","3.2457"
"182.json","18","95.0","26","8","18","19","8","46","10","36","37","10","2","5","0.73","0.97","1.0","1.0","1.0","3.3011"
"183.json","18","95.0","27","9","18","22","9","48","12","36","44","12","2","6","0.73","0.97","1.0","1.0","1.0","3.3045"
"184.json","18","95.0","21","6","15","14","6","35","7","28","26","7","3","4","0.82","0.98","1.0","1.0","1.0","3.2027"
"185.json","18","95.0","26","8","18","19","8","46","10","36","37","10","2","5","0.73","0.97","1.0","1.0","1.0","3.3062626799999997"
"186.json","18","95.0","23","7","16","17","7","39","9","30","33","9","3","5","0.77","0.97","1.0","1.0","0.0","3.2616"
"187.json","18","95.0","27","9","18","22","9","48","12","36","44","12","2","6","0.73","0.97","1.0","1.0","1.0","3.3014"
"188.json","18","95.0","26","9","17","22","9","45","11","34","43","11","2","5","0.77","0.97","1.0","1.0","1.0","3.26205232"
"189.json","18","95.0","28","10","18","25","10","49","13","36","50","13","2","6","0.74","0.96","1.0","1.0","0.0","3.3022605799999996"
"19.json","18","95.0","19","5","14","12","5","37","7","30","25","7","3","3","0.82","0.98","1.0","1.0","1.0","3.2096"
"190.json","18","95.0","28","10","18","25","10","49","13","36","50","13","2","6","0.73","0.97","1.0","1.0","1.0","3.3062"
"191.json","18","95.0","29","11","18","28","11","51","15","36","57","15","2","7","0.73","0.97","1.0","1.0","1.0","3.3045461149679998"
"192.json","18","95.0","11","2","9","4","2","19","2","17","6","2","4","2","0.98","1.0","1.0","0.0","0.0","2.2916"
"193.json","18","95.0","17","4","13","9","4","31","5","26","17","5","3","3","0.86","0.99","1.0","1.0","0.0","3.1586324065612343"
"194.json","18","95.0","17","4","13","9","4","31","5","26","17","5","3","3","0.85","0.99","1.0","1.0","0.0","3.16745832"
"195.json","18","95.0","21","6","15","14","6","40","8","32","28","8","2","4","0.82","0.98","1.0","1.0","1.0","3.199441848321671"
"196.json","18","95.0","17","4","13","9","4","31","5","26","17","5","3","3","0.85","0.99","1.0","1.0","1.0","3.1684"
"197.json","18","95.0","19","5","14","12","5","35","7","28","24","7","3","4","0.82","0.98","1.0","1.0","0.0","3.1988"
"198.json","18","95.0","22","6","16","14","6","42","8","34","28","8","2","4","0.77","0.98","1.0","1.0","0.0","3.2524"
"199.json","18","95.0","23","7","16","17","7","44","10","34","35","10","2","5","0.77","0.97","1.0","1.0","1.0","3.2565"
"2.json","18","95.0","9","1","8","2","1","19","2","17","5","2","5","1","0.89","0.99","1.0","0.0","0.0","3.1182"
"20.json","18","95.0","12","2","10","4","2","23","3","20","8","3","4","2","0.98","1.0","1.0","0.0","0.0","2.2921"
"200.json","18","95.0","17","4","13","9","4","31","5","26","17","5","3","3","0.86","0.99","1.0","1.0","1.0","3.156031726481312"
"201.json","18","95.0","22","6","16","14","6","42","8","34","28","8","2","4","0.77","0.98","1.0","1.0","1.0","3.2528"
"202.json","18","95.0","19","5","14","12","5","35","7","28","24","7","3","4","0.82","0.98","1.0","1.0","1.0","3.2072"
"203.json","18","95.0","23","7","16","17","7","44","10","34","35","10","2","5","0.77","0.97","1.0","1.0","1.0","3.268258529930453"
"204.json","18","95.0","21","6","15","14","6","40","8","32","28","8","2","4","0.81","0.98","1.0","1.0","0.0","3.2072"
"205.json","18","95.0","23","7","16","17","7","44","10","34","35","10","2","5","0.78","0.97","1.0","1.0","1.0","3.2576"
"206.json","18","95.0","23","7","16","17","7","44","10","34","35","10","2","5","0.77","0.97","1.0","1.0","1.0","3.26124144"
"207.json","18","95.0","24","8","16","20","8","46","12","34","42","12","2","6","0.78","0.97","1.0","1.0","0.0","3.2516"
"208.json","18","95.0","13","3","10","6","3","21","3","18","9","3","4","3","0.98","1.0","1.0","0.0","0.0","2.2875664563128"
"209.json","18","95.0","21","6","15","14","6","35","7","28","26","7","3","4","0.82","0.98","1.0","1.0","1.0","3.1985"
"21.json","18","95.0","17","4","13","9","4","32","6","26","19","6","4","3","0.85","0.99","1.0","1.0","0.0","3.1676"
"210.json","18","95.0","21","6","15","14","6","35","7","28","26","7","3","4","0.81","0.98","1.0","1.0","0.0","3.2084397"
"211.json","18","95.0","26","9","17","22","9","45","11","34","43","11","2","5","0.77","0.97","1.0","1.0","1.0","3.264"
"212.json","18","95.0","19","5","14","11","5","33","6","27","20","6","3","4","0.85","0.98","1.0","1.0","1.0","3.1638"
"213.json","18","95.0","23","7","16","17","7","39","9","30","33","9","3","5","0.77","0.97","1.0","1.0","1.0","3.26"
"214.json","18","95.0","26","8","18","19","8","46","10","36","37","10","2","5","0.73","0.97","1.0","1.0","1.0","3.2997"
"215.json","18","95.0","28","10","18","25","10","49","13","36","50","13","2","6","0.73","0.96","1.0","1.0","1.0","3.308860452116"
"216.json","18","95.0","19","5","14","11","5","33","6","27","20","6","3","4","0.85","0.98","1.0","1.0","0.0","3.163"
"217.json","18","95.0","26","8","18","19","8","46","10","36","37","10","2","5","0.73","0.97","1.0","1.0","1.0","3.3031"
"218.json","18","95.0","23","7","16","17","7","39","9","30","33","9","3","5","0.77","0.98","1.0","1.0","1.0","3.253"
"219.json","18","95.0","28","10","18","25","10","49","13","36","50","13","2","6","0.73","0.96","1.0","1.0","1.0","3.3088612399999997"
"22.json","18","95.0","18","4","14","9","4","35","6","29","19","6","3","3","0.85","0.98","1.0","1.0","0.0","3.1726"
"220.json","18","95.0","23","7","16","16","7","42","9","33","31","9","2","5","0.8","0.98","1.0","1.0","0.0","3.2206"
"221.json","18","95.0","27","9","18","22","9","48","12","36","44","12","2","6","0.74","0.97","1.0","1.0","1.0","3.3022"
"222.json","18","95.0","27","9","18","22","9","48","12","36","44","12","2","6","0.73","0.97","1.0","1.0","1.0","3.31164412"
"223.json","18","95.0","29","11","18","28","11","51","15","36","57","15","2","7","0.73","0.96","1.0","1.0","1.0","3.3194632383999183"
"224.json","18","95.0","13","3","10","6","3","21","3","18","9","3","4","3","0.98","1.0","1.0","0.0","0.0","2.284544952783564"
"225.json","18","95.0","19","5","14","11","5","33","6","27","20","6","3","4","0.85","0.98","1.0","1.0","1.0","3.171431206345296"
"226.json","18","95.0","19","5","14","11","5","33","6","27","20","6","3","4","0.85","0.98","1.0","1.0","0.0","3.1686569089905565"
"227.json","18","95.0","23","7","16","16","7","42","9","33","31","9","2","5","0.81","0.98","1.0","1.0","1.0","3.218862328824"
"228.json","18","95.0","21","6","15","14","6","35","7","28","26","7","3","4","0.82","0.98","1.0","1.0","0.0","3.2028337313817983"
"229.json","18","95.0","23","7","16","17","7","39","9","30","33","9","3","5","0.78","0.97","1.0","1.0","1.0","3.247252"
"23.json","18","95.0","21","6","15","14","6","41","9","32","30","9","3","4","0.81","0.98","1.0","1.0","0.0","3.2156"
"230.json","18","95.0","26","8","18","19","8","46","10","36","37","10","2","5","0.72","0.97","1.0","1.0","1.0","3.3126606200000004"
"231.json","18","95.0","27","9","18","22","9","48","12","36","44","12","2","6","0.73","0.97","1.0","1.0","1.0","3.3028405667462764"
"232.json","18","95.0","21","6","15","14","6","35","7","28","26","7","3","4","0.81","0.98","1.0","1.0","0.0","3.2154"
"233.json","18","95.0","26","8","18","19","8","46","10","36","37","10","2","5","0.72","0.96","1.0","1.0","1.0","3.3224625321240002"
"234.json","18","95.0","23","7","16","17","7","39","9","30","33","9","3","5","0.77","0.97","1.0","1.0","1.0","3.2546"
"235.json","18","95.0","27","9","18","22","9","48","12","36","44","12","2","6","0.74","0.97","1.0","1.0","1.0","3.2978"
"236.json","18","95.0","26","9","17","22","9","45","11","34","43","11","2","5","0.78","0.97","1.0","1.0","0.0","3.25725092"
"237.json","18","95.0","28","10","18","25","10","49","13","36","50","13","2","6","0.74","0.96","1.0","1.0","1.0","3.3006617720904234"
"238.json","18","95.0","28","10","18","25","10","49","13","36","50","13","2","6","0.73","0.97","1.0","1.0","1.0","3.313651450184"
"239.json","18","95.0","29","11","18","28","11","51","15","36","57","15","2","7","0.73","0.96","0.99","1.0","0.0","3.31246389264768"
"24.json","18","95.0","12","2","10","4","2","23","3","20","8","3","4","2","0.98","1.0","1.0","0.0","0.0","2.2825"
"240.json","18","95.0","14","4","10","8","4","22","4","18","12","4","4","4","0.98","1.0","1.0","0.0","0.0","2.2854"
"241.json","18","95.0","22","7","15","16","7","36","8","28","29","8","3","5","0.81","0.98","1.0","1.0","0.0","3.217843772465765"
"242.json","18","95.0","22","7","15","16","7","36","8","28","29","8","3","5","0.81","0.98","1.0","1.0","0.0","3.21205708"
"243.json","18","95.0","27","10","17","24","10","46","12","34","46","12","2","6","0.77","0.97","1.0","1.0","1.0","3.2612"
"244.json","18","95.0","22","7","15","16","7","36","8","28","29","8","3","5","0.81","0.98","1.0","1.0","1.0","3.2124"
"245.json","18","95.0","24","8","16","20","8","40","10","30","38","10","3","6","0.77","0.97","1.0","1.0","0.0","3.264"
"246.json","18","95.0","28","10","18","24","10","48","12","36","46","12","2","6","0.73","0.96","1.0","1.0","1.0","3.3160609092229936"
"247.json","18","95.0","29","11","18","28","11","50","14","36","55","14","2","7","0.73","0.96","1.0","1.0","1.0","3.316462492778529"
"248.json","18","95.0","22","7","15","16","7","36","8","28","29","8","3","5","0.81","0.98","1.0","1.0","1.0","3.2116"
"249.json","18","95.0","28","10","18","24","10","48","12","36","46","12","2","6","0.73","0.96","1.0","1.0","1.0","3.31305224"
"25.json","18","95.0","18","4","14","9","4","35","6","29","19","6","3","3","0.86","0.98","1.0","1.0","0.0","3.156"
"250.json","18","95.0","24","8","16","20","8","40","10","30","38","10","3","6","0.77","0.97","1.0","1.0","0.0","3.2622"
"251.json","18","95.0","29","11","18","28","11","50","14","36","55","14","2","7","0.72","0.96","1.0","1.0","1.0","3.3219979500776753"
"252.json","18","95.0","27","10","17","24","10","46","12","34","46","12","2","6","0.77","0.98","1.0","1.0","0.0","3.2536"
