"name","complexity","blocking","delay","between","free","timeComp1","timeComp2","edges","gradRate3","gradRate4","gradRate5","gradRate6","gradRate7","averageTTD","inverseComplexity","inverseDelay","inverseBlocking","centrality"
"0.json",6,0,6,0.0,6,12,18,0,0.1556,0.4001,0.6301,0.79,0.8874,5.2334,6,6,0,"0.0"
"1.json",9,1,8,0.0,5,19,21,1,0.1223,0.3426,0.567,0.7314,0.8433,5.5777,9,8,1,"2.0"
"10.json",11,2,9,0.0,5,23,23,2,0.0911,0.2961,0.5117,0.6929,0.8192,5.8313,12,10,2,"4.0"
"100.json",18,4,14,1.0,3,32,30,3,0.0591,0.2044,0.4003,0.572,0.7113,6.5156,18,14,4,"9.0"
"101.json",22,6,16,2.0,3,38,34,4,0.0321,0.133,0.2967,0.4753,0.6338,7.0701,24,18,6,"14.0"
"102.json",24,6,18,2.0,2,44,36,4,0.0132,0.0972,0.2527,0.4336,0.5971,7.3095,24,18,6,"14.0"
"103.json",26,8,18,3.0,2,47,38,5,0.0152,0.0878,0.2274,0.3959,0.5678,7.5033,26,18,8,"19.0"
"104.json",18,4,14,1.0,3,32,30,3,0.0568,0.2089,0.3952,0.5708,0.7151,6.5046,18,14,4,"9.0"
"105.json",24,6,18,2.0,2,44,36,4,0.015,0.0987,0.2464,0.4264,0.5902,7.3222,24,18,6,"14.0"
"106.json",22,6,16,2.0,3,38,34,4,0.0274,0.1369,0.3025,0.4767,0.6358,7.0739,24,18,6,"14.0"
"107.json",26,8,18,3.0,2,47,38,5,0.0157,0.0943,0.2335,0.4133,0.5723,7.4852,26,18,8,"19.0"
"108.json",22,6,16,2.0,2,41,34,4,0.0295,0.1411,0.3079,0.4935,0.6482,6.98623222,20,14,6,"14.0"
"109.json",26,8,18,3.0,2,47,38,5,0.012,0.0874,0.2278,0.396,0.5518,7.5693,26,18,8,"19.0"
"11.json",13,3,10,0.0,4,28,25,3,0.0761,0.2526,0.4669,0.644,0.7818,6.0684,13,10,3,"6.0"
"110.json",26,8,18,3.0,2,47,38,5,0.0161,0.0936,0.2235,0.4033,0.5712,7.4825,26,18,8,"19.0"
"111.json",28,10,18,4.0,2,50,40,6,0.0149,0.0793,0.2064,0.3696,0.529,7.7123,28,18,10,"24.0"
"112.json",13,3,10,0.0,4,21,25,3,0.1378,0.3386,0.5496,0.7221,0.8348,5.6185,13,10,3,"6.0"
"113.json",21,6,15,2.0,3,35,33,4,0.0407,0.1613,0.3314,0.5046,0.6601,6.88794825,22,16,6,"14.0"
"114.json",21,6,15,2.0,3,35,33,4,0.0423,0.1616,0.3299,0.5013,0.6533,6.9132,22,16,6,"14.0"
"115.json",26,9,17,4.0,2,45,38,5,0.0237,0.1057,0.2498,0.411,0.5716,7.4701,25,16,9,"22.0"
"116.json",19,5,14,1.0,3,33,31,4,0.0585,0.2049,0.3956,0.5717,0.713,6.5187,19,14,5,"11.0"
"117.json",23,7,16,2.0,3,39,35,5,0.0272,0.1295,0.2796,0.4498,0.6069,7.2263,25,18,7,"17.0"
"118.json",26,8,18,3.0,2,46,38,5,0.0182,0.0928,0.2351,0.4069,0.5766,7.4428,26,18,8,"19.0"
"119.json",28,10,18,4.0,2,49,40,6,0.0149,0.0799,0.2099,0.3671,0.5297,7.74935187,28,18,10,"25.0"
"12.json",11,2,9,0.0,4,24,23,2,0.109,0.3153,0.5325,0.7014,0.8233,5.7328,10,8,2,"4.0"
"120.json",19,5,14,1.0,3,33,31,4,0.0526,0.1946,0.3754,0.558,0.7119,6.5582,19,14,5,"11.0"
"121.json",26,8,18,3.0,2,46,38,5,0.0163,0.0878,0.2298,0.396,0.5601,7.530574935187,26,18,8,"19.0"
"122.json",23,7,16,2.0,3,39,35,5,0.0271,0.1215,0.2784,0.4465,0.6039,7.245922630000001,25,18,7,"17.0"
"123.json",28,10,18,4.0,2,49,40,6,0.0152,0.0779,0.2043,0.3669,0.5283,7.7478,28,18,10,"25.0"
"124.json",23,7,16,2.0,2,42,35,5,0.0316,0.1433,0.3014,0.4835,0.6387,7.042153057493518,21,14,7,"16.0"
"125.json",27,9,18,3.0,2,48,39,6,0.0147,0.0826,0.2153,0.3796,0.5453,7.6398,27,18,9,"22.0"
"126.json",27,9,18,3.0,2,48,39,6,0.0162,0.0849,0.22,0.3914,0.5501,7.603,27,18,9,"22.0"
"127.json",29,11,18,4.0,2,51,41,7,0.016,0.0765,0.1992,0.3562,0.5143,7.83650421530575,29,18,11,"28.0"
"128.json",9,1,8,0.0,5,16,21,1,0.1483,0.3834,0.5996,0.7685,0.8682,5.3726,9,8,1,"2.0"
"129.json",12,2,10,0.0,4,23,24,2,0.1338,0.351,0.5705,0.7335,0.8485,5.5315,12,10,2,"4.0"
"13.json",13,3,10,0.0,4,28,25,3,0.0746,0.2543,0.4634,0.645,0.7781,6.104588794825,13,10,3,"6.0"
"130.json",12,2,10,0.0,4,23,24,2,0.1351,0.3486,0.5686,0.7343,0.8436,5.5523,12,10,2,"4.0"
"131.json",14,3,11,0.0,3,28,26,3,0.1265,0.3307,0.539,0.7064,0.8278,5.6812,13,10,3,"6.0"
"132.json",15,3,12,1.0,4,28,27,2,0.0694,0.2328,0.4312,0.611,0.7438,6.30958365042153,15,12,3,"7.0"
"133.json",17,4,13,1.0,4,32,29,3,0.0621,0.2135,0.4065,0.5885,0.7294,6.4301,18,14,4,"9.0"
"134.json",18,4,14,1.0,3,35,30,3,0.0523,0.1981,0.3879,0.5662,0.7173,6.519,18,14,4,"9.0"
"135.json",19,5,14,1.0,3,37,31,4,0.052,0.1914,0.3763,0.5554,0.7051,6.596130958365042,19,14,5,"11.0"
"136.json",15,3,12,1.0,4,28,27,2,0.0648,0.2286,0.4321,0.6087,0.7431,6.3243,15,12,3,"7.0"
"137.json",18,4,14,1.0,3,35,30,3,0.054,0.2044,0.3995,0.5808,0.7253,6.4612,18,14,4,"9.0"
"138.json",17,4,13,1.0,4,32,29,3,0.0556,0.2045,0.4068,0.5848,0.7244,6.463559613095836,18,14,4,"9.0"
"139.json",19,5,14,1.0,3,37,31,4,0.0546,0.196,0.3849,0.5672,0.7167,6.5234,19,14,5,"11.0"
"14.json",13,3,10,0.0,4,28,25,3,0.0805,0.2556,0.4656,0.6487,0.7862,6.0547,13,10,3,"6.0"
"140.json",19,5,14,2.0,3,37,31,3,0.0483,0.1808,0.3542,0.5319,0.6766,6.7801104588794825,17,12,5,"12.0"
"141.json",21,6,15,2.0,3,41,33,4,0.0444,0.1622,0.3346,0.5,0.6602,6.8926,20,14,6,"14.0"
"142.json",21,6,15,2.0,3,41,33,4,0.0387,0.1609,0.3282,0.507,0.6571,6.9052,20,14,6,"14.0"
"143.json",22,7,15,2.0,3,43,34,5,0.0392,0.1554,0.3281,0.5088,0.658,6.91224635596131,21,14,7,"16.0"
"144.json",12,2,10,0.0,4,20,24,2,0.134,0.3565,0.5709,0.7387,0.8463,5.5335,12,10,2,"4.0"
"145.json",18,4,14,1.0,3,32,30,3,0.0571,0.203,0.3889,0.5729,0.7202,6.4853,18,14,4,"9.0"
"146.json",18,4,14,1.0,3,32,30,3,0.0569,0.2027,0.3965,0.5797,0.7229,6.489191224635596,18,14,4,"9.0"
"147.json",22,6,16,2.0,2,41,34,4,0.0324,0.1453,0.3058,0.4892,0.645,7.0104,20,14,6,"14.0"
"148.json",18,4,14,1.0,3,32,30,3,0.0555,0.1988,0.3967,0.5753,0.7195,6.4914,18,14,4,"9.0"
"149.json",22,6,16,2.0,3,38,34,4,0.0287,0.1399,0.3024,0.4771,0.6338,7.058148919122464,24,18,6,"14.0"
"15.json",14,4,10,0.0,4,30,26,4,0.0638,0.2381,0.446,0.6232,0.7571,6.22005234,14,10,4,"8.0"
"150.json",24,6,18,2.0,2,44,36,4,0.0154,0.0976,0.2448,0.4232,0.5929,7.3457,24,18,6,"14.0"
