"combinations","r2"
"complexity","0.4732892829542146"
"blocking","0.4321184848448312"
"delay","0.4906452248401052"
"inverseBlocking","0.4321184848448312"
"inverseDelay","0.523138471034448"
"centrality","0.3266830658480646"
"creditHours","0.8696451601438844"
"free","0.04866371029446659"
"timeComp1","0.7171864157680311"
"timeComp2","0.7179047659477066"
"complexity,blocking","0.4944644152682771"
"complexity,delay","0.4944644152682772"
"complexity,inverseBlocking","0.4944644152682771"
"complexity,inverseDelay","0.5296679162032161"
"complexity,centrality","0.4945496936470969"
"complexity,creditHours","0.9001599449766093"
"complexity,free","0.4960618012160798"
"complexity,timeComp1","0.7914195233805076"
"complexity,timeComp2","0.7858329986764925"
"blocking,delay","0.4944644152682771"
"blocking,inverseDelay","0.530541800112297"
"blocking,centrality","0.47161449036568037"
"blocking,creditHours","0.9061176618365436"
"blocking,free","0.4605659208284236"
"blocking,timeComp1","0.7784661394264185"
"blocking,timeComp2","0.7586698334429511"
"delay,inverseBlocking","0.4944644152682771"
"delay,inverseDelay","0.5257497282621484"
"delay,centrality","0.4961708340926977"
"delay,creditHours","0.89433368351135"
"delay,free","0.5056587038418259"
"delay,timeComp1","0.7877947126394034"
"delay,timeComp2","0.8080334250705419"
"inverseBlocking,inverseDelay","0.530541800112297"
"inverseBlocking,centrality","0.47161449036568037"
"inverseBlocking,creditHours","0.9061176618365436"
"inverseBlocking,free","0.4605659208284236"
"inverseBlocking,timeComp1","0.7784661394264185"
"inverseBlocking,timeComp2","0.7586698334429511"
"inverseDelay,centrality","0.5317902445505698"
"inverseDelay,creditHours","0.8952584986609078"
"inverseDelay,free","0.5398566151772028"
"inverseDelay,timeComp1","0.7656389178954761"
"inverseDelay,timeComp2","0.7758464625540933"
"centrality,creditHours","0.9159682731370049"
"centrality,free","0.338718270003491"
"centrality,timeComp1","0.7532983982211852"
"centrality,timeComp2","0.7340459029769715"
"creditHours,free","0.8825089382167806"
"creditHours,timeComp1","0.8950332102473361"
"creditHours,timeComp2","0.8890372029112632"
"free,timeComp1","0.7474686789257601"
"free,timeComp2","0.7229897490572645"
"timeComp1,timeComp2","0.7253877412365155"
"complexity,blocking,delay","0.4944644152682772"
"complexity,blocking,inverseDelay","0.5305781135876149"
"complexity,blocking,centrality","0.49630956337571364"
"complexity,blocking,creditHours","0.9126463456586607"
"complexity,blocking,free","0.5058218006361296"
"complexity,blocking,timeComp1","0.7920619998530055"
"complexity,blocking,timeComp2","0.814352086822359"
"complexity,delay,inverseBlocking","0.4944644152682772"
"complexity,delay,inverseDelay","0.5305781135876149"
"complexity,delay,centrality","0.49630956337571364"
"complexity,delay,creditHours","0.9126463456586607"
"complexity,delay,free","0.5058218006361297"
"complexity,delay,timeComp1","0.7920619998530054"
"complexity,inverseBlocking,inverseDelay","0.5305781135876149"
