"combinations","n","pMax","pAvg","r2","rse1","rse2"
"complexity","1","8.03280990829746e-10","4.01640495414873e-10","0.45076037464499763","1.4362943842195885","1.4521655222037146"
"blocking","1","4.3724608079166714e-8","2.1862304039583357e-8","0.3945520385492509","1.5079986124861393","1.524662086437994"
"delay","1","6.223121318262153e-11","3.1115606591310767e-11","0.48168475548571477","1.3952740673566815","1.4106919284107877"
"inverseBlocking","1","4.3724608079166714e-8","2.1862304039583357e-8","0.3945520385492509","1.5079986124861393","1.524662086437994"
"inverseDelay","1","1.1325837892557583e-12","5.662918946278791e-13","0.5238083844441761","1.3373756250452824","1.352153704883862"
"centrality","1","4.8886713895476614e-5","2.4443356947738307e-5","0.2638916445209323","1.6627746890417328","1.6811484478033343"
"creditHours","1","0.03513457945379873","0.017567289726899363","0.9626698525204379","0.37444874914452436","0.3785864299925111"
"free","1","0.20340212396827909","0.10170106198413954","0.03397421017541058","1.9048329359782334","1.9258814526999957"
"timeComp1","1","6.7038502483387415e-31","3.3519251241693708e-31","0.7438664713802385","0.9808345321421927","0.99167281179451"
"timeComp2","1","1.1162201214425279e-32","5.5811006072126394e-33","0.7549622788784494","0.9593542497291416","0.9699551709890143"
"complexity,blocking","2","0.02931860090795557","0.01034205119873368","0.5031884329486884","1.3811188084647412","1.396725166068488"
"complexity,delay","2","0.16282935182803107","0.06404931757865633","0.5031884329486884","1.3811188084647412","1.396725166068488"
"complexity,inverseBlocking","2","0.02931860090795557","0.01034205119873368","0.5031884329486884","1.3811188084647412","1.396725166068488"
"complexity,inverseDelay","2","0.11352742750280598","0.03842683991006152","0.5489130557197124","1.3160285744307039","1.3308994258183158"
"complexity,centrality","2","0.015228566503148591","0.005076674439570333","0.5143276579652096","1.36554770376455","1.3809781110975836"
"complexity,creditHours","2","4.245621481460728e-5","1.4202610981562392e-5","0.9768514756779356","0.2981239354692961","0.3014926744355998"
"complexity,free","2","0.0869179490408756","0.028972725506046116","0.48434174384142215","1.4070715372344913","1.422971155319155"
"complexity,timeComp1","2","2.305042771396016e-11","7.683475904653386e-12","0.8714945931193624","0.7024184182771108","0.7103556014911142"
"complexity,timeComp2","2","1.953325718442512e-12","6.511085728141707e-13","0.8833527584130437","0.6692254168651242","0.676787526011059"
"blocking,delay","2","0.16282935182803604","0.05484563483876013","0.5031884329486884","1.3811188084647414","1.396725166068488"
"blocking,inverseDelay","2","0.07257283351351103","0.02420883678140119","0.555642622953996","1.3061750612517462","1.320934569973266"
"blocking,centrality","2","0.004746966376311174","0.001585845579518373","0.4856822921603653","1.4052413765912561","1.421120314238223"
"blocking,creditHours","2","1.2309765451442333e-5","4.105907016305028e-6","0.9785420376757663","0.2870314133461369","0.29027480910089326"
"blocking,free","2","0.08612204125821196","0.028707376428587863","0.431746221598992","1.4770879537512005","1.4937787428977567"
"blocking,timeComp1","2","2.1217729943823078e-10","7.072576647941027e-11","0.8649578265649698","0.7200620122748282","0.7281985644610418"
"blocking,timeComp2","2","1.2660389263547992e-7","4.2201297545159974e-8","0.8487783119996466","0.7619776465606671","0.7705878367669"
"delay,inverseBlocking","2","0.16282935182803504","0.05484563483875979","0.5031884329486883","1.3811188084647414","1.3967251660684883"
"delay,inverseDelay","2","0.3918539546637465","0.14022254262658096","0.5314425521033932","1.3412712419705668","1.3564273302936871"
"delay,centrality","2","0.08355955999958753","0.027853683246063715","0.5140214454347147","1.365978119389192","1.381413390329987"
"delay,creditHours","2","0.00015373648946667427","5.217003344841134e-5","0.9749152040373997","0.3103419443180019","0.31384874426365805"
"delay,free","2","0.1257520466965735","0.04191743156887304","0.5073483580858462","1.3753244302181535","1.3908653125431238"
"delay,timeComp1","2","1.638164363728453e-8","5.460547879094844e-9","0.8500821038519111","0.7586857547799957","0.7672587472882412"
"delay,timeComp2","2","5.321383572734565e-16","1.773794524244855e-16","0.9003674127410513","0.6184945745979431","0.625483435692292"
"inverseBlocking,inverseDelay","2","0.07257283351351103","0.02420883678140119","0.555642622953996","1.3061750612517462","1.320934569973266"
"inverseBlocking,centrality","2","0.004746966376311174","0.001585845579518373","0.4856822921603653","1.4052413765912561","1.421120314238223"
"inverseBlocking,creditHours","2","1.2309765451442333e-5","4.105907016305028e-6","0.9785420376757663","0.2870314133461369","0.29027480910089326"
"inverseBlocking,free","2","0.08612204125821196","0.028707376428587863","0.431746221598992","1.4770879537512005","1.4937787428977567"
"inverseBlocking,timeComp1","2","2.1217729943823078e-10","7.072576647941027e-11","0.8649578265649698","0.7200620122748282","0.7281985644610418"
"inverseBlocking,timeComp2","2","1.2660389263547992e-7","4.2201297545159974e-8","0.8487783119996466","0.7619776465606671","0.7705878367669"
"inverseDelay,centrality","2","0.03597251951923947","0.011990846980261665","0.566208223038507","1.2905530093573043","1.3051359921153265"
"inverseDelay,creditHours","2","4.24482385746729e-5","1.4189398040518786e-5","0.9769951398523808","0.29719738853565364","0.3005556577127586"
"inverseDelay,free","2","0.08721779459407383","0.029072827111938662","0.5528716241462892","1.3102413653327045","1.32504682245144"
"inverseDelay,timeComp1","2","4.7578329931065776e-5","1.5859443310381834e-5","0.8127138516030631","0.8479847058152508","0.8575667580473623"
"inverseDelay,timeComp2","2","2.3305359964412977e-7","7.768453321471001e-8","0.8462910421258919","0.7682185315218321","0.7768992424405994"
"centrality,creditHours","2","4.817743688527919e-5","1.6059380207699803e-5","0.9797632636363565","0.2787439353672925","0.2818936843306371"
"centrality,free","2","0.36314127294819976","0.12108035441372011","0.27717556107944774","1.6659102646617472","1.6847347069665797"
"centrality,timeComp1","2","2.1820864284626505e-7","7.273621428208835e-8","0.8396151472804436","0.7847238731904485","0.7935910910649344"
"centrality,timeComp2","2","0.00014642875260256855","4.880958420085618e-5","0.8144202943937638","0.844112693271838","0.8536509925610251"
"creditHours,timeComp2","2","8.897306272516313e-6","5.4226165085200254e-6","0.9740501196426015","0.31564787519696236","0.31921463106690995"
"free,timeComp1","2","0.0010409440689976056","0.00034698135633255575","0.7932676277119068","0.8909214893321762","0.90098871835995"
"free,timeComp2","2","0.1006524670629276","0.0335508223579517","0.7688089506043267","0.9421514012978461","0.9527975177618381"
"timeComp1,timeComp2","2","0.41415432230696064","0.17078078271281752","0.7585404061816613","0.962847313803534","0.9737272898091672"
"complexity,blocking,delay","3","0.9999999105148801","0.749999669227185","0.5031884329486884","1.396725166068488","1.412872814263738"
"complexity,blocking,inverseDelay","3","0.9246494036242958","0.3395866393826714","0.5557329419021044","1.3208003182537174","1.3360701933826726"
"complexity,blocking,centrality","3","0.7722110805974932","0.2922419692738415","0.5152508950480816","1.3796649040426545","1.3956153172227386"
"complexity,blocking,creditHours","3","0.15948451499162436","0.04435958423535722","0.979465665950315","0.28395885760749584","0.28724172802893855"
"complexity,blocking,free","3","0.2955208904847394","0.098849903113755","0.5152444994950032","1.3796740053395216","1.3956245237404061"
"complexity,blocking,timeComp1","3","0.5095225384137401","0.1525409267743028","0.8727527432308708","0.7068696302291113","0.7150418049605047"
"complexity,blocking,timeComp2","3","0.005821680353378655","0.0014558466280760604","0.9005423918992471","0.6249339434828464","0.6321588533719091"
"complexity,delay,inverseBlocking","3","0.9999998901679965","0.7499996539670223","0.5031884329486884","1.396725166068488","1.412872814263738"
"complexity,delay,inverseDelay","3","0.41116196457505033","0.13864762838669084","0.5557329419021043","1.3208003182537176","1.3360701933826729"
"complexity,delay,centrality","3","0.7722110805974605","0.45148393831807365","0.5152508950480816","1.3796649040426545","1.3956153172227388"
"complexity,delay,creditHours","3","0.017944458593864523","0.004936636794051972","0.979465665950315","0.2839588576074959","0.28724172802893866"
"complexity,delay,free","3","0.3972244616124088","0.19667965002514365","0.515244499495003","1.3796740053395218","1.3956245237404064"
"complexity,delay,timeComp1","3","0.5095225384137331","0.12865881286491868","0.8727527432308708","0.7068696302291112","0.7150418049605045"
"complexity,delay,timeComp2","3","0.7808375091319095","0.19666479737132173","0.9005423918992471","0.6249339434828465","0.6321588533719094"
"complexity,inverseBlocking,inverseDelay","3","0.9246494036242958","0.3395866393826714","0.5557329419021044","1.3208003182537174","1.3360701933826726"
"complexity,inverseBlocking,centrality","3","0.7722110805974932","0.2922419692738415","0.5152508950480816","1.3796649040426545","1.3956153172227386"
"complexity,inverseBlocking,creditHours","3","0.15948451499162436","0.04435958423535722","0.979465665950315","0.28395885760749584","0.28724172802893855"
"complexity,inverseBlocking,free","3","0.2955208904847394","0.098849903113755","0.5152444994950032","1.3796740053395216","1.3956245237404061"
"complexity,inverseBlocking,timeComp1","3","0.5095225384137401","0.1525409267743028","0.8727527432308708","0.7068696302291113","0.7150418049605047"
"complexity,inverseBlocking,timeComp2","3","0.005821680353378655","0.0014558466280760604","0.9005423918992471","0.6249339434828464","0.6321588533719091"
"complexity,inverseDelay,centrality","3","0.857366929159194","0.2649746002079936","0.5665264495591895","1.3046571851088644","1.3197404282209242"
"complexity,inverseDelay,creditHours","3","0.5493024272195799","0.24366476395507095","0.9771810974817849","0.29933843616238964","0.30279911108677166"
"complexity,inverseDelay,free","3","0.25445752957538836","0.11271973817176205","0.5656903074079509","1.305914878124415","1.3210126615231725"
"complexity,inverseDelay,timeComp1","3","0.4128816100975444","0.10322149030368816","0.8734234124426445","0.7050043561670805","0.7131549663200778"
"complexity,inverseDelay,timeComp2","3","0.7039784635577558","0.17603636619518298","0.8837342321213834","0.6756799641448055","0.6834915527226075"
"complexity,centrality,creditHours","3","0.9242738517405283","0.23404798479373198","0.9797674181230874","0.2818647472613762","0.2851234075103579"
"complexity,centrality,free","3","0.21415685042717325","0.06276473091278012","0.5307833088740184","1.3573812167664832","1.3730740065061298"
"complexity,centrality,timeComp1","3","0.2798182678823429","0.07006345318963444","0.874817539655399","0.701111112045434","0.7092167121005667"
"complexity,creditHours,free","3","0.7581725943940917","0.189732042777821","0.9769012382561","0.30116843941538235","0.304650271149596"
"complexity,creditHours,timeComp2","3","0.15544221108354905","0.07197804815056583","0.9780115947449617","0.2938407170950595","0.2972378324620338"
"complexity,free,timeComp1","3","0.015008363346282675","0.0037520912592057926","0.886723773092624","0.6669365156925907","0.6746470205833156"
"complexity,free,timeComp2","3","0.05137697122049153","0.012844242805387849","0.892616852656663","0.6493564718079771","0.6568637324450707"
"complexity,timeComp1,timeComp2","3","7.43870610056801e-5","1.936741952976836e-5","0.9140228622518162","0.5810407615940513","0.5877582189960185"
"blocking,delay,inverseDelay","3","0.9246494036243438","0.2670194881490072","0.5557329419021043","1.3208003182537176","1.3360701933826729"
"blocking,delay,centrality","3","0.7383350256356581","0.28377295553337983","0.5152508950480816","1.3796649040426545","1.3956153172227386"
"blocking,delay,creditHours","3","0.15948451499151567","0.04032165089346493","0.979465665950315","0.28395885760749573","0.28724172802893844"
"blocking,delay,free","3","0.39722446161242764","0.17466276557096877","0.515244499495003","1.3796740053395218","1.3956245237404064"
"blocking,delay,timeComp1","3","0.1006411686834765","0.02643847043235488","0.8727527432308708","0.7068696302291111","0.7150418049605045"
"blocking,delay,timeComp2","3","0.7808375091319779","0.19520980382272587","0.9005423918992472","0.6249339434828461","0.632158853371909"
"blocking,inverseDelay,centrality","3","0.9516316908614153","0.31390076929643645","0.5662444946227986","1.3050814263740218","1.320169574172319"
"blocking,inverseDelay,creditHours","3","0.7908096268594722","0.21559051578550195","0.9785762973690748","0.2900429907580421","0.2933962003156834"
