"combinations","n","pMax","pAvg","r2","rse1","rse2"
"complexity","1","4.244646523225243e-6","2.1223232616126216e-6","0.37009051115166114","0.4767573411530641","0.4835201944182804"
"blocking","1","6.644998320007017e-8","3.3224991600035084e-8","0.44756093829288623","0.44647845152231","0.45281179553841605"
"delay","1","8.615599347280906e-5","4.307799673640453e-5","0.2998583632364151","0.502633310265825","0.5097632168873287"
"inverseBlocking","1","6.644998320007017e-8","3.3224991600035084e-8","0.44756093829288623","0.44647845152231","0.45281179553841605"
"centrality","1","9.059261926766821e-9","4.529630963383411e-9","0.4785127445116042","0.43379062654792805","0.43994399242599647"
"creditHours","1","0.4647457694882892","0.2323728848534198","0.5281371864161166","0.41263512152998816","0.41848839433378565"
"free","1","0.00355361838204102","0.00177680919102051","0.19099118337762522","0.5402999671183588","0.5479641792477102"
"timeComp1","1","2.629113017841138e-6","1.314556508920569e-6","0.3800565988803619","0.47297080572869926","0.47967994658878177"
"complexity,inverseBlocking","2","0.0009051505511552308","0.00031147362808840414","0.5797772126153933","0.3949256499803349","0.4006912929159265"
"complexity,centrality","2","0.3153921807848822","0.10631822266101291","0.4931105731944311","0.4337426796577095","0.44007502453568226"
"complexity,creditHours","2","0.08655168270325388","0.028850611565360475","0.7360266892551337","0.3130080822448005","0.3175777850186458"
"complexity,free","2","0.3717646987665565","0.12422923559050902","0.38412812216321657","0.4781021853736907","0.4850821485331562"
"blocking,delay","2","0.0009051505511552836","0.0003021754511851071","0.5797772126153926","0.3949256499803352","0.4006912929159267"
"blocking,centrality","2","0.9748055578492648","0.3747337670847148","0.478527605135048","0.4399377239232514","0.4463605121877377"
"blocking,creditHours","2","0.023196335495501326","0.007732111999990905","0.7758007670309593","0.2884646521629857","0.29267603773390066"
"blocking,free","2","0.6429513180561179","0.2143327366985536","0.4509322614462866","0.4514280130046661","0.4580185515889239"
"delay,inverseBlocking","2","0.0009051505511553874","0.0003021754511851417","0.5797772126153932","0.3949256499803349","0.4006912929159265"
"delay,centrality","2","0.1504379504692722","0.05018653798555702","0.5076035879374821","0.42749691189569733","0.43373807285898586"
"delay,creditHours","2","0.18433862641429444","0.06144879492887517","0.6997046091029607","0.33384884283006605","0.33872280637817803"
"delay,free","2","0.20456297999825096","0.07048356864499358","0.33063927475227595","0.4984316998243151","0.5057084599160185"
"inverseBlocking,centrality","2","0.9748055578492648","0.3747337670847148","0.478527605135048","0.4399377239232514","0.4463605121877377"
"inverseBlocking,creditHours","2","0.023196335495501326","0.007732111999990905","0.7758007670309593","0.2884646521629857","0.29267603773390066"
"inverseBlocking,free","2","0.6429513180561179","0.2143327366985536","0.4509322614462866","0.4514280130046661","0.4580185515889239"
"inverseBlocking,timeComp1","2","0.09252102212171931","0.032951930851822374","0.48888737027462215","0.4355458182144643","0.44190448767551277"
"centrality,creditHours","2","0.011899718313220124","0.003966572771076031","0.8268024445092832","0.2535399620945695","0.2572414712049894"
"centrality,free","2","0.5455086355853447","0.18183898340166516","0.4839011853773766","0.4376651564703891","0.4440547668126996"
"centrality,timeComp1","2","0.31515564493659604","0.10678631559670905","0.4931244503374296","0.43373674231706993","0.44006900051395187"
"creditHours,free","2","0.07777511924049901","0.028096022726538463","0.6105145348813432","0.3802079290615183","0.3857587033917209"
"creditHours,timeComp1","2","0.09224715428071677","0.030749055972087432","0.7543793138741841","0.30193121323927796","0.3063392013421888"
"free,timeComp1","2","0.6839522053044714","0.22830630420877454","0.3829779484973922","0.47854841782906216","0.485534895675543"
"complexity,inverseBlocking,centrality","3","0.9201022167399799","0.2330804853925006","0.5799015257562006","0.4006320209308892","0.406656900676417"
"complexity,inverseBlocking,creditHours","3","0.0003791656623247759","0.00015097970251240302","0.8365339929023748","0.24991011416134748","0.2536683718800259"
"complexity,inverseBlocking,free","3","0.9828968912590921","0.24605228050643926","0.5797828923929622","0.4006885850129092","0.40671431539386876"
"complexity,centrality,creditHours","3","0.016281141921937994","0.005352966292611944","0.851939069623713","0.23784298277554675","0.2414197696889111"
"complexity,centrality,free","3","0.4358222333137026","0.17665446547635927","0.5020050217289335","0.4361969126520668","0.44275663281121136"
"complexity,creditHours,free","3","0.5565132041883997","0.15727940457566664","0.7386842507889506","0.3159751277836365","0.3207269001034097"
"blocking,delay,centrality","3","0.9201022167399817","0.2349615453760646","0.5799015257562004","0.4006320209308893","0.40665690067641713"
