"combinations","n","pMax","pAvg","r2","rse1","rse2"
"complexity","1","0.07825931898986482","0.03912965949493241","0.38276831014830826","0.14340523801996147","0.1603319302710856"
"blocking","1","0.014476293797296041","0.007238146898648021","0.5445897392313399","0.12318059928109952","0.13772009675085012"
"delay","1","0.21765781060164457","0.10882890530082229","0.23309905487248483","0.1598492280952701","0.1787168700859466"
"inverseBlocking","1","0.014476293797296041","0.007238146898648021","0.5445897392313399","0.12318059928109952","0.13772009675085012"
"inverseDelay","1","0.10943298882552494","0.05471649441276247","0.33883341401928824","0.14842134247399394","0.16594010554181363"
"centrality","1","0.06237004484629128","0.03118502242314564","0.40990509060752134","0.1402173777518673","0.15676779413997097"
"creditHours","1","0.9999999971213803","0.9999990571108843","-2.220446049250313e-16","0.18253279627038416","0.2040778702918495"
"free","1","0.00010434576492050257","5.2172882460251283e-5","0.7507030342082771","0.09113798099007507","0.10189536041294572"
"timeComp1","1","0.01500910624639052","0.00750455312319526","0.541931526607093","0.12353957647988432","0.13812144546027777"
"timeComp2","1","0.3134664165132538","0.1567332082566269","0.16888488528572065","0.1664069639833148","0.18604864169802554"
"complexity,blocking","2","0.00030358616826803373","0.00010531751934939224","0.8931472103554279","0.06670967823494364","0.07702970137299606"
"complexity,delay","2","1.2366389780154886e-5","4.3444058462626544e-6","0.8931472103554262","0.06670967823494414","0.07702970137299663"
"complexity,inverseBlocking","2","0.00030358616826803373","0.00010531751934939224","0.8931472103554279","0.06670967823494364","0.07702970137299606"
"complexity,inverseDelay","2","0.09207888523881956","0.05344654346641652","0.6389216523215513","0.12262997413040194","0.1416008971498088"
"complexity,centrality","2","0.19428001966289268","0.11908908349339677","0.5847954140708034","0.13150037286438154","0.1518435513435737"
"complexity,creditHours","2","0.9999999967227832","0.7050866521875703","0.38276831014830826","0.1603319302710856","0.18513536620340715"
"complexity,free","2","2.756010941541171e-14","9.186703138470571e-15","0.9838906869042557","0.02590206713249088","0.029909130863022736"
"complexity,timeComp1","2","0.01349464068298011","0.005142033768758111","0.8186420657728792","0.0869088880827504","0.100353739859094"
"complexity,timeComp2","2","0.0003131296332090826","0.00010902248899216562","0.8546850341654526","0.07779489258684724","0.08982980435318855"
"blocking,delay","2","0.0003035861682681389","0.00010141766534225721","0.8931472103554253","0.06670967823494445","0.07702970137299699"
"blocking,inverseDelay","2","6.259317914730188e-14","2.0864414004727763e-14","0.969784400091043","0.03547411128197531","0.040961975395822366"
"blocking,centrality","2","0.00031873649032480855","0.00011371867686689893","0.8925725830536086","0.06688881162059974","0.07723654678985485"
"blocking,creditHours","2","1.0","0.6762449127657574","0.5445897392313399","0.13772009675085012","0.15902546986384924"
"blocking,free","2","1.0877853926126365e-10","3.625951325573871e-11","0.9781591177581267","0.03015997672765881","0.03482574136493333"
"blocking,timeComp2","2","0.00027341125788779786","9.119025550170799e-5","0.8943626612692189","0.0663291816731072","0.07659034178819206"
"delay,inverseBlocking","2","0.00030358616826809185","0.00010141766534224145","0.8931472103554274","0.06670967823494378","0.07702970137299622"
"delay,inverseDelay","2","0.07309186115154745","0.036588075129048596","0.6333057561487658","0.12357993424292084","0.14269781660317318"
"delay,creditHours","2","1.0","0.7567283723731942","0.23309905487248483","0.1787168700859466","0.20636446610569728"
"delay,free","2","8.142759344641145e-19","2.714253114880382e-19","0.9879077466706145","0.022441378563208082","0.025913071908908968"
"delay,timeComp1","2","0.00022724418828858495","7.589928960591336e-5","0.8958416513225786","0.06586321957880008","0.0760522951070313"
"delay,timeComp2","2","0.1351478628127758","0.07738237734933483","0.5077936680587147","0.1431757647822903","0.1653251326769717"
"inverseBlocking,inverseDelay","2","6.259317914730188e-14","2.0864414004727763e-14","0.969784400091043","0.03547411128197531","0.040961975395822366"
"inverseBlocking,centrality","2","0.00031873649032480855","0.00011371867686689893","0.8925725830536086","0.06688881162059974","0.07723654678985485"
"inverseBlocking,creditHours","2","1.0","0.6762449127657574","0.5445897392313399","0.13772009675085012","0.15902546986384924"
"inverseBlocking,free","2","1.0877853926126365e-10","3.625951325573871e-11","0.9781591177581267","0.03015997672765881","0.03482574136493333"
"inverseBlocking,timeComp2","2","0.00027341125788779786","9.119025550170799e-5","0.8943626612692189","0.0663291816731072","0.07659034178819206"
"inverseDelay,centrality","2","0.00016956374026478728","7.429273569949658e-5","0.8698904223744323","0.07361232704582088","0.0850001936711589"
"inverseDelay,creditHours","2","0.9999999968335412","0.7174043123514026","0.33883341401928935","0.1659401055418135","0.19161112920784187"
"inverseDelay,timeComp1","2","0.011350133042684446","0.0040830016376066074","0.8239832618161052","0.08561954149197164","0.09886493065656432"
"centrality,creditHours","2","0.9999999995810344","0.6985104141672515","0.40990509060752134","0.15676779413997097","0.18101985629395215"
"centrality,free","2","2.2143335793648757e-13","7.381111931216252e-14","0.9827490414120609","0.026804180248072216","0.03095080136326349"
"centrality,timeComp1","2","0.10363320591342892","0.04542134515220008","0.7244171140867336","0.10713269630183445","0.12370618209774908"
"centrality,timeComp2","2","0.0007797132027996486","0.00026931374306045244","0.8456149472662311","0.08018599796999615","0.09259081502643213"
"creditHours,free","2","0.9999998682389355","0.6668385480804665","0.7507030342082761","0.10189536041294593","0.11765862752717654"
"creditHours,timeComp1","2","0.999999908843953","0.6765327903851069","0.5419315266070956","0.13812144546027738","0.1594889074347027"
"creditHours,timeComp2","2","0.9999999497123508","0.789096196904517","0.16888488528572065","0.18604864169802554","0.21483046673343856"
"free,timeComp1","2","4.0459470826073913e-13","1.3486490275856492e-13","0.9823882922349736","0.027082992451037333","0.03127274596413401"
"free,timeComp2","2","5.2051358293641816e-23","1.7350452764547272e-23","0.9901820179806431","0.020221204888303604","0.023349436171201325"
"timeComp1,timeComp2","2","1.0199557738944234e-5","3.4000268293062387e-6","0.9219434673276566","0.057016498290248296","0.06583698127224938"
"complexity,blocking,inverseDelay","3","0.24489787437410632","0.061332332168461214","0.9791720792289468","0.03400855975823158","0.04165180914730851"
"complexity,blocking,centrality","3","0.7111751418260557","0.3520930699903712","0.8978171706463515","0.07532761958934085","0.0922571157661818"
"complexity,blocking,creditHours","3","0.9999993381169198","0.5004767948717039","0.8931472103554257","0.07702970137299686","0.09434173170140354"
"complexity,blocking,free","3","0.063725086263221","0.02010501818443568","0.992492958142412","0.020417365363399984","0.025006063516152397"
"complexity,blocking,timeComp1","3","0.3897353050964869","0.11434344736602611","0.9142838819382839","0.06899164956799887","0.08449716897725235"
"complexity,blocking,timeComp2","3","0.7017038547143135","0.40490973449281514","0.8992876763997786","0.07478363821800695","0.09159087737150803"
"complexity,delay,inverseDelay","3","0.000431454297190679","0.00010786357535650256","0.9791720792289456","0.03400855975823258","0.04165180914730973"
"complexity,delay,centrality","3","0.7111751418260523","0.2463736718334369","0.8978171706463515","0.07532761958934085","0.0922571157661818"
"complexity,delay,creditHours","3","0.999998739934172","0.5000413835315165","0.8931472103554261","0.07702970137299667","0.09434173170140332"
"complexity,delay,free","3","0.1758485582565236","0.059893411204149115","0.9924929581424118","0.020417365363400226","0.025006063516152695"
"complexity,delay,timeComp1","3","0.42173900339695547","0.21969647196918252","0.9142838819382847","0.06899164956799851","0.08449716897725192"
"complexity,delay,timeComp2","3","0.6688833635013839","0.22964326648876038","0.8992876763997806","0.07478363821800622","0.09159087737150716"
"complexity,inverseBlocking,inverseDelay","3","0.24489787437410632","0.061332332168461214","0.9791720792289468","0.03400855975823158","0.04165180914730851"
"complexity,inverseBlocking,centrality","3","0.7111751418260557","0.3520930699903712","0.8978171706463515","0.07532761958934085","0.0922571157661818"
"complexity,inverseBlocking,creditHours","3","0.9999993381169198","0.5004767948717039","0.8931472103554257","0.07702970137299686","0.09434173170140354"
"complexity,inverseBlocking,free","3","0.063725086263221","0.02010501818443568","0.992492958142412","0.020417365363399984","0.025006063516152397"
"complexity,inverseBlocking,timeComp1","3","0.3897353050964869","0.11434344736602611","0.9142838819382839","0.06899164956799887","0.08449716897725235"
"complexity,inverseBlocking,timeComp2","3","0.7017038547143135","0.40490973449281514","0.8992876763997786","0.07478363821800695","0.09159087737150803"
"complexity,inverseDelay,centrality","3","0.777172458250776","0.20116104694593628","0.873273686846514","0.08388777621205042","0.10274112368815409"
"complexity,inverseDelay,creditHours","3","0.9999992435261187","0.5647346621547382","0.6389216523215521","0.14160089714980864","0.17342497256867603"
"complexity,inverseDelay,free","3","0.0009290025852465707","0.00024061655409105584","0.9965390989974671","0.013863084489246206","0.016978741629872576"
"complexity,inverseDelay,timeComp2","3","0.00028671750686936075","7.16818252714373e-5","0.9730152502345957","0.038710116584433435","0.047410016757755344"
"complexity,centrality,creditHours","3","0.9999997653710525","0.6219837217038862","0.5847954140708043","0.15184355134357352","0.1859696107619271"
"complexity,centrality,free","3","0.7883131153155438","0.34466412326201545","0.9842687261867132","0.029556106779006518","0.036198690195890414"
"complexity,centrality,timeComp1","3","0.043342726189578545","0.012239491196852756","0.9231749512073317","0.06531556742570294","0.07999490622666121"
"complexity,centrality,timeComp2","3","0.9691600248523229","0.4128131572123347","0.8547574005769848","0.08980743408292347","0.10999119430589871"
"complexity,creditHours,free","3","0.9999970199939713","0.4999969853819225","0.9838906869042556","0.029909130863022867","0.036631054632267145"
"complexity,creditHours,timeComp1","3","0.9999993148591024","0.509910980585861","0.8186420657728762","0.10035373985909483","0.12290772821739208"
"complexity,creditHours,timeComp2","3","0.9999987204052775","0.5004910811447705","0.8546850341654535","0.08982980435318826","0.11001859217967717"
"complexity,free,timeComp1","3","0.8572403886301607","0.35794205179799365","0.9840625969864731","0.029749115593425978","0.03643507675148402"
"complexity,free,timeComp2","3","0.4459720103904946","0.1339775719688421","0.9917746367341524","0.02137188484013702","0.026175106349929467"
"complexity,timeComp1,timeComp2","3","0.8125246578973727","0.2390955676909999","0.9233800846717459","0.06522830835657878","0.079888036129269"
"blocking,delay,centrality","3","0.7111751418260687","0.4194562848843414","0.897817170646352","0.07532761958934064","0.09225711576618155"
"blocking,delay,creditHours","3","0.9999991587376703","0.5004426104879931","0.893147210355426","0.07702970137299674","0.0943417317014034"
"blocking,delay,free","3","0.1758485582553478","0.04813588618249456","0.9924929581424119","0.02041736536340008","0.025006063516152515"
"blocking,delay,timeComp1","3","0.42173900339673576","0.20295030336935355","0.9142838819382831","0.06899164956799916","0.08449716897725272"
"blocking,delay,timeComp2","3","0.7017038547144006","0.3428063002285302","0.8992876763997806","0.07478363821800622","0.09159087737150715"
"blocking,inverseDelay,centrality","3","0.14306640043294788","0.03579265296951747","0.9823804220785338","0.03127973262086118","0.03830969210589991"
