"combinations","n","pMax","pAvg","r2"
"credits","1","0.45296292972969693","0.2264814650136012","0.5314022116850237"
"complexity","1","5.977501793719028e-6","2.988750896859514e-6","0.3693169928793978"
"blocking","1","9.515389944779382e-8","4.757694972389691e-8","0.44855974175162805"
"delay","1","0.0001149676512625651","5.748382563128255e-5","0.29822430190506255"
"centrality","1","9.559698268303172e-9","4.779849134151586e-9","0.4847545564381811"
"reachability","1","9.515389944779382e-8","4.757694972389691e-8","0.44855974175162805"
"term_complexity","1","3.5231111773719296e-6","1.7615555886859648e-6","0.3806213301804111"
"term_blocking","1","1.0053428159702366e-8","5.026714079851183e-9","0.48401093502848314"
"term_delay","1","8.720275591104952e-5","4.360137795552476e-5","0.3054914379707845"
"term_centrality","1","1.050397056443561e-9","5.251985282217805e-10","0.5154301333332235"
"term_reachability","1","1.0053428159702366e-8","5.026714079851183e-9","0.48401093502848314"
"free","1","0.0033491142193587276","0.0016745571096793638","0.19737276541727922"
"edges","1","6.690851990076757e-6","3.3454259950383784e-6","0.36685559576240323"
"credits,complexity","2","0.08370996078129285","0.02790339019915865","0.7385594909282637"
"credits,blocking","2","0.021812888111040683","0.007270962920523594","0.7792283455877038"
"credits,delay","2","0.17954528631665143","0.059851887446295736","0.7018702956396597"
"credits,centrality","2","0.009663200134369342","0.003221066711458125","0.8327548625289742"
"credits,reachability","2","0.021812888111040683","0.007270962920523594","0.7792283455877038"
"credits,term_complexity","2","0.08753726993098573","0.029179096599970793","0.7567857505267549"
"credits,term_blocking","2","0.01277843023317689","0.004259476744393727","0.8333016183427104"
"credits,term_delay","2","0.17195607033354135","0.057321137853666444","0.7055114559337998"
"credits,term_centrality","2","0.00393546713200086","0.00131182237733362","0.86914012775746"
"credits,term_reachability","2","0.01277843023317689","0.004259476744393727","0.8333016183427104"
"credits,free","2","0.07142702795283576","0.025833346090808493","0.6163521265554492"
"credits,edges","2","0.06586749244880723","0.022023389697986142","0.6667323827638311"
"complexity,centrality","2","0.19773830363643902","0.0665445655500926","0.5087258547491513"
"complexity,term_centrality","2","0.6232134979620015","0.2081217395616954","0.5188459980963342"
"complexity,term_reachability","2","0.5040138555335727","0.16947750021002972","0.49069887749227026"
"complexity,free","2","0.35842987818670624","0.11990989469579251","0.3845827262062106"
"complexity,edges","2","0.17256263724182586","0.10993688410014828","0.40203847995401076"
"blocking,delay","2","0.00046390361079816085","0.00015483941965858662","0.5946645724617464"
"blocking,term_delay","2","0.0038404606701087883","0.0012837860997591103","0.5573662593846029"
"blocking,term_centrality","2","0.9684686520936762","0.33291365862875777","0.515452401714846"
"blocking,term_reachability","2","0.8926934404129601","0.33918034552441273","0.48428695006216527"
