combinations,n,pMax,pAvg,r2
"centrality,delay,blocking,credits",4,0.5266985621313096,0.11409285204878317,0.872696461956877
"centrality,delay,reachability,credits",4,0.5266985621313096,0.11409285204878317,0.872696461956877
"centrality,delay,credits",3,0.0017285469393968544,0.0006436409735524045,0.871102156151441
"centrality,blocking,credits",3,0.02703470990511185,0.010659732108253467,0.8543337426190889
"centrality,reachability,credits",3,0.02703470990511185,0.010659732108253467,0.8543337426190889
"delay,blocking,credits",3,0.00013361023116109663,5.729128416154024e-5,0.8469123821963209
"delay,reachability,credits",3,0.00013361023116109663,5.729128416154024e-5,0.8469123821963209
"centrality,credits",2,0.009663200134369141,0.0032210667114580577,0.8327548625289742
"blocking,credits",2,0.021812888111041494,0.007270962920523864,0.7792283455877036
"reachability,credits",2,0.021812888111041494,0.007270962920523864,0.7792283455877036
"delay,credits",2,0.17954528631664782,0.05985188744629453,0.7018702956396601
"centrality,delay,blocking",3,0.9291590917736899,0.23772902309441848,0.5947616297865135
"centrality,delay,reachability",3,0.9291590917736899,0.23772902309441848,0.5947616297865135
"delay,blocking",2,0.00046390361079810626,0.00015483941965856838,0.5946645724617461
"delay,reachability",2,0.00046390361079810626,0.00015483941965856838,0.5946645724617461
credits,1,0.45296292972969654,0.226481465013601,0.5314022116850238
"centrality,delay",2,0.08110282294921208,0.027050898703557175,0.5270765067486567
"centrality,blocking",2,0.8126583199664886,0.3100976180980541,0.48560433905897893
"centrality,reachability",2,0.8126583199664886,0.3100976180980541,0.48560433905897893
centrality,1,9.559698268303245e-9,4.779849134151623e-9,0.4847545564381811
blocking,1,9.515389944776419e-8,4.7576949723882096e-8,0.4485597417516288
reachability,1,9.515389944776419e-8,4.7576949723882096e-8,0.4485597417516288
delay,1,0.0001149676512625651,5.748382563128255e-5,0.29822430190506255
