"combinations","coefs","n","pMax","pAvg","r2"
"credits","1.061549614297977,0.07287852716773065","1","0.45296292972969654","0.226481465013601","0.5314022116850238"
"complexity","9.346807257002581,0.0037877857840240277","1","5.977501793719028e-6","2.988750896859514e-6","0.369316992879398"
"blocking","9.46020978899312,0.009084866963467522","1","9.515389944776419e-8","4.7576949723882096e-8","0.4485597417516288"
"delay","9.297875797844032,0.006196521914782258","1","0.0001149676512625651","5.748382563128255e-5","0.29822430190506255"
"centrality","9.561441954593768,0.002398133410895225","1","9.559698268303245e-9","4.779849134151623e-9","0.4847545564381811"
"reachability","9.46020978899312,0.009084866963467522","1","9.515389944776419e-8","4.7576949723882096e-8","0.4485597417516288"
"free","10.960415359624578,-0.03752029299401367","1","0.0033491142193583213","0.0016745571096791606","0.19737276541727955"
"edges","9.217719828427054,0.03197188671484799","1","6.690851990076757e-6","3.3454259950383784e-6","0.36685559576240323"
"credits,complexity","1.873661682490051,0.062353566812057504,0.002911745523554489","2","0.0837099607812937","0.027903390199158936","0.7385594909282638"
"credits,blocking","2.306117696489134,0.05952291653328015,0.00699168397654401","2","0.021812888111063446","0.007270962920531181","0.7792283455877037"
"credits,delay","1.543364866137127,0.0647396815600672,0.004775076589312836","2","0.17954528631671648","0.05985188744631742","0.7018702956396596"
"credits,centrality","2.253297170100653,0.06046593379816938,0.0019385764860798856","2","0.00966320013437771","0.0032210667114609143","0.8327548625289743"
"credits,reachability","2.306117696489134,0.05952291653328015,0.00699168397654401","2","0.021812888111063446","0.007270962920531181","0.7792283455877037"
"credits,free","2.5326593689691093,0.06632729146821174,-0.025229702029172657","2","0.07142702795283576","0.025833346090808493","0.6163521265554492"
"credits,edges","2.310354229428258,0.058683313173952686,0.020814850670605848","2","0.06586749244885755","0.022023389698002948","0.6667323827638312"
"complexity,centrality","9.783959092040396,-0.0029597104407188316,0.003944348343097289","2","0.19773830363643952","0.06654456555009276","0.5087258547491512"
"complexity,reachability","10.179433157150884,-0.016542396637589208,0.04471108942351731","2","0.0004639036107981445","0.00015922048786035946","0.5946645724617459"
"complexity,free","9.767881126018741,0.003263152423234157,-0.012626080780941976","2","0.35842987818670685","0.11990989469579272","0.38458272620621003"
"complexity,edges","9.220712593034527,0.002102515597585458,0.01717216094924123","2","0.17256263724182636","0.10993688410014835","0.40203847995401043"
"blocking,delay","10.179433157150882,0.028168692785928044,-0.016542396637589166","2","0.0004639036107981193","0.00015483941965857277","0.5946645724617459"
"blocking,centrality","9.584958448214893,-0.0016772889765339285,0.0028120327455222727","2","0.8126583199665063","0.31009761809806174","0.48560433905897893"
"blocking,free","9.671951589030993,0.008458104836280242,-0.006658629358918816","2","0.6146129358974063","0.2048937575114735","0.45264097983311913"
"blocking,edges","9.394286056284914,0.007767433106364736,0.005956667960366548","2","0.6508996194117648","0.2241872643862531","0.4518609544958275"
"delay,centrality","9.902364370794482,-0.005574132010449801,0.003934666057534246","2","0.08110282294921274","0.027050898703557397","0.5270765067486562"
"delay,reachability","10.179433157150882,-0.01654239663758918,0.028168692785928057","2","0.00046390361079810626","0.00015483941965856838","0.5946645724617461"
"delay,free","9.915525844068894,0.004902825997445031,-0.01800647623415482","2","0.19911375027810985","0.06945800794564293","0.3306834577238138"
"delay,edges","9.174894165720517,0.0020098221771283433,0.024556069196425147","2","0.42494792294778616","0.15369155381975444","0.3784922511235671"
"centrality,reachability","9.584958448214897,0.00281203274552231,-0.0016772889765340872","2","0.8126583199664886","0.3100976180980541","0.48560433905897893"
"centrality,free","9.810006008707855,0.0022176256204187073,-0.00821108464122159","2","0.5031102639224305","0.16770650170161516","0.49146083465538604"
"centrality,edges","9.471210975660368,0.0020669322216807138,0.00625098652039964","2","0.5726918422387599","0.19231618890743574","0.48953192586092575"
"reachability,free","9.671951589030993,0.008458104836280242,-0.006658629358918816","2","0.6146129358974063","0.2048937575114735","0.45264097983311913"
"reachability,edges","9.394286056284914,0.007767433106364736,0.005956667960366548","2","0.6508996194117648","0.2241872643862531","0.4518609544958275"
"free,edges","9.523543146434335,-0.00853764634554839,0.028590890470938796","2","0.5646650354907241","0.1888985160014057","0.37297263570507677"
"credits,complexity,centrality","2.3992331836725107,0.061476528841560574,-0.0035657495552878604,0.003793718200704694","3","0.003292097282652441","0.001408593453667918","0.867450884835208"
"credits,complexity,reachability","3.5514689847537633,0.05334030785958777,-0.011552164428662899,0.032088204000508776","3","0.00013361023116114526","5.7622066221062154e-5","0.8469123821963208"
"credits,complexity,free","2.136301623853336,0.06171145927462569,0.0026894171839508094,-0.005567773278527485","3","0.5408598861289801","0.15247795895967617","0.741488879308225"
"credits,complexity,edges","1.8273137977142833,0.06282385923133044,0.0030390191124025153,-0.0013641883328443956","3","0.8783411058468128","0.2474769389053373","0.7387449913958868"
"credits,blocking,delay","3.5514689847534835,0.053340307859590146,0.020536039571846083,-0.011552164428663107","3","0.00013361023116105817","5.729128416156279e-5","0.8469123821963211"
"credits,blocking,centrality","2.0126364259242666,0.06345673703170195,-0.008617302154134674,0.004042310195815254","3","0.027034709905124812","0.010659732108260338","0.8543337426190891"
"credits,blocking,free","2.3693823809183856,0.05939423480150589,0.006854724619451349,-0.0015031115176654722","3","0.8604980561868154","0.22225001033736283","0.7794347720225056"
"credits,blocking,edges","2.0477755914972957,0.06273587542183659,0.009433182804886552,-0.011549895516795099","3","0.17913526867505908","0.05555192767680855","0.790676341997267"
"credits,delay,centrality","2.6186877765934784,0.06012815126175907,-0.005306684409378776,0.0034039533260585573","3","0.001728546939396636","0.0006436409735519523","0.8711021561514408"
"credits,delay,reachability","3.5514689847532366,0.053340307859592234,-0.01155216442866324,0.0205360395718462","3","0.0001336102311610279","5.729128416158199e-5","0.846912382196321"
"credits,delay,free","2.0217187886366745,0.06341248553591303,0.004135255759113656,-0.009311023805152458","3","0.32478311929941517","0.10782684980241118","0.710379753852313"
"credits,delay,edges","1.8169121759504125,0.06219416405128551,0.003763557795126393,0.006260627903966203","3","0.4723796228691609","0.16076964133458727","0.7064637302189267"
"credits,centrality,reachability","2.0126364259242604,0.06345673703170199,0.004042310195815258,-0.008617302154134688","3","0.0270347099051249","0.010659732108260454","0.8543337426190889"
"credits,centrality,free","2.298403515641327,0.06034169525921335,0.0019176690142238102,-0.0009940086220989854","3","0.8900426910511824","0.22618167021339738","0.8328516723820915"
"credits,centrality,edges","1.9066052321491787,0.06475689773917534,0.0025370506485788823,-0.011910929161145757","3","0.06547207684015573","0.0231328145446464","0.8483476696503727"
