"combinations","n","pMax","pAvg","r2","rse1","rse2"
"complexity","1","1.2527675102381866e-10","6.263837551190933e-11","0.473569045294172","0.2377591929800569","0.24038644613946497"
"blocking","1","3.1496855412623646e-9","1.5748427706311823e-9","0.43272235072375786","0.24681096220858997","0.2495382379539003"
"delay","1","2.802245514847582e-11","1.401122757423791e-11","0.49064555611865934","0.23387115397232244","0.2364554440704964"
"inverseBlocking","1","3.1496855412623646e-9","1.5748427706311823e-9","0.43272235072375786","0.24681096220858997","0.2495382379539003"
"inverseDelay","1","1.1946966920501e-12","5.9734834602505e-13","0.5232912900144346","0.2262523779011296","0.22875248007263296"
"centrality","1","2.2319574976237977e-6","1.1159787488118988e-6","0.32733058509220914","0.2687617433753832","0.27173157655222374"
"creditHours","1","2.7706965018173786e-68","1.3853482509086893e-68","0.8689216651530727","0.11864025368006471","0.11995123550754791"
"free","1","0.15146953899991716","0.13920857651559415","0.048199174788161936","0.31969779971441137","0.3232304793295628"
"timeComp1","1","3.536952954689527e-27","1.7684764773447635e-27","0.7170728975941321","0.17430260776056725","0.17622866189623396"
"timeComp2","1","2.3452888791304603e-27","1.1726444395652302e-27","0.718483825471351","0.1738674501210616","0.17578869573904746"
"complexity,blocking","2","0.1748417169097422","0.06470921454869948","0.4942587219013629","0.23561528920327243","0.23827769336262491"
"complexity,delay","2","0.5707115724862362","0.24851776313199903","0.4942587219013631","0.23561528920327238","0.2382776933626249"
"complexity,inverseBlocking","2","0.1748417169097422","0.06470921454869948","0.4942587219013629","0.23561528920327243","0.23827769336262491"
"complexity,inverseDelay","2","0.43187553692252567","0.15076429212624232","0.5297470726869595","0.22719827077692395","0.22976556436453285"
"complexity,centrality","2","0.17166685733508022","0.05726031485752905","0.4945543254452679","0.23554642109044457","0.23820804705432996"
"complexity,creditHours","2","0.00020734160452382249","6.91138681746075e-5","0.8996223888370349","0.10496818688647096","0.10615430574281191"
"complexity,free","2","0.1499459728185711","0.049981991870986175","0.4967498690317266","0.23503428370156232","0.2376901226186099"
"complexity,timeComp1","2","6.707520667406547e-5","2.2358402224735332e-5","0.790911778598537","0.1514970066468364","0.15320889156733497"
"complexity,timeComp2","2","0.0001513423301376133","5.044744337935522e-5","0.7865700378818001","0.1530618511362168","0.15479141847660988"
"blocking,delay","2","0.5707115724861936","0.19666583307418384","0.494258721901363","0.2356152892032724","0.2382776933626249"
"blocking,inverseDelay","2","0.40573538269749765","0.13597952249166081","0.5305034068962928","0.22701548937968788","0.22958071757521673"
"blocking,centrality","2","0.06713873808554287","0.0225277894564626","0.4720447421190941","0.24073421915286916","0.24345446616459054"
"blocking,creditHours","2","2.8026659627137633e-5","9.342219875712545e-6","0.9056947832552892","0.10174360616060213","0.10289328791998832"
"blocking,free","2","0.11960613297560446","0.03986872228868331","0.46170046203315984","0.2430811438325126","0.2458279106089313"
"blocking,timeComp1","2","0.00045600370791589514","0.00015200123597198625","0.7777574336331119","0.1561898793708403","0.15795479278495636"
"blocking,timeComp2","2","0.005869775368450962","0.001956591789485583","0.7591126944424916","0.16260961616622086","0.16444707128170002"
"delay,inverseBlocking","2","0.5707115724861845","0.19666583307418053","0.4942587219013629","0.23561528920327243","0.23827769336262491"
"delay,inverseDelay","2","0.6148282038334273","0.22731432963429207","0.5259586023653706","0.2281116168024882","0.230689231011758"
"delay,centrality","2","0.48918546889206854","0.16309653700071286","0.4960026821558252","0.23520869934995728","0.23786650912784887"
"delay,creditHours","2","0.0011984285998805628","0.00039947619996018763","0.8937064135290826","0.10801717085227765","0.10923774259841117"
"delay,free","2","0.23767882324722628","0.079226274893048","0.5059534098258459","0.23287518925950837","0.23550663085479304"
"delay,timeComp1","2","0.0001110979608401458","3.703265361410438e-5","0.7875854479522293","0.15269731505853887","0.1544227632164599"
"delay,timeComp2","2","3.7376243482851505e-6","1.2458747827631858e-6","0.8091988052687624","0.1447204194672123","0.14635573035062588"
"inverseBlocking,inverseDelay","2","0.40573538269749765","0.13597952249166081","0.5305034068962928","0.22701548937968788","0.22958071757521673"
"inverseBlocking,centrality","2","0.06713873808554287","0.0225277894564626","0.4720447421190941","0.24073421915286916","0.24345446616459054"
"inverseBlocking,creditHours","2","2.8026659627137633e-5","9.342219875712545e-6","0.9056947832552892","0.10174360616060213","0.10289328791998832"
"inverseBlocking,free","2","0.11960613297560446","0.03986872228868331","0.46170046203315984","0.2430811438325126","0.2458279106089313"
"inverseBlocking,timeComp1","2","0.00045600370791589514","0.00015200123597198625","0.7777574336331119","0.1561898793708403","0.15795479278495636"
"inverseBlocking,timeComp2","2","0.005869775368450962","0.001956591789485583","0.7591126944424916","0.16260961616622086","0.16444707128170002"
"inverseDelay,centrality","2","0.3666176709360416","0.12220899315915225","0.5317724185120226","0.22670847945821426","0.22927023850496822"
"inverseDelay,creditHours","2","0.0009072370674435738","0.0003024123558145246","0.8946840779608791","0.10751926451382846","0.10873421002105814"
"inverseDelay,free","2","0.19647849447063034","0.06549283151661013","0.5403332692957583","0.22462640353512334","0.22716463555348929"
"inverseDelay,timeComp1","2","0.0023575950593109326","0.0007858650229787631","0.7653050452195789","0.1605059530112394","0.1623196371670638"
"inverseDelay,timeComp2","2","0.0006103250978867306","0.00020344169958989218","0.776748573722562","0.15654398635040997","0.15831290110034107"
"centrality,creditHours","2","6.116762977404283e-7","2.0389209924680944e-7","0.9155847266432302","0.09626087018704133","0.09734859816104288"
"centrality,free","2","0.3580280689142429","0.1193511451036809","0.339726101203803","0.26921628843784506","0.27225837695648947"
"centrality,timeComp1","2","0.010781959601581828","0.00359398653386061","0.7527864879000798","0.1647310133558587","0.16659243982192565"
"centrality,timeComp2","2","0.09938357995959884","0.03312785998653298","0.7345044612790943","0.1707135059815429","0.1726425333800611"
"creditHours,free","2","0.02845985005127584","0.009486616683758614","0.8815557052347252","0.11402401807287621","0.11531246595335906"
"creditHours,timeComp1","2","0.0009721298118279636","0.00032404327060932237","0.894442831241363","0.10764234102465754","0.10885867727106827"
"creditHours,timeComp2","2","0.004760795869710259","0.0015869319565701232","0.8886401221518953","0.11056142833732406","0.11181074966814522"
"free,timeComp1","2","0.019305608657027556","0.006435202885675852","0.7477549685649156","0.16639894866353336","0.16827922245447338"
"free,timeComp2","2","0.3544386002043546","0.1181462000681182","0.723747975396392","0.174137378630384","0.17610509508347158"
"complexity,blocking,delay","3","0.9999999722481634","0.7499998551421455","0.4942587219013628","0.23827769336262494","0.24103244029399556"
