"combinations","n","pMax","pAvg","r2","rse1","rse2"
"complexity","1","1.2033673110796436e-7","6.016836555398218e-8","0.43763773608093215","0.11692812275674566","0.11858676053433825"
"blocking","1","5.55792471752761e-10","2.778962358763805e-10","0.5165890092833534","0.10840995198520348","0.10994775861025069"
"delay","1","5.822365809943685e-6","2.9111829049718424e-6","0.36334710240032186","0.1244119943541022","0.12617679164115558"
"inverseBlocking","1","5.55792471752761e-10","2.778962358763805e-10","0.5165890092833534","0.10840995198520348","0.10994775861025069"
"centrality","1","3.6654590906786314e-11","1.8327295453393157e-11","0.5487860778818641","0.10473748412413841","0.10622319640449124"
"creditHours","1","2.6511656984386073e-7","1.3256044906714378e-7","0.4238936665436088","0.11834835256116615","0.12002713644861612"
"free","1","0.003942159412254476","0.00197122012385103","0.18754721244104","0.14054323910663685","0.14253685980516165"
"timeComp1","1","5.34446957542353e-8","2.672234787711765e-8","0.4511160811849315","0.11551839480199882","0.11715703543958143"
"complexity,inverseBlocking","2","0.0010702909978770729","0.0003635126606345062","0.6297876610566271","0.09621738841991441","0.09762209613097844"
"complexity,centrality","2","0.3726967165268902","0.12487660015538389","0.5588031802972302","0.10503748312990463","0.10657095815896493"
"complexity,creditHours","2","2.2999548424225575e-8","1.0999025599325988e-8","0.7027829256012135","0.08621145954095549","0.08747008757054561"
"complexity,free","2","0.5356792316391347","0.17857956985505877","0.44373451386701124","0.11794218724184242","0.11966406207755645"
"blocking,delay","2","0.00107029099787737","0.00035693689115217487","0.6297876610566271","0.09621738841991441","0.09762209613097844"
"blocking,centrality","2","0.9641229908325174","0.35933160730317854","0.5488121595002209","0.10622012633864202","0.10777086714535469"
"blocking,creditHours","2","1.3992618391285362e-8","4.670537133020189e-9","0.7481798423541095","0.07935483005766178","0.08051335601147057"
"blocking,free","2","0.8814149637073536","0.2938053331111027","0.5168961722310901","0.10991282224687542","0.11151747387472026"
"delay,inverseBlocking","2","0.0010702909978773413","0.0003569368911521653","0.6297876610566273","0.09621738841991437","0.0976220961309784"
"delay,centrality","2","0.19015061359682592","0.06339733785426035","0.5698797908580351","0.10371057552904228","0.10522467861952256"
"delay,creditHours","2","8.547770692192245e-7","2.963148166876724e-7","0.6595707291163011","0.09226597331967487","0.09361299308730088"
