"combinations","n","pMax","pAvg","r2","rse1","rse2"
"complexity","1","0.055847799446242276","0.027923899723121138","0.4224054096093882","0.037760210581188246","0.042217198852121884"
"blocking","1","0.008436433321908191","0.004218216660954096","0.5811835647314583","0.032153977762013466","0.035949240011439336"
"delay","1","0.1737357892712581","0.08686789463562905","0.27011661242832885","0.042447252876344696","0.04745747144481511"
"inverseBlocking","1","0.008436433321908191","0.004218216660954096","0.5811835647314583","0.032153977762013466","0.035949240011439336"
"inverseDelay","1","0.07977397045659498","0.03988698522829749","0.38038297616903805","0.0391097031653984","0.043725977428834766"
"centrality","1","0.041475319566283884","0.020737659783141942","0.45393910210419064","0.03671498782249089","0.041048604282083304"
"creditHours","1","0.9999997636644712","0.9999997149370747","0.0","0.04968472027264949","0.05554920598635307"
"free","1","0.0006404516492340366","0.0003202258246170183","0.699782018860967","0.027223326956549825","0.030436604824273936"
"timeComp1","1","0.011074780714207005","0.005537390357103503","0.5634437695594434","0.0328278881049391","0.036702694680200286"
"timeComp2","1","0.26665984252297326","0.13332992126148663","0.19792728962941208","0.044496896256454546","0.049749042408594145"
"complexity,blocking","2","0.0012254168460220823","0.0004303771707998639","0.884077681164899","0.018913041935727768","0.021838899705574216"
"complexity,delay","2","6.571466637754665e-5","2.3294753162044105e-5","0.8840776811648992","0.018913041935727754","0.0218388997055742"
"complexity,inverseBlocking","2","0.0012254168460220823","0.0004303771707998639","0.884077681164899","0.018913041935727768","0.021838899705574216"
"complexity,inverseDelay","2","0.13386380460176442","0.07804636427049731","0.6301687228512434","0.03378155791555323","0.039007583112379174"
"complexity,centrality","2","0.2179450980189569","0.13693956754881959","0.6683315509821426","0.031991156141269766","0.036940205219698895"
"complexity,creditHours","2","0.9999996657054816","0.6957339202986269","0.42240540960938766","0.0422171988521219","0.04874822224340908"
"complexity,free","2","2.3593318028445282e-9","7.86443940484652e-10","0.9697145457824194","0.009667070845325091","0.01116257190964725"
"complexity,timeComp1","2","0.07530769537558035","0.03152298510204029","0.7562284857610078","0.027426433306893212","0.031669317305292224"
"complexity,timeComp2","2","0.00014242195012246952","4.856581714747886e-5","0.8749107337469793","0.0196466214873312","0.022685964408754707"
"blocking,delay","2","0.0012254168460220688","0.0004098621463768839","0.8840776811648998","0.018913041935727702","0.02183889970557414"
"blocking,inverseDelay","2","5.090233333883667e-7","1.697991638812001e-7","0.9426854438402981","0.013298734703774108","0.015356056122210799"
"blocking,centrality","2","0.004833373254738525","0.0018347095883217885","0.8597018280823323","0.020806731443115848","0.024025543999278372"
"blocking,creditHours","2","0.9999996281870581","0.6728240694767224","0.5811835647314583","0.03594924001143934","0.041510606795533936"
"blocking,free","2","8.383994474356837e-8","2.7983239204756427e-8","0.9632932314077421","0.010642678245044258","0.012289106299349753"
"blocking,timeComp1","2","0.869981857213157","0.5089489586626174","0.5839700959747791","0.035829449034767015","0.04137228409027743"
"blocking,timeComp2","2","0.0003885885081968235","0.0001295751803211085","0.8989969062457306","0.017654084210144926","0.02038518054204699"
"delay,inverseBlocking","2","0.0012254168460222063","0.00040986214637692993","0.884077681164899","0.01891304193572776","0.02183889970557421"
"delay,inverseDelay","2","0.07221583048664178","0.03524601457400992","0.6572878337855277","0.03251940693149378","0.03755017669156983"
"delay,centrality","2","0.00024355564197040957","8.483319409613602e-5","0.8749083099948283","0.019646811824647302","0.022686184191356085"
"delay,creditHours","2","0.9999996972553934","0.7412408771119535","0.2701166124283274","0.04745747144481515","0.05479916782744601"
"delay,free","2","7.135486009764523e-11","2.37849533658818e-11","0.9741645046866965","0.008928659303992122","0.010309927705324616"
"delay,timeComp1","2","0.007898337612453364","0.0026798652764562845","0.8420618058961358","0.02207605358315225","0.02549123095775511"
"delay,timeComp2","2","0.09774757673329612","0.05650657189033111","0.5669578098728996","0.03655467784555343","0.04220970618854064"
"inverseBlocking,inverseDelay","2","5.090233333883667e-7","1.697991638812001e-7","0.9426854438402981","0.013298734703774108","0.015356056122210799"
"inverseBlocking,centrality","2","0.004833373254738525","0.0018347095883217885","0.8597018280823323","0.020806731443115848","0.024025543999278372"
"inverseBlocking,creditHours","2","0.9999996281870581","0.6728240694767224","0.5811835647314583","0.03594924001143934","0.041510606795533936"
"inverseBlocking,free","2","8.383994474356837e-8","2.7983239204756427e-8","0.9632932314077421","0.010642678245044258","0.012289106299349753"
"inverseBlocking,timeComp1","2","0.869981857213157","0.5089489586626174","0.5839700959747791","0.035829449034767015","0.04137228409027743"
"inverseBlocking,timeComp2","2","0.0003885885081968235","0.0001295751803211085","0.8989969062457306","0.017654084210144926","0.02038518054204699"
"inverseDelay,centrality","2","0.3523351004600647","0.11746508282654938","0.8934356361036717","0.018133592584564026","0.020938869120146086"
"inverseDelay,creditHours","2","0.9999996622012547","0.7057018831686482","0.3803829761690394","0.04372597742883472","0.050490409678234455"
"inverseDelay,free","2","5.597933539553556e-8","1.865977869820705e-8","0.9641507550063673","0.01051762936259515","0.012144712287462044"
"inverseDelay,timeComp1","2","0.0655219259882231","0.0254539382128265","0.7637614460616469","0.026999345931412125","0.031176159282889238"
"inverseDelay,timeComp2","2","0.03043211350483974","0.012517876478533708","0.7146172178394059","0.029675069128981536","0.03426581829967648"
"centrality,creditHours","2","0.9999996810958018","0.6894084633531868","0.45393910210419064","0.041048604282083304","0.04739884546423844"
"centrality,free","2","4.415029368841076e-10","1.471676481455039e-10","0.9720207801951966","0.00929171018999313","0.010729142758849047"
"centrality,timeComp1","2","0.25507349972360494","0.12012049750741009","0.6702311702710608","0.03189941047853188","0.036834266453541493"
"centrality,timeComp2","2","0.00015131928301328863","5.159589577601528e-5","0.88100474393583","0.01916208134753213","0.02212646564846236"
"creditHours,free","2","0.9999997426371072","0.6674204841465993","0.6997820188609671","0.030436604824273936","0.035145163977025634"
"creditHours,timeComp1","2","0.9999996880006924","0.6743590532039506","0.5634437695594428","0.036702694680200314","0.042380621307196595"
"creditHours,timeComp2","2","0.9999997534521998","0.7734855631653974","0.19792728962941208","0.049749042408594145","0.05744524605305587"
"free,timeComp1","2","1.1046413175880613e-6","3.6876830247085727e-7","0.9567043651646381","0.011558458328018714","0.013346558054197353"
"free,timeComp2","2","9.59980382696811e-10","3.199934608989372e-10","0.9709966175023157","0.009460240573428362","0.010923744883334969"
"timeComp1,timeComp2","2","0.0008470441334231383","0.00028270293373453453","0.8846249832970935","0.018868342196777188","0.021787284892942568"
"complexity,blocking,centrality","3","0.8761615873317015","0.3287675357386951","0.885008542306864","0.021751039323484274","0.026639473858874142"
"complexity,blocking,creditHours","3","0.9999992598506741","0.501414593448852","0.8840776811648994","0.021838899705574177","0.02674708041123726"
"complexity,blocking,free","3","0.2513741639219439","0.09672611575216693","0.9789472375145348","0.009306829747029833","0.011398492001589468"
"complexity,blocking,timeComp1","3","0.7801004669473058","0.21176356347710784","0.8870133016159114","0.021560602010750173","0.02640623673678146"
"complexity,blocking,timeComp2","3","0.9271885562695299","0.4556251173092192","0.8992772775683736","0.020356867588222048","0.02493196917627262"
"complexity,delay,inverseDelay","3","0.0566130857621791","0.014169798966510392","0.9475775124303066","0.014686084968953092","0.017986707246546402"
"complexity,delay,centrality","3","0.8761615873312312","0.3765781062505884","0.8850085423068637","0.021751039323484312","0.02663947385887419"
"complexity,delay,creditHours","3","0.9999987151391644","0.5001526419460074","0.8840776811648998","0.021838899705574136","0.026747080411237207"
"complexity,delay,free","3","0.40905858771348236","0.16516723338528164","0.9789472375145348","0.009306829747029843","0.01139849200158948"
"complexity,delay,timeComp1","3","0.7801004669474261","0.2792776844968749","0.8870133016159106","0.021560602010750246","0.02640623673678155"
"complexity,delay,timeComp2","3","0.5010479776388227","0.2242416135522798","0.8992772775683738","0.020356867588222024","0.024931969176272592"
"complexity,inverseBlocking,centrality","3","0.8761615873317015","0.3287675357386951","0.885008542306864","0.021751039323484274","0.026639473858874142"
"complexity,inverseBlocking,creditHours","3","0.9999992598506741","0.501414593448852","0.8840776811648994","0.021838899705574177","0.02674708041123726"
"complexity,inverseBlocking,free","3","0.2513741639219439","0.09672611575216693","0.9789472375145348","0.009306829747029833","0.011398492001589468"
"complexity,inverseBlocking,timeComp1","3","0.7801004669473058","0.21176356347710784","0.8870133016159114","0.021560602010750173","0.02640623673678146"
"complexity,inverseBlocking,timeComp2","3","0.9271885562695299","0.4556251173092192","0.8992772775683736","0.020356867588222048","0.02493196917627262"
"complexity,inverseDelay,centrality","3","0.6624606876095658","0.2893282050454374","0.9082074438241057","0.019433496920324207","0.023801075686371315"
"complexity,inverseDelay,creditHours","3","0.999999228783707","0.5872050391262947","0.6301687228512418","0.039007583112379264","0.04777433736226766"
"complexity,inverseDelay,free","3","0.40552220014434154","0.1618277900340286","0.97539028574237","0.01006237525650981","0.012323842489428015"
"complexity,inverseDelay,timeComp1","3","0.9845121294861855","0.48346413438111513","0.7637911171049959","0.031174201392855313","0.03818044327562808"
"complexity,inverseDelay,timeComp2","3","0.008282971306163213","0.002073017396923569","0.9623650116594452","0.012443516178590915","0.015240132621807487"
"complexity,centrality,creditHours","3","0.9999997145365181","0.5748984953142431","0.6683315509821428","0.03694020521969889","0.04524232689097902"
"complexity,centrality,free","3","0.6357710394018647","0.2799150651049058","0.9739672952805767","0.010349202149506092","0.012675132255602394"
"complexity,centrality,timeComp1","3","0.028113810298879376","0.01188301113526091","0.9064943673766549","0.019613997259800883","0.024022142551429815"
"complexity,centrality,timeComp2","3","0.9089606986682305","0.4079806528202393","0.8815211467096266","0.022078402422673976","0.027040410135689585"
"complexity,creditHours,free","3","0.9999976691242176","0.499998354664563","0.9697145457824196","0.011162571909647223","0.013671302697880253"
"complexity,creditHours,timeComp1","3","0.9999993405799904","0.5415399530531295","0.7562284857610063","0.03166931730529232","0.03878683395012967"
"complexity,creditHours,timeComp2","3","0.999998548279202","0.5002597041452382","0.8749107337469797","0.022685964408754665","0.0277845185621944"
"complexity,free,timeComp2","3","0.8872223656871696","0.3959677625324902","0.9711897694306686","0.010887310046870059","0.013334177143154224"
"complexity,timeComp1,timeComp2","3","0.4752737675340291","0.22010824208314525","0.9013801202186379","0.020143246077259553","0.02467033732630238"
"blocking,delay,inverseDelay","3","0.5967273584392758","0.16334657296049251","0.947577512430306","0.01468608496895318","0.01798670724654651"
"blocking,delay,centrality","3","0.8761615873317024","0.4763415834951109","0.8850085423068638","0.021751039323484298","0.026639473858874173"
"blocking,delay,creditHours","3","0.9999991006145216","0.5012945265427295","0.8840776811648997","0.02183889970557415","0.026747080411237224"
"blocking,delay,free","3","0.4090585877132834","0.13614722170001095","0.9789472375145348","0.009306829747029852","0.01139849200158949"
"blocking,delay,timeComp1","3","0.7801004669473144","0.26481901919347894","0.8870133016159107","0.021560602010750225","0.026406236736781524"
"blocking,delay,timeComp2","3","0.9271885562693567","0.35747278181818415","0.8992772775683734","0.020356867588222072","0.024931969176272648"
