combinations,n,pMax,pAvg,r2
"centrality,delay,blocking,credits",4,0.3847486114919939,0.1084949467916185,0.8199370254739139
"centrality,delay,reachability,credits",4,0.3847486114919939,0.1084949467916185,0.8199370254739139
"centrality,delay,credits",3,0.049725782258821065,0.012431457415461184,0.815814815938732
"centrality,blocking,credits",3,0.21754234936981637,0.05469742012524355,0.8037321321778337
"centrality,reachability,credits",3,0.21754234936981637,0.05469742012524355,0.8037321321778337
"delay,blocking,credits",3,0.0014696253086966512,0.0003675299953923542,0.8023860327495003
"delay,reachability,credits",3,0.0014696253086966512,0.0003675299953923542,0.8023860327495003
"centrality,credits",2,6.646974161820376e-11,2.215702013913939e-11,0.7949548606386446
"blocking,credits",2,2.1646391528681804e-8,7.225994371923062e-9,0.7435882338587626
"reachability,credits",2,2.1646391528681804e-8,7.225994371923062e-9,0.7435882338587626
"delay,credits",2,1.1574135612244255e-6,4.020344579339098e-7,0.6542699274703601
"centrality,delay,blocking,reachability",4,0.9999998924979232,0.5947854655447153,0.6293539931202234
"centrality,delay,blocking",3,0.96721067899116,0.24729802133477388,0.6293539931202232
"centrality,delay,reachability",3,0.96721067899116,0.24729802133477388,0.6293539931202232
"delay,blocking",2,0.0009657041783745048,0.0003220557883451399,0.6293355722677108
"delay,reachability",2,0.0009657041783745048,0.0003220557883451399,0.6293355722677108
"centrality,delay",2,0.18859537324211403,0.0628799129804143,0.5666684388891828
"centrality,blocking",2,0.9505471390416953,0.35698434066115853,0.5453173217656955
"centrality,reachability",2,0.9505471390416953,0.35698434066115853,0.5453173217656955
centrality,1,5.02510900246818e-11,2.51255450123409e-11,0.5452673528676307
blocking,1,6.820093839987555e-10,3.4100469199937776e-10,0.5139827570675519
reachability,1,6.820093839987555e-10,3.4100469199937776e-10,0.5139827570675519
credits,1,3.171092225099725e-7,1.5855766351643012e-7,0.4206873050632186
delay,1,6.727306343379092e-6,3.363653171689546e-6,0.36021897688905
