"combinations","coefs","n","pMax","pAvg","r2"
"credits","280.06005414718186,-1.7025596849618505","1","3.171092225099725e-7","1.5855766351643012e-7","0.4206873050632186"
"complexity","89.66720427776941,-0.10786858659703646","1","1.4334682211120043e-7","7.167341105560021e-8","0.4346479623534414"
"blocking","86.20719654725313,-0.25541078439372933","1","6.820093839987555e-10","3.4100469199937776e-10","0.5139827570675519"
"delay","91.31940526340203,-0.17858754274774719","1","6.727306343379092e-6","3.363653171689546e-6","0.36021897688905"
"centrality","83.0693141191982,-0.0665870434517748","1","5.02510900246818e-11","2.51255450123409e-11","0.5452673528676307"
"reachability","86.20719654725313,-0.25541078439372933","1","6.820093839987555e-10","3.4100469199937776e-10","0.5139827570675519"
"free","46.32379240880572,0.9642324024289485","1","0.0035568246836478125","0.0017786053079101563","0.1909613495822441"
"edges","92.08391723449287,-0.8648337370998053","1","1.4222656601593947e-6","7.111328300796974e-7","0.3924083746263102"
"credits,complexity","255.33024379703818,-1.3821181302764762,-0.08840492310265466","2","3.404101277787195e-8","1.6281664675957946e-8","0.6977297217728056"
"credits,blocking","242.7599467431571,-1.302303311734724,-0.20960323652111357","2","2.1646391528680554e-8","7.225994371922644e-9","0.7435882338587626"
"credits,delay","265.13872684683685,-1.451112014538949,-0.14660714428187577","2","1.1574135612246826e-6","4.020344579339928e-7","0.6542699274703601"
"credits,centrality","245.5843473810399,-1.3439635528691858,-0.05652525319846226","2","6.646974161814914e-11","2.215702013912118e-11","0.7949548606386445"
"credits,reachability","242.7599467431571,-1.302303311734724,-0.20960323652111357","2","2.1646391528680554e-8","7.225994371922644e-9","0.7435882338587626"
"credits,free","240.14441529488255,-1.5261306147617888,0.6874980615947658","2","0.009884129018965142","0.0032952043457425036","0.5132487694961483"
"credits,edges","242.78594612243464,-1.2790532193299706,-0.6251432406402644","2","7.616672584527233e-5","3.228937006252667e-5","0.5996942016112515"
"complexity,centrality","79.36088751256526,0.04778674739889709,-0.0913265963585851","2","0.37418091698601175","0.1254133614508132","0.5553014403646697"
"complexity,reachability","69.5895971054082,0.37841556658130193,-1.0704412657199136","2","0.0009657041783742324","0.00032792226936630706","0.6293355722677108"
"complexity,free","82.17834978565546,-0.09862603716526845,0.2239503787399962","2","0.5043449830351053","0.16813942172673457","0.4417580779778739"
"complexity,edges","92.24057232975632,-0.07295689187307004,-0.35733884696837015","2","0.2398845881803206","0.09426054740035794","0.4561124392412744"
"blocking,delay","69.58959710540822,-0.6920256991386116,0.37841556658130177","2","0.0009657041783743103","0.000322055788345075","0.6293355722677108"
"blocking,centrality","83.21954969835944,-0.010114111015452553,-0.06410762550752193","2","0.950547139041697","0.3569843406611592","0.5453173217656955"
"blocking,free","84.15729815869076,-0.24936775471734252,0.06423023683310845","2","0.8408038406605016","0.2802684019269989","0.5145423773561013"
"blocking,edges","86.89419458473037,-0.24147621577706596,-0.06302205762953535","2","0.8416052641450507","0.2815364571100943","0.5145366881402327"
"delay,centrality","76.82080669872414,0.09957843350935071,-0.09372843771345653","2","0.1885953732421095","0.06287991298041279","0.5666684388891827"
"delay,reachability","69.58959710540852,0.3784155665812951,-0.692025699138604","2","0.0009657041783745048","0.0003220557883451399","0.6293355722677108"
"delay,free","78.58872291542303,-0.15232040635837527,0.3706682491084859","2","0.28264257571948426","0.09456762935581518","0.3806459720258806"
"delay,edges","94.07613002852953,-0.08427695510700549,-0.5584335459340634","2","0.17039154543256857","0.07354493695018631","0.4233731552551031"
"centrality,reachability","83.21954969835944,-0.06410762550752182,-0.010114111015452872","2","0.9505471390416953","0.35698434066115853","0.5453173217656955"
"centrality,free","79.62182459576421,-0.06406975800233755,0.11351348527253377","2","0.7040318653419314","0.23467734008396426","0.5471346010739608"
"centrality,edges","84.58423070744033,-0.06098431311572676,-0.10546889080875316","2","0.6959392318155551","0.23216001825074198","0.547243065355232"
"reachability,free","84.15729815869076,-0.24936775471734252,0.06423023683310845","2","0.8408038406605016","0.2802684019269989","0.5145423773561013"
"reachability,edges","86.89419458473037,-0.24147621577706596,-0.06302205762953535","2","0.8416052641450507","0.2815364571100943","0.5145366881402327"
"free,edges","87.01705496732616,0.1410230305298043,-0.8086307903824181","2","0.7078903718686143","0.23616182974917257","0.39483583091660523"
"credits,complexity,centrality","243.4124346567668,-1.3665292322270683,0.06314913800865694,-0.08904908801988613","3","0.07532033280955329","0.01883136812576684","0.812407039031893"
"credits,complexity,reachability","213.21169024389206,-1.1575482078315216,0.276609513238866,-0.8104557528743999","3","0.0014696253086966737","0.0003729225764217685","0.8023860327495"
"credits,complexity,free","251.88259433691408,-1.3738373469034473,-0.08549151581173824,0.07341853349024294","3","0.7704954092406737","0.19262508831579503","0.6984844383498559"
"credits,complexity,edges","256.38878324541696,-1.3928401840854194,-0.09132843609509166,0.03146912541963722","3","0.8964078553605324","0.2243237642443969","0.6978803564203011"
