"combinations","n","pMax","pAvg","r2"
"credits","1","0.03827007496556548","0.019135037482782755","0.10654407565522717"
"complexity","1","5.333344874989971e-7","2.6666724374949853e-7","0.4111811542099266"
"blocking","1","1.2964220476518146e-9","6.482110238259073e-10","0.5056213502294806"
"delay","1","2.82827561147724e-5","1.41413780573862e-5","0.32747842759828794"
"centrality","1","6.160365536041578e-15","3.080182768020789e-15","0.6282899268294679"
"reachability","1","1.2964220476518146e-9","6.482110238259073e-10","0.5056213502294806"
"term_complexity","1","8.513979282029938e-8","4.256989641014969e-8","0.4434608656722341"
"term_blocking","1","7.493476764442295e-15","3.746738382221148e-15","0.6268039576794"
"term_delay","1","2.5206253860242065e-5","1.2603126930121032e-5","0.3302189127979135"
"term_centrality","1","4.4688231404266104e-21","2.2344115702133052e-21","0.7114342497622846"
"term_reachability","1","7.493476764442295e-15","3.746738382221148e-15","0.6268039576794"
"free","1","0.019068521400016455","0.009534260700008228","0.13243020661386362"
"edges","1","9.644964230542171e-5","4.8224821152710855e-5","0.29694313949096807"
"credits,complexity","2","0.13858027485426602","0.04619464407514539","0.4459092413597584"
"credits,blocking","2","0.20544970377555802","0.06848324255148866","0.5272749184641962"
"credits,delay","2","0.10055822773918635","0.03355374737121803","0.3755879095535547"
"credits,centrality","2","0.11376835469349704","0.03792278489786978","0.6530805769414193"
"credits,reachability","2","0.20544970377555802","0.06848324255148866","0.5272749184641962"
"credits,term_complexity","2","0.11506563030447356","0.03835538464390232","0.4803310979342398"
"credits,term_blocking","2","0.11243718671024741","0.037479062236793065","0.6518659013752373"
"credits,term_delay","2","0.10195838375481348","0.03401741783456349","0.37776875657907427"
"credits,term_centrality","2","0.06443897555588135","0.021479658518627116","0.7371163556573723"
"credits,term_reachability","2","0.11243718671024741","0.037479062236793065","0.6518659013752373"
"credits,free","2","0.09372886137013099","0.04698543997008406","0.1968887357179786"
"credits,edges","2","0.3109606608552752","0.1039949774700293","0.31697700648012683"
"complexity,centrality","2","0.0007709628181297727","0.0002569878022723779","0.719069534905695"
"complexity,reachability","2","8.318574134515258e-6","2.7849211794108924e-6","0.6846110238067754"
"complexity,term_centrality","2","0.016079609282668203","0.005359869762146124","0.7524203382008683"
"complexity,term_reachability","2","0.03147866458468057","0.010492939969952965","0.6703769813979361"
"complexity,free","2","0.9480883224642221","0.3160450246017788","0.4112524599595425"
"complexity,edges","2","0.8241397618728998","0.2776689722871013","0.41201077950630627"
"blocking,delay","2","8.318574134502956e-6","2.7729602267071763e-6","0.6846110238067746"
"blocking,centrality","2","0.017416231073322783","0.0058096102560752936","0.6799854179417363"
"blocking,term_delay","2","8.943855944126409e-5","2.9815609912743426e-5","0.6563235889309904"
"blocking,term_centrality","2","0.032446261320585125","0.01081542384405629","0.7447918606975157"
"blocking,edges","2","0.28593734236433876","0.0953296071489067","0.5211981694405883"
"delay,centrality","2","0.00023742133271610738","7.914044436397876e-5","0.7318054156339143"
"delay,reachability","2","8.31857413450293e-6","2.772960226707168e-6","0.6846110238067746"
"delay,term_blocking","2","0.014409669637303925","0.0048032233640922335","0.6813188916925602"
"delay,term_centrality","2","0.012318305829340804","0.004106101943115347","0.7552421873789141"
"delay,term_reachability","2","0.014409669637303925","0.0048032233640922335","0.6813188916925602"
"delay,free","2","0.5905608341081164","0.19724632695179276","0.332994926825398"
"delay,edges","2","0.2537291209731165","0.11318548464438714","0.35161061683679196"
"centrality,reachability","2","0.017416231073322665","0.0058096102560752545","0.6799854179417365"
"centrality,term_complexity","2","0.00433768415784588","0.0014459125486140393","0.698404468498758"
"centrality,term_blocking","2","0.3051957537204625","0.19314133001611852","0.639129974690057"
"centrality,term_delay","2","0.00010639565440811113","3.546521817364184e-5","0.7399053396873363"
"centrality,term_reachability","2","0.3051957537204625","0.19314133001611852","0.639129974690057"
"centrality,free","2","0.44049893962594444","0.14683297987667976","0.6345031876932674"
"centrality,edges","2","0.08303604717063451","0.0276786828085266","0.6576755658198175"
"reachability,term_complexity","2","0.1630301662591076","0.057759393539519664","0.5316596354275921"
"reachability,term_delay","2","8.943855944126409e-5","2.9815609912743426e-5","0.6563235889309904"
"reachability,term_centrality","2","0.032446261320585125","0.01081542384405629","0.7447918606975157"
"reachability,edges","2","0.28593734236433876","0.0953296071489067","0.5211981694405883"
"term_complexity,term_centrality","2","0.000877660541311549","0.0002925535138426056","0.780769655880063"
"term_complexity,term_reachability","2","0.0003857899394487009","0.00012859730945006655","0.725589939151954"
"term_complexity,free","2","0.5096347939312593","0.1698805438660644","0.4502900983916508"
