"combinations","n","r2"
"complexity","1","0.473569045294172"
"blocking","1","0.43272235072375786"
"delay","1","0.49064555611865934"
"inverseBlocking","1","0.43272235072375786"
"inverseDelay","1","0.5232912900144346"
"centrality","1","0.32733058509220914"
"creditHours","1","0.8689216651530727"
"free","1","0.048199174788161936"
"timeComp1","1","0.7170728975941321"
"timeComp2","1","0.718483825471351"
"complexity,blocking","2","0.4942587219013629"
"complexity,delay","2","0.4942587219013631"
"complexity,inverseBlocking","2","0.4942587219013629"
"complexity,inverseDelay","2","0.5297470726869595"
"complexity,centrality","2","0.4945543254452679"
"complexity,creditHours","2","0.8996223888370349"
"complexity,free","2","0.4967498690317266"
"complexity,timeComp1","2","0.790911778598537"
"complexity,timeComp2","2","0.7865700378818001"
"blocking,delay","2","0.494258721901363"
"blocking,inverseDelay","2","0.5305034068962928"
"blocking,centrality","2","0.4720447421190941"
"blocking,creditHours","2","0.9056947832552892"
"blocking,free","2","0.46170046203315984"
"blocking,timeComp1","2","0.7777574336331119"
"blocking,timeComp2","2","0.7591126944424916"
"delay,inverseBlocking","2","0.4942587219013629"
"delay,inverseDelay","2","0.5259586023653706"
"delay,centrality","2","0.4960026821558252"
"delay,creditHours","2","0.8937064135290826"
"delay,free","2","0.5059534098258459"
"delay,timeComp1","2","0.7875854479522293"
"delay,timeComp2","2","0.8091988052687624"
"inverseBlocking,inverseDelay","2","0.5305034068962928"
"inverseBlocking,centrality","2","0.4720447421190941"
"inverseBlocking,creditHours","2","0.9056947832552892"
"inverseBlocking,free","2","0.46170046203315984"
"inverseBlocking,timeComp1","2","0.7777574336331119"
"inverseBlocking,timeComp2","2","0.7591126944424916"
"inverseDelay,centrality","2","0.5317724185120226"
"inverseDelay,creditHours","2","0.8946840779608791"
"inverseDelay,free","2","0.5403332692957583"
"inverseDelay,timeComp1","2","0.7653050452195789"
"inverseDelay,timeComp2","2","0.776748573722562"
"centrality,creditHours","2","0.9155847266432302"
"centrality,free","2","0.339726101203803"
"centrality,timeComp1","2","0.7527864879000798"
"centrality,timeComp2","2","0.7345044612790943"
"creditHours,free","2","0.8815557052347252"
"creditHours,timeComp1","2","0.894442831241363"
"creditHours,timeComp2","2","0.8886401221518953"
"free,timeComp1","2","0.7477549685649156"
"free,timeComp2","2","0.723747975396392"
"complexity,blocking,delay","3","0.4942587219013628"
"complexity,blocking,inverseDelay","3","0.5305578622687666"
"complexity,blocking,centrality","3","0.4961795430944065"
"complexity,blocking,creditHours","3","0.9124591125656027"
