"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"BUS 1000",79.92,96.01,99.2,99.86,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"ENGL 1050",79.94,96.01,99.24,99.83,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"BUS 1750",79.99,96.01,99.21,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"CIS 1020",80.0,95.9,99.21,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MATH 1160",79.83,96.02,99.18,99.83,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"COM 1000",80.3,96.04,99.15,99.84,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"AREA 1",0.0,80.05,95.95,99.16,99.83,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"ECON 2010",0.0,79.88,96.03,99.24,99.85,99.98,99.99,100.0,100.0,100.0,100.0,100.0
"ACTY 2100",0.0,78.68,95.68,99.1,99.81,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"ACTY 2110",0.0,0.0,62.95,89.22,97.11,99.25,99.81,99.97,99.99,100.0,100.0,100.0
"ECON 2020",0.0,72.24,94.51,98.89,99.8,99.95,99.99,100.0,100.0,100.0,100.0,100.0
"STAT 2160",0.0,47.26,86.31,96.55,99.13,99.8,99.95,99.99,100.0,100.0,100.0,100.0
"BUS 2200",0.0,26.31,84.56,96.91,99.37,99.86,99.97,99.99,100.0,100.0,100.0,100.0
"AREA 2",0.0,0.0,76.93,95.37,99.11,99.83,99.96,99.99,100.0,100.0,100.0,100.0
"CIS 2700",0.0,0.0,65.56,91.97,98.12,99.58,99.9,99.97,99.99,100.0,100.0,100.0
"MKTG 2500",0.0,0.0,52.58,90.33,98.02,99.6,99.92,99.98,99.99,100.0,100.0,100.0
"BCM 3700",0.0,0.0,27.2,84.61,96.88,99.37,99.86,99.97,100.0,100.0,100.0,100.0
"AREA 3",0.0,0.0,6.94,78.11,95.58,99.05,99.81,99.96,99.99,100.0,100.0,100.0
"ACTY 3100",0.0,0.0,0.0,46.99,80.7,93.84,98.18,99.48,99.87,99.96,99.99,100.0
"MGMT 2500",0.0,0.0,0.0,64.55,92.76,98.5,99.68,99.94,99.99,100.0,100.0,100.0
"AREA 4",0.0,0.0,0.0,48.59,88.96,97.81,99.61,99.92,99.99,100.0,100.0,100.0
"MAJOR",0.0,0.0,0.0,28.44,83.82,96.81,99.38,99.87,99.97,99.99,100.0,100.0
"FIN 3200",0.0,0.0,0.0,10.87,74.1,93.9,98.6,99.69,99.92,99.98,100.0,100.0
"LAW 3800",0.0,0.0,0.0,2.59,67.98,93.43,98.65,99.73,99.95,99.99,100.0,100.0
"AREA 5",0.0,0.0,0.0,0.08,55.45,90.52,98.15,99.61,99.91,99.98,100.0,100.0
"BUS 3750",0.0,0.0,0.0,0.0,33.6,79.42,94.49,98.58,99.65,99.92,99.99,100.0
"ACTY 3130",0.0,0.0,0.0,0.0,17.58,66.57,88.42,96.24,98.8,99.65,99.91,99.98
"CHEM 1100",80.07,96.1,99.31,99.94,117.09,185.08,201.0,201.97,202.09,202.12,202.12,202.13
"CHEM 1110",0.0,0.0,0.0,0.0,5.62,66.76,93.0,98.58,99.72,99.95,99.99,100.0
"BUS 4000",0.0,0.0,0.0,0.0,5.63,66.92,93.12,98.59,99.73,99.96,99.99,100.0
"BUS 4500",0.0,0.0,0.0,0.0,0.66,43.41,81.81,94.85,98.69,99.64,99.92,99.97
"ACTY 3110",0.0,0.0,0.0,0.0,0.1,35.52,80.07,94.47,98.47,99.62,99.89,99.97
"AREA 8",0.0,0.0,0.0,0.0,0.16,27.02,79.34,95.76,99.15,99.81,99.97,99.99
"MAJOR1",0.0,0.0,0.0,0.0,0.01,11.35,70.33,93.72,98.72,99.75,99.95,99.99
"BUS 4750",0.0,0.0,0.0,0.0,0.0,2.49,49.6,83.18,94.98,98.63,99.64,99.92
"ACTY 4130",0.0,0.0,0.0,0.0,0.0,1.65,43.68,78.88,92.78,97.6,99.23,99.76
"ACTY 3220",0.0,0.0,0.0,0.0,0.0,1.12,46.7,86.84,97.26,99.41,99.88,99.98
"Elective 1",0.0,0.0,0.0,0.0,0.0,0.35,27.83,78.81,95.55,99.12,99.82,99.96
"ACTY 3240",0.0,0.0,0.0,0.0,0.0,0.0,11.26,68.58,93.19,98.65,99.74,99.95
"ACTY 4160",0.0,0.0,0.0,0.0,0.0,0.0,3.06,49.7,83.59,94.87,98.51,99.58
"ACTY 4110",0.0,0.0,0.0,0.0,0.0,0.0,1.3,43.78,82.34,95.13,98.71,99.66
"ACTY 2000",0.0,0.0,0.0,0.0,5.63,66.58,87.69,94.53,98.58,99.68,99.93,99.99
"AREA 7",0.0,0.0,0.0,0.0,0.0,0.14,1.72,37.84,82.26,96.29,99.23,99.83
"Elective 2",0.0,0.0,0.0,0.0,0.0,0.03,0.6,22.75,73.92,94.32,98.83,99.75
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.01,6.87,44.59,80.04,94.48,98.59
