"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"MATH111",79.89,95.92,99.18,99.84,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"PSY201",79.92,95.97,99.2,99.83,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"WRI121",80.03,95.96,99.2,99.84,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"HUM",80.18,96.04,99.27,99.84,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"LAB SCI",80.06,96.02,99.19,99.83,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"BUS215",0.0,80.19,96.1,99.24,99.86,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"ECO201",0.0,63.99,89.44,97.22,99.34,99.83,99.96,99.99,100.0,100.0,100.0,100.0
"MIS102",79.8,96.0,99.22,99.86,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"SPE111",0.0,78.25,95.65,99.18,99.83,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"WRI122",0.0,58.7,88.61,97.15,99.31,99.84,99.96,99.99,100.0,100.0,100.0,100.0
"ELEC",0.0,54.21,90.56,98.14,99.63,99.93,99.99,100.0,100.0,100.0,100.0,100.0
"ECO202",0.0,26.26,81.45,95.56,98.96,99.77,99.95,99.99,100.0,100.0,100.0,100.0
"MIS275",0.0,0.0,77.34,95.44,99.1,99.84,99.97,99.99,100.0,100.0,100.0,100.0
"SPE321",0.0,0.0,58.89,88.11,96.99,99.28,99.83,99.96,99.99,100.0,100.0,100.0
"HUM",0.0,0.0,63.74,92.54,98.51,99.7,99.94,99.98,100.0,100.0,100.0,100.0
"ELEC",0.0,0.0,44.49,88.12,97.69,99.55,99.92,99.98,100.0,100.0,100.0,100.0
"ACC201",0.0,0.0,6.99,75.67,95.14,99.08,99.81,99.96,100.0,100.0,100.0,100.0
"MATH361",0.0,0.0,0.0,65.66,92.74,98.49,99.68,99.94,99.99,100.0,100.0,100.0
