"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"ACC201",80.11,96.05,99.19,99.83,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"BUS215",79.94,95.9,99.21,99.83,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ECO201",80.19,96.02,99.19,99.83,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"MATH111",79.88,95.98,99.17,99.82,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"WRI121",79.95,95.95,99.14,99.82,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ACC203",0.0,64.1,89.66,97.28,99.29,99.84,99.95,100.0,100.0,100.0,100.0,100.0
"ECO202",0.0,63.83,89.51,97.24,99.29,99.83,99.97,100.0,100.0,100.0,100.0,100.0
"MIS206",0.0,79.45,95.92,99.24,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"SPE111",0.0,71.89,94.37,98.89,99.77,99.95,99.99,100.0,100.0,100.0,100.0,100.0
"WRI122",0.0,41.18,84.94,96.33,99.14,99.79,99.94,99.98,100.0,100.0,100.0,100.0
"MATH361",0.0,0.0,75.55,94.42,98.73,99.72,99.93,99.99,100.0,100.0,100.0,100.0
"MGT321",0.0,0.0,71.87,93.74,98.67,99.7,99.94,99.99,100.0,100.0,100.0,100.0
"MGT461",0.0,0.0,57.92,90.75,98.04,99.6,99.91,99.98,99.99,100.0,100.0,100.0
"MIS113",0.0,0.0,34.82,85.85,97.09,99.43,99.87,99.98,99.99,100.0,100.0,100.0
"WRI227",0.0,0.0,9.15,67.99,90.66,97.44,99.33,99.8,99.95,99.98,99.99,100.0
"ACC325",0.0,0.0,0.58,65.83,90.9,97.63,99.41,99.84,99.96,99.99,100.0,100.0
"BUS349",0.0,0.0,0.0,60.32,91.55,98.28,99.67,99.94,99.99,100.0,100.0,100.0
"MIS102",79.91,95.92,99.16,99.81,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"PHIL342",0.0,0.0,0.0,33.39,82.33,95.64,98.95,99.75,99.93,99.99,100.0,100.0
"ELEC",0.0,0.0,0.0,18.26,79.0,95.66,99.13,99.84,99.96,99.99,100.0,100.0
"BUS223",0.0,0.0,0.0,3.87,69.67,93.78,98.73,99.76,99.95,99.99,100.0,100.0
"BUS356",0.0,0.0,0.0,0.0,50.63,88.27,97.44,99.45,99.87,99.97,100.0,100.0
"MGT335",0.0,0.0,0.0,0.0,41.74,85.61,97.07,99.39,99.86,99.98,100.0,100.0
"LAB SCI",0.0,0.0,0.0,0.01,17.81,76.48,95.2,99.04,99.81,99.95,99.99,99.99
"BUS441",0.0,0.0,0.0,0.0,5.97,63.75,91.05,97.97,99.57,99.89,99.98,100.0
"BUS457",0.0,0.0,0.0,0.0,1.64,54.68,89.37,97.7,99.55,99.9,99.99,100.0
"BUS467",0.0,0.0,0.0,0.0,0.0,37.16,83.64,96.64,99.29,99.86,99.97,100.0
"BUS495",0.0,0.0,0.0,0.0,0.0,33.16,75.19,92.6,97.98,99.48,99.87,99.97
"SPE321",0.0,0.0,0.0,0.04,0.07,19.75,75.77,94.82,98.95,99.78,99.94,99.99
"HUM",0.0,0.0,0.0,0.0,0.01,9.28,66.73,92.66,98.52,99.72,99.96,99.99
"ANTH452",0.0,0.0,0.0,0.0,0.0,2.71,54.13,88.93,97.74,99.51,99.91,99.99
"BUS496",0.0,0.0,0.0,0.0,0.0,0.0,25.1,65.02,86.99,95.83,98.76,99.63
"PSY347",0.0,0.0,0.0,0.0,0.0,0.38,37.88,83.01,96.38,99.25,99.84,99.97
"HUM",0.0,51.1,74.37,89.22,94.27,95.78,97.4,99.23,99.83,99.97,100.0,100.0
"ELEC",0.0,0.0,0.0,0.0,0.0,0.0,22.07,74.78,94.4,98.78,99.75,99.95
"BUS226",0.0,0.0,0.0,0.0,0.0,0.0,10.46,65.09,92.02,98.37,99.67,99.93
"BUS478",0.0,0.0,0.0,0.0,0.0,0.0,4.1,53.58,88.35,97.58,99.49,99.9
"WRI327",0.0,0.0,0.0,0.0,0.0,0.0,1.05,40.73,83.54,96.42,99.26,99.85
"BUS497",0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.72,52.99,80.01,92.66,97.55
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.88,39.22,73.32,90.78,97.15
