"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"MATH 121",79.9,96.04,99.17,99.82,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ENGL 110",80.06,95.98,99.24,99.84,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"Humanities 1",79.77,95.94,99.18,99.84,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"Physical & Natural Sciences",79.95,95.97,99.18,99.86,99.98,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MGMT 113",80.11,96.04,99.19,99.82,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MATH 180",0.0,63.91,89.69,97.33,99.33,99.82,99.96,99.99,100.0,100.0,100.0,100.0
"ENGL 120",0.0,64.01,89.63,97.28,99.36,99.84,99.98,100.0,100.0,100.0,100.0,100.0
"Physical & Natural Sciences w/ Lab",0.0,79.38,95.91,99.16,99.82,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"ECON 105",79.87,94.44,98.85,99.76,99.95,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"Foreign Language",0.0,66.07,93.11,98.61,99.71,99.95,99.99,100.0,100.0,100.0,100.0,100.0
"ENGL 219",0.0,0.0,51.12,81.86,94.23,98.3,99.56,99.89,99.97,100.0,100.0,100.0
"Fine Arts",0.0,32.76,85.95,97.22,99.44,99.89,99.98,100.0,100.0,100.0,100.0,100.0
"ECON 106",0.0,0.0,76.59,95.35,99.08,99.83,99.97,99.99,100.0,100.0,100.0,100.0
"STAT 145",0.0,0.0,66.54,92.54,98.36,99.63,99.93,99.98,100.0,100.0,100.0,100.0
"Elective 1",0.0,0.0,55.34,90.59,98.1,99.6,99.91,99.99,100.0,100.0,100.0,100.0
"CS 150L",0.0,0.0,33.84,85.35,96.98,99.39,99.87,99.98,100.0,100.0,100.0,100.0
"MGMT 202",0.0,0.0,11.38,78.5,95.72,99.11,99.83,99.96,99.99,100.0,100.0,100.0
"Social & Behavior Science",0.0,0.0,0.0,70.13,93.92,98.79,99.77,99.96,99.99,100.0,100.0,100.0
"Elective 2",0.0,0.0,0.0,59.15,91.32,98.2,99.62,99.92,99.98,99.99,100.0,100.0
"MGMT 300",0.0,0.0,0.0,36.74,80.65,94.75,98.61,99.66,99.93,99.98,99.99,100.0
"MGMT 303",0.0,0.0,0.0,8.53,64.29,89.45,97.2,99.3,99.83,99.97,100.0,100.0
"MGMT 306",0.0,0.0,0.0,24.52,78.86,95.21,98.89,99.76,99.96,99.99,100.0,100.0
"MGMT 308",0.0,0.0,0.0,7.45,68.8,93.0,98.43,99.68,99.93,99.99,100.0,100.0
"MGMT 340",0.0,0.0,0.0,0.42,47.84,85.57,96.4,99.11,99.78,99.96,99.99,100.0
"MGMT 398",0.0,79.41,83.2,83.57,91.73,98.22,99.65,99.94,99.98,100.0,100.0,100.0
"MGMT 310",0.0,0.0,0.0,0.0,41.0,85.42,96.9,99.38,99.88,99.97,99.99,100.0
"MGMT 322",0.0,0.0,0.0,0.83,26.86,79.97,95.85,99.18,99.83,99.96,99.99,100.0
"MGMT 326",0.0,0.0,0.0,0.0,9.2,65.93,91.27,97.9,99.47,99.9,99.98,99.99
"MGMT 341",0.0,0.0,0.0,0.0,0.08,36.94,75.79,92.28,97.71,99.41,99.88,99.97
"MGMT 346",0.0,0.0,0.0,0.0,1.92,42.28,79.33,93.73,98.21,99.47,99.88,99.96
"MGMT 450",0.0,0.0,0.0,0.0,0.0,11.41,55.18,83.91,95.09,98.62,99.6,99.92
"MGMT 343",0.0,0.0,0.0,0.0,0.52,30.56,75.41,92.88,98.06,99.45,99.87,99.97
"Upper Division Humanities",0.0,0.0,0.0,0.0,4.89,33.98,79.8,95.81,99.11,99.82,99.96,99.99
"Elective 3",0.0,0.0,0.0,0.0,1.42,16.11,67.53,92.77,98.58,99.73,99.94,99.99
"Elective 4",0.0,0.0,0.0,0.0,0.27,7.62,54.05,89.03,97.71,99.55,99.9,99.98
"MGMT 328",0.0,0.0,0.0,0.0,0.01,3.19,38.84,83.3,96.55,99.32,99.86,99.96
"MGMT 443",0.0,0.0,0.0,0.0,0.0,0.07,21.21,73.05,93.57,98.52,99.67,99.94
"MGMT 449",0.0,0.0,0.0,0.0,0.0,0.0,11.01,64.08,91.06,98.01,99.53,99.89
"MGMT 498",0.0,0.0,0.0,0.0,0.0,0.0,4.52,49.56,84.68,96.07,98.97,99.78
"Elective",0.0,0.0,0.0,0.0,0.0,0.39,2.23,32.59,79.54,95.52,99.1,99.82
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.1,15.19,58.18,86.93,96.61,99.23
