"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"DANC 1000",80.13,95.98,99.18,99.84,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"DANC 1210",79.78,96.08,99.23,99.83,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"AREA 2",79.86,95.97,99.14,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ART 2200",80.02,96.0,99.22,99.82,99.96,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"DANC 1200",79.9,95.94,99.21,99.84,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"DANC 1100",79.84,95.89,99.15,99.83,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"DANC 1950",80.04,96.02,99.21,99.85,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"AREA 3",80.19,96.03,99.16,99.82,99.96,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"DANC 2100",0.0,79.95,96.08,99.2,99.84,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"DANC 2200",0.0,79.85,95.99,99.22,99.85,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"DANC 1800",0.0,79.49,95.95,99.15,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"BIOS 1120",0.0,76.9,95.39,99.04,99.78,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"BIOS 1100",0.0,74.27,94.87,98.97,99.79,99.96,99.99,99.99,100.0,100.0,100.0,100.0
"MUS 1500",0.0,54.18,90.93,98.18,99.63,99.93,99.98,100.0,100.0,100.0,100.0,100.0
"DANC 1960",0.0,42.2,88.3,97.64,99.49,99.89,99.98,99.99,100.0,100.0,100.0,100.0
"DANC 1850",0.0,13.27,82.53,96.49,99.28,99.86,99.97,100.0,100.0,100.0,100.0,100.0
"DANC 3100",0.0,0.0,78.83,95.85,99.22,99.85,99.97,99.99,100.0,100.0,100.0,100.0
"DANC 3200",0.0,0.0,77.17,95.52,99.07,99.79,99.96,100.0,100.0,100.0,100.0,100.0
"AREA 4",0.0,0.0,69.35,93.82,98.75,99.77,99.96,99.99,100.0,100.0,100.0,100.0
"DANC 1250",0.0,0.0,61.45,92.22,98.42,99.69,99.94,99.99,100.0,100.0,100.0,100.0
"DANC 2800",0.0,0.0,8.19,64.93,89.52,97.26,99.33,99.82,99.96,99.99,100.0,100.0
"DANC 1450",0.0,0.0,31.94,85.85,97.13,99.45,99.91,99.98,100.0,100.0,100.0,100.0
"DANC 2250",0.0,0.0,29.17,84.58,96.98,99.41,99.89,99.97,100.0,100.0,100.0,100.0
"DANC 2300",0.0,0.0,5.8,77.11,95.42,99.13,99.83,99.96,99.99,100.0,100.0,100.0
"DANC 2850",0.0,0.0,0.0,71.88,94.26,98.82,99.77,99.94,99.99,100.0,100.0,100.0
"DANC 3800",0.0,0.0,0.0,6.51,53.42,82.3,94.31,98.35,99.51,99.87,99.97,99.99
"DANC 3300",0.0,0.0,0.0,64.8,92.88,98.59,99.74,99.96,100.0,100.0,100.0,100.0
"DANC 3450",0.0,0.0,0.0,24.17,73.54,92.33,98.03,99.52,99.89,99.97,99.99,100.0
"AREA 7",0.0,0.0,0.0,40.27,86.22,97.3,99.47,99.91,99.97,100.0,100.0,100.0
"DANC 2950",0.0,0.0,0.0,9.32,75.51,95.08,99.03,99.8,99.96,100.0,100.0,100.0
"DANC 4400",0.0,0.0,0.0,23.63,75.7,95.17,99.06,99.82,99.97,100.0,100.0,100.0
"AREA 5",0.0,0.0,0.0,0.0,53.78,90.24,98.12,99.6,99.92,99.98,100.0,100.0
"DANC 3890",0.0,0.0,0.0,0.0,48.31,88.68,97.69,99.53,99.91,99.99,100.0,100.0
"DANC 2450",0.0,0.0,0.0,0.0,20.38,78.37,95.2,98.99,99.79,99.95,99.99,100.0
"DANC 4800",0.0,0.0,0.0,0.0,1.94,40.38,73.72,90.11,96.73,98.93,99.7,99.92
"DANC 4890",0.0,0.0,0.0,0.0,19.43,76.65,95.29,99.07,99.8,99.96,99.99,100.0
"DANC 2960",0.0,0.0,0.0,0.0,4.15,65.07,92.8,98.55,99.69,99.94,99.99,100.0
"AREA 8",0.0,0.0,0.0,0.0,0.77,54.5,90.04,97.99,99.64,99.93,99.98,100.0
"DANC 4100",79.94,85.77,90.16,92.94,94.86,98.06,99.59,99.92,99.99,100.0,100.0,100.0
"DANC 4200",0.0,23.24,42.14,55.55,66.25,86.79,97.14,99.45,99.91,99.98,100.0,100.0
"DANC 4650",0.0,0.0,0.0,0.0,0.05,40.84,86.27,97.18,99.44,99.87,99.96,100.0
"DANC 4450",0.0,0.0,6.24,15.4,26.46,62.69,91.61,98.31,99.68,99.95,99.99,100.0
"DANC 4250",0.0,0.0,0.0,1.56,5.24,39.83,85.65,97.14,99.42,99.89,99.97,99.99
"DANC 4600",0.0,0.0,0.0,0.0,0.4,27.84,81.71,96.26,99.24,99.85,99.97,99.99
"DANC 4000",0.0,0.0,0.0,0.0,0.0,20.88,78.83,95.58,99.15,99.82,99.96,99.99
"DANC 4300",0.0,0.0,0.0,0.0,0.0,16.09,76.3,95.2,99.0,99.81,99.96,99.99
"ENGL 1050",0.0,0.0,0.0,0.0,0.0,3.76,62.51,91.96,98.34,99.71,99.93,99.99
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.3,19.47,64.99,90.07,97.54,99.38,99.86
