"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"ENGL 110",79.93,96.02,99.22,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"Freshman Academic Choice",80.15,95.98,99.2,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MATH 162",80.15,96.0,99.19,99.85,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"CHEM 121",79.93,95.86,99.18,99.83,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"CHEM 123L",80.12,96.08,99.24,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"Second Language",79.95,96.04,99.23,99.85,99.98,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ENGL 120",0.0,63.93,89.68,97.28,99.34,99.85,99.96,99.99,100.0,100.0,100.0,100.0
"CHEM 122",0.0,51.0,83.86,95.58,98.83,99.69,99.93,99.99,100.0,100.0,100.0,100.0
"CHEM 124L",0.0,51.45,83.91,95.55,98.87,99.74,99.93,99.99,100.0,100.0,100.0,100.0
"BIOL 201L",0.0,63.6,89.49,97.25,99.31,99.81,99.96,100.0,100.0,100.0,100.0,100.0
"MATH 163",0.0,62.48,89.45,97.24,99.34,99.84,99.96,99.99,100.0,100.0,100.0,100.0
"BIOL 202L",0.0,0.0,50.78,81.92,94.19,98.3,99.5,99.86,99.96,99.99,100.0,100.0
"CHEM 301",0.0,0.0,40.87,75.28,91.53,97.39,99.22,99.79,99.95,99.99,100.0,100.0
"CHEM 303L",0.0,0.0,40.63,75.41,91.53,97.4,99.23,99.79,99.95,99.99,100.0,100.0
"PHYC 151",0.0,60.35,90.47,98.07,99.65,99.92,99.99,100.0,100.0,100.0,100.0,100.0
"PHYC 151L",0.0,23.48,79.94,95.96,99.21,99.85,99.97,99.99,100.0,100.0,100.0,100.0
"ENGL 219",0.0,0.0,44.46,80.48,93.95,98.21,99.53,99.87,99.97,99.99,100.0,100.0
"PHYC 152",0.0,0.0,38.36,79.76,94.51,98.61,99.65,99.92,99.98,99.99,100.0,100.0
"PHYC 152L",0.0,0.0,32.16,78.16,94.14,98.6,99.68,99.93,99.98,100.0,100.0,100.0
"CHEM 302",0.0,0.0,0.0,32.33,66.69,86.47,95.24,98.43,99.53,99.86,99.96,99.99
"CHEM 304L",0.0,0.0,0.0,31.61,66.59,86.51,95.2,98.43,99.5,99.86,99.96,99.99
"CHEM 253L",0.0,0.0,0.0,50.11,83.94,95.37,98.7,99.64,99.92,99.99,100.0,100.0
"Fine Arts Core",0.0,10.24,33.59,71.29,93.63,98.76,99.76,99.95,99.99,100.0,100.0,100.0
"BIOC 445",0.0,0.0,0.0,0.0,25.17,58.37,80.87,92.43,97.33,99.13,99.72,99.92
"CHEM 315",0.0,0.0,0.0,12.66,59.17,85.93,95.73,98.78,99.67,99.92,99.97,99.99
"Humanities Core",0.0,0.0,7.26,36.91,79.7,95.79,99.15,99.83,99.97,99.99,100.0,100.0
"Social & Behavioral Science",0.0,0.0,1.34,14.59,62.24,91.36,98.21,99.64,99.93,99.99,99.99,100.0
"Upper Division Elective",0.0,0.0,0.18,6.28,42.26,85.09,96.93,99.35,99.89,99.99,100.0,100.0
"BIOC 446",0.0,0.0,0.0,0.0,0.0,19.09,50.48,74.73,88.91,95.64,98.44,99.47
"BIOC 448L",0.0,0.0,0.0,0.0,0.0,16.84,49.82,74.68,88.91,95.67,98.41,99.47
"BIOC 451L",0.0,0.0,0.0,0.0,0.0,12.89,48.09,74.17,88.74,95.67,98.42,99.45
"Humanities Core",0.0,0.0,0.0,2.83,22.82,65.25,90.22,97.96,99.6,99.93,99.98,99.99
"Social & Behavioral Science",0.0,0.0,0.0,0.92,8.99,49.67,83.17,96.26,99.24,99.84,99.97,99.99
"BIOC Upper Division Elective",0.0,0.0,0.0,0.21,3.24,34.34,72.72,93.42,98.71,99.72,99.94,99.99
"Upper Division Elective",0.0,0.0,0.0,0.04,1.54,20.59,60.05,89.37,97.84,99.57,99.91,99.98
"Upper Division Elective",0.0,0.0,0.0,0.0,0.7,10.3,45.55,83.21,96.35,99.28,99.85,99.97
"Upper Division Elective",0.0,0.0,0.0,0.0,0.28,3.98,32.4,75.75,94.46,98.9,99.77,99.96
"Upper Division Elective",0.0,0.0,0.0,0.0,0.09,1.38,20.38,65.48,91.47,98.24,99.65,99.93
"BIOC Upper Division Elective",0.0,0.0,0.0,0.0,0.01,0.52,11.08,53.22,87.31,97.34,99.46,99.9
"Elective Any Level",0.0,0.0,0.0,0.0,0.01,0.2,5.14,40.2,81.52,95.97,99.18,99.83
"Elective Any Level",0.0,0.0,0.0,0.0,0.0,0.09,1.93,27.88,74.17,94.09,98.83,99.76
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.02,8.56,45.56,79.73,94.01,98.33
