"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"ANTH1500",80.13,96.12,99.25,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MUS1500",80.01,95.95,99.15,99.84,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"STAT1600",80.19,96.02,99.18,99.82,99.98,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ENGL1050",80.0,96.05,99.21,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"PSY1000",80.04,96.0,99.24,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"PSY1400",0.0,63.97,89.66,97.37,99.4,99.91,100.04,100.07,100.07,100.08,100.08,100.08
"PSY1401",0.0,63.83,89.62,97.29,99.31,99.81,99.96,99.99,100.0,100.0,100.0,100.0
"SPAN1000",0.0,76.69,95.29,99.11,99.81,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"HIST2100",0.0,69.71,93.83,98.75,99.76,99.95,99.99,100.0,100.0,100.0,100.0,100.0
"PSY3000",0.0,0.0,40.74,75.36,91.52,97.36,99.2,99.78,99.93,99.98,99.99,100.0
"PSY3550(lab)",0.0,39.38,87.33,97.5,99.49,99.9,99.98,100.0,100.0,100.0,100.0,100.0
"SOC2000",0.0,6.68,78.41,95.63,99.15,99.83,99.96,100.0,100.0,100.0,100.0,100.0
"SPAN1010",0.0,0.0,55.96,87.37,96.77,99.19,99.82,99.96,99.99,100.0,100.0,100.0
"PSY2500(Elect1)",0.0,0.0,50.78,89.09,97.64,99.44,99.89,99.98,100.0,100.0,100.0,100.0
"PSY3300",0.0,0.0,0.0,32.44,66.73,86.51,95.22,98.39,99.49,99.84,99.95,99.98
"SOC2600",0.0,0.0,21.52,81.02,96.06,99.2,99.83,99.97,100.0,100.0,100.0,100.0
"SOC2820",0.0,0.0,1.82,69.5,93.63,98.74,99.73,99.94,99.99,100.0,100.0,100.0
"SOC3200",0.0,0.0,0.64,55.89,90.33,97.98,99.59,99.92,99.98,100.0,100.0,100.0
"SPAN2000",0.0,0.0,0.0,21.88,72.46,91.91,97.72,99.42,99.88,99.97,99.99,100.0
"PSY3260(Elect2)",0.0,0.0,0.0,23.64,78.39,95.61,99.13,99.8,99.96,99.99,100.0,100.0
"PSY3990",0.0,0.0,48.6,74.42,93.59,98.65,99.73,99.93,99.98,100.0,100.0,100.0
"PSY3600",0.0,0.0,0.0,0.0,23.33,57.92,80.83,92.3,97.23,99.05,99.66,99.9
"STAT2830",0.0,0.0,0.0,0.46,58.15,90.69,98.05,99.59,99.91,99.99,100.0,100.0
"HNRS3201",0.0,0.0,0.0,0.24,40.4,85.17,97.09,99.45,99.91,99.98,100.0,100.0
"HNRS4101",0.0,0.0,0.0,0.07,22.27,77.12,95.23,99.06,99.82,99.96,99.99,100.0
"PSY3440(Elect3)",0.0,0.0,0.0,0.0,9.64,67.27,92.8,98.54,99.69,99.95,100.0,100.0
"PSY3620",0.0,0.0,0.0,0.0,2.39,55.31,89.54,97.87,99.61,99.92,99.99,100.0
"SOC3640",0.0,0.0,0.0,0.0,0.06,41.38,84.7,96.77,99.37,99.88,99.97,100.0
"LANG3500",0.0,0.0,0.0,0.0,0.03,27.31,78.21,95.29,99.07,99.83,99.96,99.99
"SOC3630",0.0,0.0,0.0,0.0,0.0,11.73,61.35,87.91,96.32,98.86,99.65,99.89
"PSY4600",0.0,0.0,0.0,0.0,0.02,8.52,61.61,90.82,98.05,99.64,99.94,99.99
"SOC3650",0.0,0.0,0.0,0.0,0.0,2.64,49.86,86.9,97.25,99.46,99.88,99.98
"SOC4120",0.0,0.0,0.0,0.0,0.0,0.45,36.81,81.8,96.15,99.21,99.83,99.97
"GEOG3810",0.0,0.0,0.0,0.0,0.0,0.01,24.41,74.83,94.33,98.83,99.78,99.95
"PSY3970",0.0,0.0,0.0,0.0,0.0,0.0,3.76,40.81,75.18,91.32,97.28,99.17
"SOC4220",0.0,0.0,0.0,0.0,0.0,0.0,13.39,64.57,91.41,98.17,99.63,99.94
"SOC4540",0.0,0.0,0.0,0.0,0.0,0.0,5.08,51.16,86.92,97.32,99.45,99.9
"ANTH2500 ",0.0,0.0,0.0,0.0,0.0,0.0,0.1,24.69,73.84,93.95,98.73,99.78
"PSY3844",0.0,0.0,0.0,0.0,0.0,0.0,0.69,26.53,71.79,93.24,98.55,99.7
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.76,40.88,77.14,93.4,98.37
