"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"ENGL 110",79.97,95.97,99.2,99.84,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"MATH 150",79.97,96.02,99.21,99.85,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"CHEM 121",80.07,95.96,99.2,99.85,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"CHEM 123L",79.99,96.03,99.21,99.84,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"Social Behavioral Science",80.14,96.01,99.16,99.83,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"Freshman Academic Choice",79.87,96.09,99.17,99.82,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"BIOL 201L",0.0,64.09,89.57,97.29,99.38,99.85,99.96,99.99,100.0,100.0,100.0,100.0
"CHEM 122",0.0,63.95,89.56,97.24,99.32,99.83,99.97,100.0,100.0,100.0,100.0,100.0
"CHEM 124L",0.0,64.0,89.57,97.27,99.32,99.82,99.96,100.0,100.0,100.0,100.0,100.0
"MATH 180",0.0,63.45,89.49,97.33,99.36,99.85,99.97,99.99,100.0,100.0,100.0,100.0
"ENGL 120",0.0,62.22,89.18,97.29,99.31,99.86,99.97,99.99,100.0,100.0,100.0,100.0
"Second Language",0.0,56.72,91.14,98.19,99.61,99.9,99.98,100.0,100.0,100.0,100.0,100.0
"BIOL 202L",0.0,0.0,48.88,80.85,93.94,98.25,99.55,99.89,99.97,99.99,100.0,100.0
"CHEM 301",0.0,0.0,50.41,81.75,94.11,98.25,99.51,99.88,99.98,100.0,100.0,100.0
"CHEM 303L",0.0,0.0,50.31,81.81,94.09,98.22,99.51,99.88,99.98,100.0,100.0,100.0
"MATH 181",0.0,0.0,49.41,81.46,94.19,98.27,99.49,99.86,99.97,100.0,100.0,100.0
"ENGL 219",0.0,0.0,47.0,80.78,93.92,98.24,99.52,99.87,99.97,99.99,100.0,100.0
"BIOL 203",0.0,0.0,0.0,37.38,71.36,89.2,96.42,98.88,99.69,99.91,99.98,99.99
"BIOL 203L",0.0,0.0,0.0,37.33,71.43,89.2,96.33,98.85,99.67,99.91,99.98,100.0
"PHYC 151",0.0,0.0,29.33,76.14,93.1,98.09,99.52,99.87,99.96,99.99,100.0,100.0
"Minor Requirement",0.0,14.35,28.97,79.05,95.62,99.12,99.82,99.96,99.99,100.0,100.0,100.0
"Fine Arts",0.0,8.11,11.44,60.79,91.6,98.24,99.68,99.95,99.99,100.0,100.0,100.0
"Social Behavioral Science",0.0,0.0,3.61,35.11,84.82,96.96,99.4,99.88,99.98,99.99,100.0,100.0
"BIOL 204",0.0,0.0,0.0,0.0,23.42,56.23,79.59,91.75,96.94,98.97,99.67,99.91
"BIOL 204L",0.0,0.0,0.0,0.0,22.57,55.99,79.55,91.74,96.9,98.97,99.67,99.91
"BIOC 423",0.0,0.0,0.0,5.77,59.23,87.01,96.04,98.8,99.66,99.92,99.99,100.0
"Minor Requirement",0.0,0.0,1.28,7.73,60.04,91.15,98.16,99.64,99.93,99.98,100.0,100.0
"PHYC 152",0.0,0.0,0.3,2.99,40.55,85.32,97.03,99.47,99.91,99.99,100.0,100.0
"Humanities",0.0,0.0,0.0,1.0,21.14,76.68,95.19,99.03,99.79,99.96,100.0,100.0
"BIOL Elective",0.0,0.0,0.0,0.24,6.97,62.12,91.71,98.33,99.66,99.94,99.98,99.99
"BIOL Elective",0.0,0.0,0.0,0.04,1.23,44.9,86.46,97.19,99.41,99.88,99.98,100.0
"Minor Requirement",0.0,0.0,0.0,0.19,2.02,31.74,80.65,95.99,99.16,99.82,99.96,99.99
"Minor Requirement",0.0,0.0,0.0,0.0,0.2,13.53,70.26,93.57,98.67,99.73,99.94,99.98
"BIOL Elective",0.0,0.0,0.0,0.0,0.03,4.46,56.7,89.75,97.93,99.56,99.9,99.98
"BIOL Elective",0.0,0.0,0.0,0.0,0.0,0.81,41.28,84.54,96.78,99.35,99.85,99.96
"Upper Division BIOL Elective",0.0,0.0,0.0,0.0,0.0,0.15,28.32,78.42,95.35,99.05,99.8,99.95
"Minor Requirement",0.0,0.0,0.0,0.0,0.0,0.03,18.27,71.26,93.58,98.69,99.75,99.94
"Second Language",0.0,0.0,0.0,0.0,0.0,0.01,8.92,61.01,90.66,98.07,99.58,99.9
"Upper Division Elective",0.0,0.0,0.0,0.0,0.0,0.0,3.37,49.32,86.89,97.37,99.5,99.89
"Upper Division BIOL Elective",0.0,0.0,0.0,0.0,0.0,0.0,0.86,36.89,81.8,96.07,99.15,99.85
"Minor Requirement",0.0,0.0,0.0,0.0,0.0,0.0,0.1,25.26,74.99,94.37,98.87,99.76
"Humanities",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.69,67.03,92.09,98.38,99.69
"Upper Division Elective",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.55,57.34,89.17,97.73,99.54
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16,32.85,73.32,92.77,98.34
