"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"BIOS 1600",79.94,96.03,99.2,99.86,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"MATH 1110",79.98,95.93,99.2,99.84,99.96,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"ARAB 1000",79.92,95.98,99.16,99.84,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ENGL 1050",79.85,96.06,99.25,99.86,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"BIOS 1610",0.0,63.86,89.66,97.25,99.35,99.83,99.95,99.99,99.99,100.0,100.0,100.0
"CHEM 1100",0.0,64.07,89.5,97.2,99.31,99.82,99.97,99.99,100.0,100.0,100.0,100.0
"CHEM 1110",0.0,63.84,89.43,97.22,99.35,99.85,99.97,99.99,100.0,100.0,100.0,100.0
"STAT 2600",80.07,95.33,99.03,99.81,99.95,99.98,100.0,100.0,100.0,100.0,100.0,100.0
"PHIL 3250",0.0,74.64,94.87,99.05,99.83,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"BIOS 1620",0.0,37.54,84.04,96.12,99.07,99.78,99.95,99.99,100.0,100.0,100.0,100.0
"CHEM 1120",0.0,0.0,40.74,75.64,92.04,97.95,99.83,100.38,100.54,100.57,100.58,100.58
"CHEM 1130",0.0,0.0,40.19,75.14,91.33,97.27,99.21,99.79,99.96,99.99,100.0,100.0
"MATH 1220",0.0,20.76,78.65,95.53,99.15,99.82,99.97,99.99,100.0,100.0,100.0,100.0
"MUS 1480",0.0,8.06,61.24,91.62,98.32,99.65,99.93,99.99,100.0,100.0,100.0,100.0
"BIOS 2110",0.0,0.0,23.42,74.58,92.63,98.03,99.45,99.86,99.97,99.99,100.0,100.0
"CHEM 3750",0.0,0.0,0.0,25.6,60.36,83.35,94.38,98.85,100.41,100.91,101.07,101.12
"CHEM 3760",0.0,0.0,0.0,24.32,59.02,82.09,93.25,97.73,99.29,99.8,99.94,99.99
"RUSS 3100",0.0,45.87,68.94,90.29,97.94,99.58,99.91,99.98,100.0,100.0,100.0,100.0
"ARAB 1010",0.0,0.0,5.85,62.23,91.45,98.35,99.66,99.94,99.98,100.0,100.0,100.0
"BIOS 2300",0.0,0.0,0.0,16.95,60.35,84.64,94.68,98.3,99.49,99.86,99.96,99.99
"BIOS 2500",0.0,0.0,0.0,4.87,51.29,82.08,94.09,98.18,99.46,99.85,99.96,99.99
"CHEM 3770",0.0,0.0,0.0,0.0,15.21,45.89,72.3,88.5,96.36,99.73,100.94,101.38
"CHEM 3780",0.0,0.0,0.0,0.0,13.42,43.89,70.59,86.82,94.78,98.07,99.35,99.78
"PSCI 2000",0.0,0.0,15.89,54.53,84.17,96.34,99.25,99.84,99.98,99.99,100.0,100.0
"BIOS 3500",0.0,0.0,0.0,13.28,47.48,84.58,96.66,99.35,99.86,99.97,99.99,100.0
"CHEM 3550",0.0,0.0,0.0,0.0,0.0,8.64,32.18,58.71,78.64,90.3,96.08,98.62
"CHEM 3560",0.0,0.0,0.0,0.0,0.0,8.44,31.89,58.32,78.43,90.05,95.92,98.45
"ANTH  3390",0.0,0.0,0.09,18.01,53.97,84.46,96.41,99.29,99.85,99.98,100.0,100.0
"BIOS 3120",0.0,0.0,0.0,0.32,15.49,59.61,89.41,97.84,99.56,99.9,99.97,100.0
"BIOS 3000",0.0,0.0,0.0,0.0,1.47,29.81,68.9,88.93,96.31,98.84,99.64,99.9
"PHYS 1130",0.0,0.0,5.96,36.49,85.69,149.02,203.95,220.39,222.27,222.43,222.46,222.46
"PHYS 1140",0.0,0.0,0.0,0.0,4.59,24.7,69.49,92.53,98.46,99.68,99.94,99.99
"BIOS 4970",0.0,0.0,0.0,0.04,1.65,12.3,55.59,87.79,97.31,99.48,99.89,99.98
"PHYS 1150",0.0,0.0,0.0,0.0,2.16,18.67,70.68,118.84,134.0,136.96,137.54,137.7
"PHYS 1160",0.0,0.0,0.0,0.0,0.07,3.56,31.71,74.91,93.7,98.61,99.71,99.94
"PEGN 1710",0.0,5.24,39.27,43.99,44.89,48.31,62.17,86.24,96.74,99.33,99.88,99.97
"ENVS 1000",0.0,0.0,0.0,0.0,0.09,2.26,19.34,65.95,91.27,98.21,99.65,99.92
"CS 1000",0.0,0.0,0.0,0.0,0.02,0.88,10.1,54.69,87.4,97.32,99.44,99.89
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.82,17.21,53.5,80.76,92.89,97.48
