"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"ENGL 110",80.02,95.9,99.24,99.84,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"MATH 162",80.09,96.13,99.25,99.85,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"CBE 101",79.89,95.93,99.2,99.84,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"CHEM 121",80.03,95.94,99.17,99.84,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"CHEM 123L",79.92,96.03,99.21,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"Humanities Core",79.89,95.85,99.17,99.83,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ENGL 120",0.0,64.28,89.63,97.36,99.36,99.86,99.98,100.0,100.0,100.0,100.0,100.0
"MATH 163",0.0,63.82,89.79,97.27,99.34,99.86,99.98,100.0,100.0,100.0,100.0,100.0
"PHYC 160",79.97,96.07,99.22,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"CHEM 122",0.0,51.26,83.99,95.48,98.84,99.75,99.94,99.99,100.0,100.0,100.0,100.0
"CHEM 124L",0.0,51.16,83.95,95.5,98.82,99.72,99.92,99.99,100.0,100.0,100.0,100.0
"Social Science",0.0,77.46,95.47,99.1,99.82,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"CBE 251",0.0,0.0,31.65,67.43,87.74,95.95,98.82,99.68,99.92,99.98,100.0,100.0
"MATH 264",0.0,0.0,50.98,81.97,94.35,98.36,99.57,99.89,99.98,99.99,100.0,100.0
"PHYC 161",0.0,42.54,82.22,95.21,98.8,99.72,99.94,99.99,100.0,100.0,100.0,100.0
"CHEM 301",0.0,0.0,38.92,74.94,91.44,97.4,99.27,99.8,99.95,99.99,100.0,100.0
"CHEM 303L",0.0,0.0,38.79,74.85,91.34,97.3,99.28,99.8,99.96,99.99,100.0,100.0
"CBE 253",0.0,0.0,0.0,25.16,59.01,81.98,93.1,97.64,99.28,99.79,99.94,99.99
"MATH 316",0.0,0.0,0.0,22.72,57.14,81.17,92.97,97.62,99.26,99.8,99.95,99.99
"CBE 302",0.0,0.0,0.0,24.19,58.69,81.83,93.16,97.68,99.28,99.78,99.94,99.99
"Advanced Science Concentration",0.0,19.31,72.4,91.41,98.16,99.6,99.91,99.98,99.99,100.0,100.0,100.0
"ECON 105",0.0,1.61,45.52,80.47,95.67,99.13,99.81,99.96,100.0,100.0,100.0,100.0
"CBE 311",0.0,0.0,0.0,0.0,19.95,51.17,75.75,89.59,96.04,98.66,99.55,99.86
"CBE 317",0.0,0.0,0.0,0.0,14.35,43.28,69.76,86.29,94.53,98.07,99.37,99.8
"CBE 361",0.0,0.0,18.74,65.03,90.78,98.06,99.59,99.92,99.98,100.0,100.0,100.0
"CBE 318L",0.0,0.0,0.0,0.0,15.09,44.34,70.61,86.73,94.61,98.04,99.32,99.78
"ENGL 219",0.0,0.0,3.95,45.4,80.76,95.39,98.91,99.75,99.94,99.99,100.0,100.0
"Advanced Science Concentration",0.0,0.0,1.04,31.56,71.81,93.55,98.75,99.75,99.95,99.99,100.0,100.0
"CBE 312",0.0,0.0,0.0,0.0,0.0,15.83,44.04,69.37,85.67,93.96,97.7,99.17
"CBE 321",0.0,0.0,0.0,0.0,7.84,41.03,69.73,86.52,94.63,98.08,99.35,99.78
"Advanced Science Concentration",0.0,0.0,0.02,16.03,53.63,85.01,96.64,99.32,99.86,99.98,100.0,100.0
"CBE 319L",0.0,0.0,0.0,0.0,0.0,14.62,43.73,69.45,85.66,93.95,97.69,99.14
"CBE 371",0.0,0.0,0.0,6.54,38.51,74.06,93.77,98.72,99.75,99.95,99.99,100.0
"ENG 301",0.0,66.44,88.56,95.34,97.61,99.33,99.84,99.97,100.0,100.0,100.0,100.0
"ENG 302",0.0,10.25,55.07,79.07,89.01,96.82,99.3,99.88,99.97,99.99,100.0,100.0
"CBE 418",0.0,0.0,0.0,0.0,0.0,0.0,10.15,34.54,60.36,79.58,90.52,96.07
"CBE 461",0.0,0.0,0.0,0.0,0.0,5.2,30.56,58.19,78.38,90.37,96.13,98.56
"CBE 493L",0.0,0.0,0.0,0.0,0.0,0.0,10.01,34.6,60.47,79.6,90.63,96.12
"CBE 454",0.0,0.0,0.0,0.0,0.0,4.84,32.84,62.28,81.42,91.98,96.84,98.88
"CBE 486",0.0,0.0,1.34,22.42,52.13,78.71,93.95,98.75,99.74,99.96,99.99,100.0
"Technical Elective",0.0,0.0,0.0,0.51,17.99,50.43,79.96,95.13,98.92,99.78,99.96,99.99
"CBE 419L",0.0,0.0,0.0,0.0,0.0,0.0,4.11,25.18,51.59,72.97,86.81,94.26
