"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"MATH 11A",80.13,95.97,99.2,99.81,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"CHEM 1A",80.03,95.93,99.21,99.83,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MATH 11B",0.0,64.05,89.61,97.22,99.28,99.82,99.96,99.99,100.0,100.0,100.0,100.0
"CHEM 1BM",80.04,95.98,99.17,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MATH 21",0.0,61.58,89.07,97.18,99.29,99.82,99.95,99.99,100.0,100.0,100.0,100.0
"CHEM 1CN",0.0,51.19,85.13,96.23,99.06,99.77,99.94,99.99,100.0,100.0,100.0,100.0
"CHEM 8AL",0.0,0.0,41.01,76.08,92.09,97.65,99.37,99.83,99.95,99.99,100.0,100.0
"PHYS 6AL",0.0,15.3,75.89,94.87,98.98,99.79,99.95,99.99,100.0,100.0,100.0,100.0
"CHEM 8BM",0.0,0.0,0.0,32.87,67.47,87.13,95.53,98.57,99.56,99.87,99.96,99.99
"MATH 22",0.0,0.0,37.98,77.52,93.18,98.03,99.46,99.85,99.97,99.99,100.0,100.0
"CHEM 110L",0.0,0.0,0.0,0.0,26.42,59.43,81.67,92.78,97.4,99.15,99.74,99.91
"PHYS 6BM",0.0,0.0,0.0,53.52,85.07,95.89,98.93,99.75,99.93,99.99,100.0,100.0
"CHEM 163A",0.0,0.0,1.34,28.53,72.69,92.71,98.27,99.55,99.9,99.97,99.99,100.0
"PHYS 6CN",0.0,0.0,0.0,0.15,36.41,76.0,93.24,98.39,99.66,99.93,99.99,100.0
"CHEM 163B",0.0,0.0,0.0,0.0,0.12,29.21,66.3,87.69,96.2,98.94,99.72,99.94
"CHEM 164",0.0,0.0,0.0,0.0,0.1,25.85,64.49,87.16,96.09,98.97,99.74,99.92
"CHEM 163C",0.0,0.0,0.0,0.0,0.0,0.0,22.29,56.72,81.21,93.09,97.78,99.33
"CHEM Elective 1",0.0,0.0,0.0,0.0,0.0,18.79,49.93,74.82,89.18,95.79,98.45,99.49
"CHEM 103",0.0,0.0,0.0,0.0,8.74,26.76,53.84,80.55,93.76,98.22,99.56,99.87
"CHEM 151AL",0.0,0.0,0.0,0.0,0.0,2.15,15.71,51.31,80.78,93.81,98.18,99.5
"CHEM Elective 2",0.0,0.0,0.0,0.0,0.0,0.0,4.19,31.8,67.89,88.41,96.42,98.97
"CHEM 146 LAB",0.0,0.0,0.0,0.0,0.0,0.0,1.64,12.73,43.53,73.33,89.72,96.54
"Comprehensive Req",79.94,96.04,99.22,99.84,99.98,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,32.86,65.55,86.17,95.22
