"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"MATH 1220",79.92,96.06,99.21,99.84,99.95,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"GEOS 1300",79.9,95.95,99.23,99.83,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"CCE 1001",79.93,95.93,99.16,99.83,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"IEE 1020",79.93,96.05,99.19,99.85,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"EDMM 1420",80.03,96.01,99.2,99.86,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MATH 1230",0.0,64.05,89.61,97.29,99.36,99.85,99.96,99.99,100.0,100.0,100.0,100.0
"CHEM 1100",79.92,160.07,163.4,164.08,164.18,164.21,164.21,164.21,164.21,164.21,164.21,164.21
"CHEM 1110",0.0,80.03,96.07,99.25,99.85,99.97,100.0,100.0,100.0,100.0,100.0,100.0
"PHYS 2050",0.0,63.42,94.28,102.1,104.2,104.7,104.82,104.86,104.87,104.87,104.87,104.87
"PHYS 2060",0.0,57.45,88.24,97.07,99.3,99.79,99.95,99.99,100.0,100.0,100.0,100.0
"CS 1022/CS 1023",0.0,61.61,92.22,98.45,99.68,99.92,99.98,100.0,100.0,100.0,100.0,100.0
"CCE 1002",0.0,58.29,91.53,98.31,99.66,99.92,99.98,100.0,100.0,100.0,100.0,100.0
"MATH 2720",0.0,0.0,50.86,81.96,94.24,98.32,99.56,99.89,99.97,99.99,100.0,100.0
"PHYS 2070",0.0,0.0,40.6,76.35,92.67,98.57,100.49,101.04,101.2,101.23,101.24,101.25
"PHYS 2080",0.0,0.0,38.99,74.81,91.3,97.35,99.29,99.81,99.95,99.98,100.0,100.0
"CCE 2360",0.0,0.0,68.63,92.48,98.24,99.56,99.89,99.98,99.99,100.0,100.0,100.0
"IEE 2610",0.0,0.0,64.39,91.94,98.2,99.58,99.91,99.99,100.0,100.0,100.0,100.0
"ME 2560",0.0,0.0,7.88,62.65,87.39,96.18,98.91,99.69,99.91,99.98,100.0,100.0
"MATH 3740",0.0,0.0,0.0,39.65,73.61,90.06,96.66,98.99,99.72,99.92,99.98,99.99
"CHEG 2611",0.0,0.0,3.91,63.05,89.55,97.19,99.27,99.82,99.97,99.99,100.0,100.0
"ME 2580",0.0,0.0,0.0,6.31,51.52,80.11,92.96,97.72,99.25,99.75,99.93,99.99
"ME 2570",0.0,0.0,0.0,5.59,50.66,80.02,93.02,97.74,99.29,99.76,99.94,99.99
"General Education-Area 1",0.0,14.06,26.78,65.99,91.48,98.26,99.67,99.93,99.99,100.0,100.0,100.0
"CCE 3360",0.0,0.0,0.0,0.0,4.47,41.44,72.29,88.88,96.0,98.63,99.54,99.86
"IEE 3100",0.0,0.0,0.0,24.83,74.12,93.79,98.54,99.68,99.93,99.98,100.0,100.0
"ME 3560",0.0,0.0,0.0,0.0,3.31,35.04,67.04,86.01,94.79,98.22,99.39,99.82
"ECON 2010",0.0,8.17,18.57,23.45,68.06,92.68,98.49,99.72,99.94,99.99,100.0,100.0
"PHIL 3160",0.0,0.0,5.02,10.62,48.57,86.56,97.28,99.42,99.89,99.97,99.99,100.0
"CCE 3080",0.0,0.0,0.0,0.0,1.03,36.4,71.15,88.74,95.97,98.6,99.52,99.86
"CCE 3300",0.0,0.0,0.0,3.02,24.29,68.54,92.22,98.23,99.6,99.92,99.98,100.0
"CCE 3330",0.0,0.0,0.0,0.0,0.0,23.0,66.62,87.62,95.63,98.57,99.53,99.87
"CCE 3860",0.0,0.0,0.0,0.0,0.0,13.85,61.54,86.36,95.39,98.45,99.5,99.86
"General Education-Area 4",0.0,0.0,2.7,6.37,10.2,30.66,68.01,92.28,98.36,99.67,99.93,99.99
"CCE 4300",0.0,0.0,0.0,0.0,0.52,14.4,51.1,82.94,95.17,98.65,99.69,99.93
"CCE 4400",0.0,0.0,0.0,0.0,0.0,0.0,8.76,46.02,75.21,89.97,96.25,98.7
"CCE 4830",0.0,0.0,0.0,0.0,0.0,0.0,7.77,43.41,73.8,89.55,96.19,98.69
"CCE Construction Elective",0.0,0.0,2.08,4.9,11.56,26.91,55.77,86.9,97.26,99.39,99.87,99.97
"CCE Elective",0.0,0.0,0.77,2.01,3.19,8.81,29.19,73.99,94.09,98.8,99.76,99.96
"CCE 4561",0.0,0.0,0.0,0.0,0.0,0.0,3.05,42.3,78.11,92.43,97.4,99.12
"CCE Structural Elective",0.0,0.0,0.0,0.84,1.81,4.15,13.32,48.17,85.24,96.91,99.36,99.87
"CCE 4850",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.97,27.19,58.01,79.93,91.64
"CCE Elective 2",0.0,0.0,0.0,0.41,0.98,1.86,8.22,33.14,77.25,94.78,98.95,99.77
"General Education-Area 8",0.0,26.44,44.07,58.32,71.81,80.69,88.85,94.46,98.5,99.68,99.94,99.99
"General Education-Area 3",0.0,0.0,0.0,0.21,0.46,0.82,4.38,19.6,66.72,91.81,98.33,99.64
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,15.12,48.6,76.31,90.55
