"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"BUS 1000",80.15,96.1,99.25,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"BUS 1750",80.01,96.0,99.2,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ENGL 1050",79.75,95.9,99.22,99.85,99.98,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"CIS 1020",80.19,95.97,99.18,99.84,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MATH 1160",79.82,96.02,99.25,99.83,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"STAT 2160",0.0,63.83,89.57,97.32,99.32,99.83,99.97,99.99,100.0,100.0,100.0,100.0
"ECON 2010",79.85,95.87,99.19,99.85,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"ACTY 2100",0.0,79.84,96.09,99.23,99.86,99.98,100.0,100.0,100.0,100.0,100.0,100.0
"AREA 1",0.0,78.28,95.58,99.09,99.81,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"COM 1000",0.0,70.42,94.03,98.82,99.75,99.94,99.99,100.0,100.0,100.0,100.0,100.0
"CIS 2600",0.0,45.99,85.86,96.47,99.18,99.81,99.95,99.99,100.0,100.0,100.0,100.0
"ECON 2020",0.0,32.63,85.85,97.21,99.46,99.91,99.97,99.99,100.0,100.0,100.0,100.0
"ACTY 2110",0.0,0.0,62.7,89.41,97.3,99.35,99.85,99.97,99.99,100.0,100.0,100.0
"MAJOR 1",0.0,0.0,74.46,94.93,98.98,99.78,99.96,99.99,100.0,100.0,100.0,100.0
"BUS 2200",0.0,0.0,65.02,92.86,98.52,99.74,99.96,99.99,100.0,100.0,100.0,100.0
"CIS 2700",0.0,0.0,45.98,87.76,97.34,99.43,99.86,99.96,99.99,100.0,100.0,100.0
"MAJOR 2",0.0,0.0,25.72,83.48,96.75,99.34,99.89,99.98,100.0,100.0,100.0,100.0
"MGMT 2500",0.0,0.0,7.28,76.09,95.05,98.95,99.79,99.96,99.99,100.0,100.0,100.0
"MKTG 2500",0.0,0.0,0.0,67.81,93.39,98.64,99.72,99.94,99.99,100.0,100.0,100.0
"BCM 3700",0.0,0.0,0.0,55.58,90.57,98.15,99.64,99.92,99.99,100.0,100.0,100.0
"AREA 2",0.0,0.0,0.0,38.23,86.25,97.34,99.47,99.89,99.97,99.99,100.0,100.0
"AREA 3",0.0,0.0,0.0,20.7,80.14,95.94,99.19,99.83,99.96,99.99,100.0,100.0
"CIS 3600",0.0,0.0,0.0,7.22,66.28,91.11,97.78,99.41,99.85,99.96,99.99,99.99
"BUS 3750",0.0,0.0,0.0,1.8,54.14,86.2,96.31,99.07,99.76,99.94,99.99,100.0
"FIN 3200",0.0,0.0,0.0,0.0,54.35,89.49,97.7,99.51,99.89,99.97,99.99,100.0
"LAW 3800",0.0,0.0,0.0,0.0,39.97,85.97,97.24,99.44,99.88,99.98,100.0,100.0
"AREA 4",0.0,0.0,0.0,0.0,23.12,79.71,95.83,99.2,99.84,99.97,100.0,100.0
"Elective 1",0.0,0.0,0.0,0.0,10.01,71.18,93.93,98.8,99.77,99.95,99.99,100.0
"BUS 4000",80.0,85.72,85.98,85.99,86.52,95.25,99.04,99.82,99.96,99.99,100.0,100.0
"AREA 5",0.0,0.0,0.0,0.0,2.43,58.58,90.86,98.23,99.65,99.93,99.99,100.0
"BUS 4500",0.0,0.0,0.0,0.0,0.0,33.53,75.78,92.87,98.06,99.5,99.88,99.96
"BUS 4750",0.0,0.0,0.0,0.0,0.27,26.61,71.25,90.67,97.3,99.23,99.8,99.94
"CIS 4600",0.0,0.0,0.0,0.0,0.0,23.11,73.98,92.95,98.11,99.49,99.87,99.96
"Elective 2",0.0,0.0,0.0,0.0,0.0,15.01,72.11,94.06,98.77,99.77,99.96,99.99
"CIS 4640",0.0,0.0,0.0,0.0,0.0,5.01,59.11,90.6,97.97,99.59,99.92,99.99
"Elective 3",0.0,0.0,0.0,0.0,0.0,1.69,46.11,86.71,97.25,99.46,99.88,99.98
"CHEM 1100",0.0,28.21,34.5,35.73,36.52,45.59,80.23,138.85,154.24,156.16,156.48,156.53
"CHEM 1110",0.0,0.0,0.0,0.0,0.0,0.03,19.03,73.22,94.05,98.83,99.73,99.94
"Elective 4",0.0,0.0,0.0,0.0,0.0,0.0,9.42,63.63,91.66,98.26,99.66,99.92
"CIS 4990",0.0,0.0,0.0,0.0,0.0,0.0,3.37,44.89,82.08,94.82,98.58,99.6
"AREA 7",0.0,0.0,0.0,0.0,0.0,0.0,1.43,40.63,83.53,96.49,99.31,99.86
"AREA 8",0.0,0.0,0.0,0.0,0.0,0.0,0.24,25.7,76.46,94.83,98.89,99.78
"Elective 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,69.17,93.14,98.63,99.72
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.76,41.66,78.98,94.54,98.68
