"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"CSELECTIVE",80.16,96.06,99.23,99.84,99.96,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"CS1110",79.93,95.99,99.21,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"MATH1220",79.82,95.98,99.2,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"IEE1020",79.98,96.0,99.21,99.83,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"CS1120",79.78,96.01,99.22,99.86,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"STAT2600",0.0,79.69,95.99,99.18,99.83,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"ECE2500",0.0,79.51,95.88,99.18,99.84,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"CS1110",0.0,60.45,88.91,97.21,99.27,99.82,99.95,99.98,100.0,100.0,100.0,100.0
"CS1310",0.0,39.15,84.55,96.25,99.09,99.8,99.96,99.99,100.0,100.0,100.0,100.0
"CS3500",0.0,54.24,90.45,98.1,99.66,99.92,99.98,100.0,100.0,100.0,100.0,100.0
"CS4430",0.0,6.59,76.56,94.64,98.83,99.73,99.93,99.99,100.0,100.0,100.0,100.0
"COM1040",0.0,0.0,72.62,94.51,98.83,99.78,99.96,99.99,100.0,100.0,100.0,100.0
"GENEDUII",0.0,0.0,57.71,91.25,98.27,99.66,99.92,99.98,99.99,100.0,100.0,100.0
"CS3310",0.0,0.0,35.04,85.74,97.19,99.41,99.88,99.98,99.99,100.0,100.0,100.0
"CS2230",0.0,0.0,17.08,69.28,90.73,97.41,99.32,99.84,99.96,99.99,100.0,100.0
"MATH2300",0.0,0.0,0.54,70.28,93.89,98.76,99.75,99.95,100.0,100.0,100.0,100.0
"GEDEDUIII",0.0,0.0,8.57,61.92,91.74,98.3,99.67,99.93,99.99,100.0,100.0,100.0
"ELECTIVE",0.0,0.0,0.0,37.92,85.68,97.09,99.38,99.87,99.98,100.0,100.0,100.0
"CS4310",0.0,0.0,0.0,17.75,69.97,91.64,97.83,99.47,99.87,99.97,99.99,100.0
"CS2240",0.0,0.0,0.0,9.24,72.38,94.22,98.82,99.76,99.96,99.99,100.0,100.0
"ELECTIVE",0.0,0.0,0.0,2.74,56.73,90.4,98.09,99.61,99.93,99.98,99.99,100.0
"GENEDUVI",0.0,0.0,0.0,0.0,38.29,84.59,96.8,99.36,99.87,99.98,100.0,100.0
"GENEDUVIII",0.0,0.41,28.9,68.77,86.62,96.47,99.27,99.84,99.97,99.99,100.0,100.0
"ELECTIVE",0.0,0.0,0.0,0.0,23.79,77.1,95.22,99.11,99.83,99.98,99.99,100.0
"CS4540",0.0,0.0,0.0,0.0,5.02,53.65,85.29,96.01,99.0,99.77,99.94,99.99
"GEDEDUV",0.0,0.0,0.0,0.0,6.11,58.63,90.27,97.99,99.61,99.93,99.99,100.0
"ELECTIVE",0.0,0.0,0.0,0.0,0.97,41.87,84.75,96.82,99.33,99.86,99.97,99.99
"ELECTIVE",0.0,0.0,0.0,0.0,0.0,27.63,78.39,95.35,99.06,99.8,99.96,99.99
"CS4900",0.0,0.0,0.0,0.0,0.0,19.36,71.32,93.36,98.66,99.74,99.94,99.98
"ELECTIVE",0.0,0.0,0.0,0.0,0.0,4.43,53.47,88.35,97.64,99.53,99.92,99.98
"GENEDUV",0.0,0.0,0.0,0.0,0.0,6.95,48.33,85.89,97.06,99.43,99.9,99.98
"ELECTIVE",0.0,0.0,0.0,0.0,0.0,0.23,26.87,76.59,94.99,98.99,99.8,99.95
"ELECTIVE",0.0,0.0,0.0,0.0,0.0,0.0,16.85,68.27,92.53,98.48,99.66,99.93
"CS4910",0.0,0.0,0.0,0.0,0.0,0.0,15.19,59.17,86.42,96.22,99.0,99.76
"CS4980",0.0,0.0,0.0,0.0,0.0,0.0,8.66,52.11,84.24,95.72,98.89,99.74
"ELECTIVE",0.0,0.0,0.0,0.0,0.0,0.0,3.78,44.59,84.26,96.61,99.3,99.87
"GENEDUVIII",0.0,0.0,0.0,0.0,0.0,0.0,1.66,35.23,79.82,95.62,99.12,99.82
"ELECTIVE",0.0,0.0,0.0,0.0,0.0,0.0,0.1,19.52,69.36,92.81,98.51,99.7
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.02,8.48,44.72,80.0,94.62,98.8
