"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"SOC 2000",79.76,95.88,99.19,99.84,99.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"ENGL 1050",79.99,96.06,99.24,99.83,99.96,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"COM 1000",79.97,96.03,99.22,99.81,99.96,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"MATH 1140",80.1,96.08,99.17,99.83,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"Elective 1",79.97,96.01,99.23,99.85,99.97,99.99,100.0,100.0,100.0,100.0,100.0,100.0
"SOC 2600",0.0,79.83,95.97,99.22,99.83,99.97,99.99,100.0,100.0,100.0,100.0,100.0
"SPAN 1000",0.0,79.49,95.95,99.19,99.85,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"AREA 1",0.0,75.39,95.07,99.03,99.82,99.96,99.99,100.0,100.0,100.0,100.0,100.0
"AREA 2",0.0,52.43,90.36,98.04,99.59,99.92,99.98,99.99,100.0,100.0,100.0,100.0
"Elective 2",0.0,32.61,85.93,97.13,99.4,99.87,99.98,99.99,100.0,100.0,100.0,100.0
"AREA 3",0.0,0.0,77.35,95.49,99.09,99.82,99.96,99.99,100.0,100.0,100.0,100.0
"SOC 3620",0.0,0.0,70.28,93.92,98.77,99.76,99.96,99.99,100.0,100.0,100.0,100.0
"SOC 2820",0.0,0.0,54.75,90.56,98.06,99.65,99.94,99.98,100.0,100.0,100.0,100.0
"PHIL 3130",0.0,0.0,34.48,85.66,97.19,99.47,99.91,99.99,100.0,100.0,100.0,100.0
"SPAN 1010",0.0,0.0,8.71,74.72,94.29,98.71,99.72,99.94,99.99,100.0,100.0,100.0
"Elective 3",0.0,0.0,12.84,71.78,94.33,98.86,99.77,99.95,99.98,100.0,100.0,100.0
"PHYS 1050",0.0,0.0,0.0,54.06,90.02,98.03,99.6,99.94,100.01,100.02,100.02,100.02
"PHYS 1060",0.0,0.0,0.0,54.14,90.12,98.0,99.62,99.91,99.98,100.0,100.0,100.0
"SOC 3630",0.0,0.0,0.0,31.64,80.15,95.05,98.8,99.71,99.94,99.99,100.0,100.0
"AREA 4",0.0,0.0,0.0,21.89,79.37,95.71,99.19,99.85,99.96,100.0,100.0,100.0
"Elective 4",0.0,0.0,0.0,7.73,68.34,93.29,98.64,99.69,99.94,99.98,100.0,100.0
"SOC 3640",0.0,0.0,0.0,0.0,52.86,88.83,97.6,99.47,99.89,99.98,100.0,100.0
"Elective 5",0.0,0.0,0.0,0.0,43.92,86.65,97.26,99.44,99.87,99.97,100.0,100.0
"PSCI 3250",0.0,0.0,0.0,0.0,31.81,81.64,96.24,99.25,99.83,99.96,99.99,100.0
"AREA 5",0.0,0.0,0.0,0.0,18.07,73.83,94.56,98.94,99.79,99.95,99.99,100.0
"SOC 3650",0.0,0.0,0.0,0.0,7.14,63.29,91.67,98.3,99.64,99.93,99.98,100.0
"SOC 2830",0.0,0.0,0.0,0.0,2.05,52.44,88.72,97.56,99.54,99.91,99.99,100.0
"SOC 3140",0.0,0.0,0.0,0.0,0.09,40.65,84.67,96.86,99.38,99.89,99.98,100.0
"Elective 6",0.0,0.0,0.0,0.0,0.0,28.61,78.82,95.48,99.1,99.8,99.96,99.99
"AREA 7",0.0,0.0,0.0,0.0,0.0,16.9,70.9,93.54,98.68,99.75,99.95,99.99
"Elective 7",0.0,0.0,0.0,0.0,0.0,7.91,61.03,90.97,98.14,99.61,99.93,99.99
"SOC 4540",0.0,0.0,0.0,0.0,0.0,2.51,49.94,87.27,97.47,99.5,99.89,99.98
"SOC 4660",0.0,0.0,0.0,0.0,0.0,0.4,32.41,75.32,93.01,98.15,99.54,99.91
"Elective 8",0.0,0.0,0.0,0.0,0.0,0.0,28.62,77.8,95.19,99.0,99.83,99.96
"AREA 8",80.08,80.48,88.79,91.25,93.85,94.3,95.95,98.77,99.75,99.95,99.99,100.0
"SOC 4950",0.0,0.0,0.0,0.0,0.0,0.0,17.17,69.31,93.05,98.56,99.71,99.94
"PSCI 3460",0.0,0.0,0.0,0.0,0.0,0.0,3.48,48.51,86.42,97.17,99.43,99.9
"SOC 5600",0.0,0.0,0.0,0.0,0.0,0.0,6.01,47.39,84.84,96.73,99.36,99.88
"Elective 9",0.0,0.0,0.0,0.0,0.0,0.0,0.11,25.21,74.12,94.16,98.84,99.77
"Elective 10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.43,65.28,91.75,98.29,99.62
"GRAD RATE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.17,43.67,80.15,95.09,98.94
